,,,,,,,
,,,,,,,
"Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided.","Please place the contact name in Columns F, G, and H to correspond with the Generator list provided."
DOE   ,5C_31   ,5C_31_1       ,5C-31   ,50,,,
DOE   ,5C_31   ,5C_31_2       ,5C-31   ,50,,,
DOE   ,5C_31   ,5C_31_3       ,5C-31   ,50,,,
DOE   ,5C_31   ,5C_31_4       ,5C-31   ,50,,,
DOE   ,5C_33   ,5C_33_1       ,5C-33   ,90,,,
DOE   ,5C_35   ,5C_35_1       ,5C-35   ,50,,,
DOE   ,5C_35   ,5C_35_2       ,5C-35   ,50,,,
DOE   ,5C_37A  ,5C_37A_1      ,5C-37A  ,50,,,
DOE   ,5C_37B  ,5C_37B_1      ,5C-37B  ,50,,,
DPC   ,ALMA5_4G,ALMA5_4G_4    ,ALMA5 4G,57,,,
DPC   ,ALMA5_4G,ALMA5_5G_5    ,ALMA5 5G,87,,,
DPC   ,ALMA5_4G,JPM_6         ,JPM     ,412,,,
DPC   ,ALMA5_4G,ALMA_2O_1     ,ALMA 8  ,63,,,
DPC   ,ARCAD_MU,ARCAD_MU_1    ,ARCAD MU,9.3,,,
DPC   ,ARGYLE_8,ARGYLE_8_1    ,ARGYLE_8,2,,,
DPC   ,BLOOM_PR,BLOOM_PR_1    ,BLOOM PR,2.6,,,
DPC   ,BLOOM_PR,BLOOM_PR_2    ,BLOOM PR,1.5,,,
DPC   ,ELROY_MN,ELROY_MN_1    ,ELROY MN,2.5,,,
DPC   ,FENNIM_8,FENNIM_8_1    ,FENNIM_8,2.5,,,
DPC   ,FLAMBEAU,FLAMBEAU_1    ,FLAMBEAU,21,,,
DPC   ,FOREST_C,FOREST_C_1    ,FOREST C,14.1,,,
DPC   ,GENOA_5 ,GENOA53G_3    ,GENOA53G,393,,,
DPC   ,LAFARG_8,LAFARG_8_1    ,LAFARG_8,1.6,,,
DPC   ,NEWLIS_8,NEWLIS_8_1    ,NEWLIS_8,4.6,,,
DPC   ,PRESTON2,PRESTON2_4    ,PRESTON2,1,,,
DPC   ,PRESTON2,PRESTON2_5    ,PRESTON2,1,,,
DPC   ,PRESTON2,PRESTON2_6    ,PRESTON2,2,,,
DPC   ,STONE   ,STONE_1       ,STONE   ,55,,,
DPC   ,VIOLA_8 ,VIOLA_8_1     ,VIOLA_8 ,1.1,,,
DPL   ,09KILLEN,09KILLEN_2    ,09KILLEN,600,,,
DPL   ,09OHH_C ,09OHH_C_3     ,09OHH C.,63,,,
DPL   ,09OHH_C ,09OHH_C_4     ,09OHH C.,63,,,
DPL   ,09OHH_E ,09OHH_E_1     ,09OHH E.,58,,,
DPL   ,09OHH_E ,09OHH_E_2     ,09OHH E.,55,,,
DPL   ,09OHH_W ,09OHH_W_5     ,09OHH W.,63,,,
DPL   ,09OHH_W ,09OHH_W_6     ,09OHH W.,63,,,
DPL   ,09OHH_W ,09OHH_W_7     ,09OHH W.,26,,,
DPL   ,09STUAR3,09STUAR3_1    ,09STUART,585,,,
DPL   ,09STUAR3,09STUAR3_2    ,09STUART,585,,,
DPL   ,09STUAR3,09STUAR3_3    ,09STUART,585,,,
DPL   ,09STUAR3,09STUAR3_4    ,09STUART,585,,,
DPL   ,09TAITB ,09TAITB_1     ,09TAITB ,90,,,
DPL   ,09TAITB ,09TAITB_2     ,09TAITB ,90,,,
DPL   ,09TAITB ,09TAITB_3     ,09TAITB ,80,,,
DPL   ,09YANKEE,09YANKEE_1    ,09YANKEE,17,,,
DPL   ,09YANKEE,09YANKEE_2    ,09YANKEE,17,,,
DPL   ,09YANKEE,09YANKEE_3    ,09YANKEE,17,,,
DPL   ,09YANKEE,09YANKEE_4    ,09YANKEE,15,,,
DPL   ,09YANKEE,09YANKEE_5    ,09YANKEE,15,,,
DPL   ,09YANKEE,09YANKEE_6    ,09YANKEE,15,,,
DPL   ,09YANKEE,09YANKEE_7    ,09YANKEE,15,,,
DUK   ,1BUZARDR,1BUZZHYD_1    ,1BUZZHYD,2.33,,,
DUK   ,1BUZARDR,1BUZZHYD_2    ,1BUZZHYD,2.33,,,
DUK   ,1BUZARDR,1BUZZHYD_3    ,1BUZZHYD,2.33,,,
DUK   ,1GSTON_S,1GAST_HY_1    ,1GAST HY,4.6,,,
DUK   ,1GTFALL2,DEARBN1_1     ,DEARBN1 ,14,,,
DUK   ,1GTFALL2,1GTFALLS_1    ,1GTFALLS,3,,,
DUK   ,1GTFALL2,1GTFALLS_2    ,1GTFALLS,3,,,
DUK   ,1GTFALL2,1GTFALLS_3    ,1GTFALLS,3,,,
DUK   ,1GTFALL2,1GTFALLS_4    ,1GTFALLS,3,,,
DUK   ,1GTFALL2,1GTFALLS_5    ,1GTFALLS,3,,,
DUK   ,1GTFALL2,1GTFALLS_6    ,1GTFALLS,3,,,
DUK   ,1GTFALL2,1GTFALLS_7    ,1GTFALLS,3,,,
DUK   ,1GTFALL2,1GTFALLS_8    ,1GTFALLS,3,,,
DUK   ,1MTN_ISL,1MT_ISLE_1    ,1MT ISLE,14,,,
DUK   ,1MTN_ISL,1MT_ISLE_2    ,1MT ISLE,14,,,
DUK   ,1MTN_ISL,1MT_ISLE_3    ,1MT ISLE,14,,,
DUK   ,1MTN_ISL,1MT_ISLE_4    ,1MT ISLE,14,,,
DUK   ,1NINE_9 ,1NINETY9_1    ,1NINETY9,9.6,,,
DUK   ,1RHODHIQ,1RHODHIU_1    ,1RHODHIS,9.33,,,
DUK   ,1RHODHIQ,1RHODHIU_2    ,1RHODHIS,9.33,,,
DUK   ,1RHODHIQ,1RHODHIU_3    ,1RHODHIS,9.33,,,
DUK   ,1ROCKYCR,1ROCKYCR_1    ,1ROCKYCR,2.89,,,
DUK   ,1ROCKYCR,1ROCKYCR_2    ,1ROCKYCR,2.89,,,
DUK   ,1ROCKYCR,1ROCKYCR_3    ,1ROCKYCR,2.89,,,
DUK   ,1ROCKYCR,1ROCKYCR_4    ,1ROCKYCR,2.89,,,
DUK   ,1ROCKYCR,1ROCKYCR_5    ,1ROCKYCR,4.82,,,
DUK   ,1ROCKYCR,1ROCKYCR_6    ,1ROCKYCR,4.82,,,
DUK   ,1ROCKYCR,1ROCKYCR_7    ,1ROCKYCR,2.89,,,
DUK   ,1ROCKYCR,1ROCKYCR_8    ,1ROCKYCR,2.89,,,
DUK   ,1TURNER ,1TURN_HY_1    ,1TURN HY,1.5,,,
DUK   ,1TURNER ,1TURN_HY_2    ,1TURN HY,1.5,,,
DUK   ,1TUXEDO ,1TUX_HYD_1    ,1TUX HYD,3.2,,,
DUK   ,1TUXEDO ,1TUX_HYD_2    ,1TUX HYD,3.2,,,
DUK   ,1WYLIE  ,1WYLIE_H_1    ,1WYLIE H,16.75,,,
DUK   ,1WYLIE  ,1WYLIE_H_2    ,1WYLIE H,16.75,,,
DUK   ,1WYLIE  ,1WYLIE_H_3    ,1WYLIE H,16.75,,,
DUK   ,1WYLIE  ,1WYLIE_H_4    ,1WYLIE H,16.75,,,
DUK   ,5NANTAHA,5NANTAHA_1    ,5NANTAHA,50,,,
DUK   ,5THORPE ,5THORPE_1     ,5THORPE ,50,,,
DUK   ,6BELEWS ,BELEWS1_1     ,BELEWS1 ,672,,,
DUK   ,6BELEWS ,BELEWS1_L     ,BELEWS1 ,448,,,
DUK   ,6BELEWS ,BELEWS2_2     ,BELEWS2 ,672,,,
DUK   ,6BELEWS ,BELEWS2_L     ,BELEWS2 ,448,,,
DUK   ,6CATAWBA,CATAWBA1_1    ,CATAWBA1,1129,,,
DUK   ,6CATAWBA,CATAWBA2_2    ,CATAWBA2,1129,,,
DUK   ,6CATAWBA,6CATAWBA_3    ,6CATAWBA,75,,,
DUK   ,6CATAWBA,6CATAWBA_4    ,6CATAWBA,75,,,
DUK   ,6CATAWBA,6CATAWBA_5    ,6CATAWBA,75,,,
DUK   ,6DYN1   ,DYN1G1_1      ,DYN1G1  ,152,,,
DUK   ,6DYN1   ,DYN1G2_2      ,DYN1G2  ,152,,,
DUK   ,6DYN1   ,DYN1G3_3      ,DYN1G3  ,152,,,
DUK   ,6DYN2   ,DYN2G1_1      ,DYN2G1  ,152,,,
DUK   ,6DYN2   ,DYN2G2_2      ,DYN2G2  ,152,,,
DUK   ,6JOCASSE,JOCASSE1_1    ,JOCASSE1,152,,,
DUK   ,6JOCASSE,JOCASSE2_2    ,JOCASSE2,153,,,
DUK   ,6JOCASSE,JOCASSE3_3    ,JOCASSE3,152,,,
DUK   ,6JOCASSE,JOCASSE4_4    ,JOCASSE4,153,,,
DUK   ,6KEOWEE ,KEOWEE_1      ,KEOWEE  ,87,,,
DUK   ,6KEOWEE ,KEOWEE_2      ,KEOWEE  ,87,,,
DUK   ,6MARSHAL,MARSHL1S_1    ,MARSHAL1,192.5,,,
DUK   ,6MARSHAL,MARSHL1S_L    ,MARSHAL1,192.5,,,
DUK   ,6MARSHAL,MARSHL2S_2    ,MARSHAL2,192.5,,,
DUK   ,6MARSHAL,MARSHL2S_L    ,MARSHAL2,192.5,,,
DUK   ,6MARSHAL,MARSHL3S_3    ,MARSHAL3,660,,,
DUK   ,6MARSHAL,MARSHL4S_4    ,MARSHAL4,660,,,
DUK   ,6MCGUIRE,MCGUIRE1_1    ,MCGUIRE1,1100,,,
DUK   ,6MCGUIRE,MCGUIRE2_2    ,MCGUIRE2,1100,,,
DUK   ,6OCONEE ,OCONEE1_1     ,OCONEE1 ,846,,,
DUK   ,6OCONEE ,OCONEE2_2     ,OCONEE2 ,846,,,
DUK   ,6OCONEE ,OCONEE3_3     ,OCONEE3 ,846,,,
DUK   ,ALLEN   ,ALLEN_21_1    ,ALLEN 1 ,165,,,
DUK   ,ALLEN   ,ALLEN_1T_2    ,ALLEN 2 ,165,,,
DUK   ,ALLEN   ,ALLEN_2T_3    ,ALLEN 3 ,146,,,
DUK   ,ALLEN   ,ALLEN_2T_L    ,ALLEN 3 ,119,,,
DUK   ,ALLEN   ,ALLEN_3T_4    ,ALLEN 4 ,151,,,
DUK   ,ALLEN   ,ALLEN_3T_L    ,ALLEN 4 ,124,,,
DUK   ,ALLEN   ,ALLEN_5_5     ,ALLEN 5 ,148,,,
DUK   ,ALLEN   ,ALLEN_5_L     ,ALLEN 5 ,122,,,
DUK   ,BADCRK12,BADCRK12_1    ,BADCRK12,350,,,
DUK   ,BADCRK12,BADCRK12_2    ,BADCRK12,350,,,
DUK   ,BADCRK12,BADCRK34_3    ,BADCRK34,350,,,
DUK   ,BADCRK12,BADCRK34_4    ,BADCRK34,350,,,
DUK   ,BRDGEWTR,BRIDGEW_1     ,BRIDGEW ,11.5,,,
DUK   ,BRDGEWTR,BRIDGEW_2     ,BRIDGEW ,11.5,,,
DUK   ,BUCK_S12,BUCK_3_3      ,BUCK 3  ,75,,,
DUK   ,BUCK_S12,BUCK_4_4      ,BUCK 4  ,38,,,
DUK   ,BUCK_S12,BUCK_CT_7     ,BUCK CT ,31,,,
DUK   ,BUCK_S12,BUCK_CT_8     ,BUCK CT ,31,,,
DUK   ,BUCK_S12,BUCK_CT_9     ,BUCK CT ,31,,,
DUK   ,BUCK_S34,BUCK_5_5      ,BUCK 5  ,128,,,
DUK   ,BUCK_S34,BUCK_6_6      ,BUCK 6  ,128,,,
DUK   ,BUCK_TIE,6BUCK_A       ,6BUCK   ,75,,,
DUK   ,BUCK_TIE,6BUCK_B       ,6BUCK   ,75,,,
DUK   ,BUCK_TIE,6BUCK_C       ,6BUCK   ,75,,,
DUK   ,BUCK_TIE,6BUCK_D       ,6BUCK   ,75,,,
DUK   ,BUCK_TIE,6BUCK_N       ,6BUCK   ,75,,,
DUK   ,BUZARD_K,BUZARD_T_0    ,BUZARD R,18,,,
DUK   ,BUZARD_K,BUZARD_T_1    ,BUZARD R,18,,,
DUK   ,BUZARD_K,BUZARD_T_2    ,BUZARD R,18,,,
DUK   ,BUZARD_K,BUZARD_T_3    ,BUZARD R,18,,,
DUK   ,BUZARD_K,BUZARD_T_4    ,BUZARD R,18,,,
DUK   ,BUZARD_K,BUZARD_T_5    ,BUZARD R,18,,,
DUK   ,BUZARD_K,BUZARD_T_6    ,BUZARD R,22,,,
DUK   ,BUZARD_K,BUZARD_T_7    ,BUZARD R,22,,,
DUK   ,BUZARD_K,BUZARD_T_8    ,BUZARD R,22,,,
DUK   ,BUZARD_K,BUZARD_T_9    ,BUZARD R,22,,,
DUK   ,CEDAR_CK,CEDAR_CK_1    ,CEDAR CK,13,,,
DUK   ,CEDAR_CK,CEDAR_CK_2    ,CEDAR CK,13,,,
DUK   ,CEDAR_CK,CEDAR_CK_3    ,CEDAR CK,13,,,
DUK   ,CHEROKEE,CHEROKEG_1    ,CHEROKEG,55,,,
DUK   ,CHEROKEE,CHEROKES_1    ,CHEROKES,37,,,
DUK   ,CLIFSID ,CLIFSID1_1    ,CLIFSID1,38,,,
DUK   ,CLIFSID ,CLIFSID2_2    ,CLIFSID2,38,,,
DUK   ,CLIFSID ,CLIFSID3_3    ,CLIFSID3,61,,,
DUK   ,CLIFSID ,CLIFSID4_4    ,CLIFSID4,61,,,
DUK   ,CLIFSID ,CLIFSID5_5    ,CLIFSID5,562,,,
DUK   ,COWANS1 ,COWANS1_1     ,COWANS1 ,81,,,
DUK   ,COWANS1 ,COWANS2_2     ,COWANS2 ,81,,,
DUK   ,COWANS1 ,COWANS3_3     ,COWANS3 ,81,,,
DUK   ,COWANS1 ,COWANS4_4     ,COWANS4 ,81,,,
DUK   ,DAN_RIV ,DANRIVR1_1    ,DANRIVR1,67,,,
DUK   ,DAN_RIV ,DANRIVR2_2    ,DANRIVR2,67,,,
DUK   ,DAN_RIV ,DANRIVR3_3    ,DANRIVR3,142,,,
DUK   ,DAN_RIV ,DANRVRCT_4    ,DANRVRCT,30,,,
DUK   ,DAN_RIV ,DANRVRCT_5    ,DANRVRCT,30,,,
DUK   ,DAN_RIV ,DANRVRCT_6    ,DANRVRCT,25,,,
DUK   ,FISHNG_K,FISHNG_U_1    ,FISHNG C,10.45,,,
DUK   ,FISHNG_K,FISHNG_U_2    ,FISHNG C,6.7,,,
DUK   ,FISHNG_K,FISHNG_U_3    ,FISHNG C,6.7,,,
DUK   ,FISHNG_K,FISHNG_U_4    ,FISHNG C,10.45,,,
DUK   ,FISHNG_K,FISHNG_U_5    ,FISHNG C,6.7,,,
DUK   ,GT_FALL1,DEARBN23_2    ,DEARBN23,14,,,
DUK   ,GT_FALL1,DEARBN23_3    ,DEARBN23,14,,,
DUK   ,LEE     ,LEE_1_1       ,LEE 1   ,100,,,
DUK   ,LEE     ,LEE_2_2       ,LEE 2   ,100,,,
DUK   ,LEE     ,LEE_CT_4      ,LEE CT  ,30,,,
DUK   ,LEE     ,LEE_CT_5      ,LEE CT  ,30,,,
DUK   ,LEE     ,LEE_CT_6      ,LEE CT  ,30,,,
DUK   ,LEE     ,LEE_3_3       ,LEE 3   ,170,,,
DUK   ,LINCLN1T,LINCLN1T_1    ,LINCOLN1,75,,,
DUK   ,LINCLN1T,LINCLN2T_2    ,LINCOLN2,75,,,
DUK   ,LINCLN1T,LINCLN3T_3    ,LINCOLN3,75,,,
DUK   ,LINCLN1T,LINCLN4T_4    ,LINCOLN4,75,,,
DUK   ,LINCLN1T,LINCOLN5_5    ,LINCOLN5,75,,,
DUK   ,LINCLN1T,LINCOLN6_6    ,LINCOLN6,75,,,
DUK   ,LINCLN1T,LINCOLN7_7    ,LINCOLN7,75,,,
DUK   ,LINCLN1T,LINCOLN8_8    ,LINCOLN8,75,,,
DUK   ,LINCLN1T,LINCOLN9_9    ,LINCOLN9,75,,,
DUK   ,LINCLN1T,LINCLN10_A    ,LINCLN10,75,,,
DUK   ,LINCLN1T,LINCLN11_B    ,LINCLN11,75,,,
DUK   ,LINCLN1T,LINCLN12_C    ,LINCLN12,75,,,
DUK   ,LINCLN1T,LINCLN13_D    ,LINCLN13,75,,,
DUK   ,LINCLN1T,LINCLN14_E    ,LINCLN14,75,,,
DUK   ,LINCLN1T,LINCLN15_F    ,LINCLN15,75,,,
DUK   ,LINCLN1T,LINCLN16_G    ,LINCLN16,75,,,
DUK   ,LOOKOUK ,LOOKOUU_1     ,LOOKOUT ,9.33,,,
DUK   ,LOOKOUK ,LOOKOUU_2     ,LOOKOUT ,9.33,,,
DUK   ,LOOKOUK ,LOOKOUU_3     ,LOOKOUT ,9.33,,,
DUK   ,OXFORK  ,OXFORU_1      ,OXFORD  ,20,,,
DUK   ,OXFORK  ,OXFORU_2      ,OXFORD  ,20,,,
DUK   ,RIVERBEN,RIVRBND4_4    ,RIVRBND4,94,,,
DUK   ,RIVERBEN,RIVRBND5_5    ,RIVRBND5,94,,,
DUK   ,RIVERBEN,RIVRBND6_6    ,RIVRBND6,133,,,
DUK   ,RIVERBEN,RIVRBND7_7    ,RIVRBND7,133,,,
DUK   ,RIVERBEN,RIVRBDCT_0    ,RIVRBDCT,30,,,
DUK   ,RIVERBEN,RIVRBDCT_1    ,RIVRBDCT,30,,,
DUK   ,RIVERBEN,RIVRBDCT_8    ,RIVRBDCT,30,,,
DUK   ,RIVERBEN,RIVRBDCT_9    ,RIVRBDCT,30,,,
DUK   ,RJRTOBCV,RJRTOBCV_1    ,RJRTOBCV,48,,,
DUK   ,WATEREK ,WATEREU_1     ,WATEREE ,15.8,,,
DUK   ,WATEREK ,WATEREU_2     ,WATEREE ,15.8,,,
DUK   ,WATEREK ,WATEREU_3     ,WATEREE ,15.8,,,
DUK   ,WATEREK ,WATEREU_4     ,WATEREE ,15.8,,,
DUK   ,WATEREK ,WATEREU_5     ,WATEREE ,15.8,,,
EDE   ,A1G349_1,A1G349_1_1    ,A1G349 1,191,,,
EDE   ,A1G349_1,A2G349_1_1    ,A2G349 1,20,,,
EDE   ,L1G382_1,L1G382_1_1    ,L1G382 1,90,,,
EDE   ,L1G382_1,L2G382_1_1    ,L2G382 1,90,,,
EDE   ,OZD312_2,OZD312_1_1    ,OZD312 1,4,,,
EDE   ,OZD312_2,OZD312_1_2    ,OZD312 1,4,,,
EDE   ,OZD312_2,OZD312_1_3    ,OZD312 1,4,,,
EDE   ,OZD312_2,OZD312_1_4    ,OZD312 1,4,,,
EDE   ,R10G1671,R10G1671_1    ,R10G1671,17,,,
EDE   ,R10G1671,R10G1671_2    ,R10G1671,17,,,
EDE   ,R8G167_1,R7G167_1_1    ,R7G167 1,38,,,
EDE   ,R8G167_1,R8G167_1_1    ,R8G167 1,53,,,
EDE   ,R8G167_1,R9G167_1_1    ,R9G167 1,15,,,
EDE   ,S1G439_1,S1G439_1_1    ,S1G439 1,103,,,
EDE   ,S1G439_1,S2G439_1_1    ,S2G439 1,153,,,
EEI   ,JOPPA_N ,JOPPA_N_1     ,JOPPA N ,169,,,
EEI   ,JOPPA_N ,JOPPA_N_2     ,JOPPA N ,169,,,
EEI   ,JOPPA_N ,JOPPA_N_3     ,JOPPA N ,169,,,
EEI   ,JOPPA_TD,JOPPA_D_1     ,JOPPA S ,168,,,
EEI   ,JOPPA_TD,JOPPA_D_2     ,JOPPA S ,168,,,
EEI   ,JOPPA_TD,JOPPA_D_3     ,JOPPA S ,168,,,
EEI   ,JOPPA_TD,JOPPA_TD_1    ,JOPPA TS,55,,,
EEI   ,JOPPA_TD,JOPPA_TD_2    ,JOPPA TS,55,,,
EEI   ,JOPPA_TD,JOPPA_TD_3    ,JOPPA TS,55,,,
EES   ,1DELTA_U,1DELTA_U_1    ,1DELTA U,104,,,
EES   ,1DELTA_U,2DELTA_U_1    ,2DELTA U,103,,,
EES   ,1G1LASTA,1G1LASTA_1    ,1G1LASTA,113,,,
EES   ,1G1LEWIS,1G1LEWIS_1    ,1G1LEWIS,266,,,
EES   ,1G1LEWIS,1G2LEWIS_1    ,1G2LEWIS,266,,,
EES   ,1G1SABIN,1G1SABIN_1    ,1G1SABIN,230,,,
EES   ,1G1SABIN,1G2SABIN_1    ,1G2SABIN,230,,,
EES   ,1G1SABIN,1G3SABIN_1    ,1G3SABIN,420,,,
EES   ,1G4SABIN,1G4SABIN_1    ,1G4SABIN,530,,,
EES   ,1G4SABIN,1G5SABIN_1    ,1G5SABIN,485,,,
EES   ,1G7LASTA,1G7LASTA_1    ,1G7LASTA,113,,,
EES   ,1GGULF  ,1GGULF_1      ,1GGULF  ,1142,,,
EES   ,1L_D_9  ,1L_D_9_1      ,1L&D #9 ,25,,,
EES   ,2MONROE ,1MONR_09_1    ,1MONR 09,9,,,
EES   ,2MONROE ,1MONR_10_1    ,1MONR 10,23,,,
EES   ,2MONROE ,1MONR_11_1    ,1MONR 11,41,,,
EES   ,2MONROE ,1MONR_12_1    ,1MONR 12,74,,,
EES   ,39MILE  ,1NMIL_U1_1    ,1NMIL U1,74,,,
EES   ,39MILE  ,1NMIL_U2_1    ,1NMIL U2,107,,,
EES   ,39MILE  ,1NMIL_U3_1    ,1NMIL U3,135,,,
EES   ,39MILE  ,1NMIL_U4_1    ,1NMIL U4,748,,,
EES   ,39MILE  ,1NMIL_U5_1    ,1NMIL U5,763,,,
EES   ,3BLAKY  ,1BLAK_U1_1    ,1BLAK U1,43,,,
EES   ,3BLAKY  ,1BLAK_U2_1    ,1BLAK U2,43,,,
EES   ,3CARPE  ,1CARP_U1_1    ,1CARP U1,29,,,
EES   ,3CARPE  ,1CARP_U2_1    ,1CARP U2,30,,,
EES   ,3CATH3  ,1CATH_U3_1    ,1CATH U3,106,,,
EES   ,3CATH3  ,1CATH_U2_1    ,1CATH U2,51,,,
EES   ,3CATH4  ,1CATH_U4_1    ,1CATH U4,547,,,
EES   ,3CATH4  ,1CATH_U1_1    ,1CATH U1,52,,,
EES   ,3COUCH  ,1COUC_U1_1    ,1COUC U1,30,,,
EES   ,3COUCH  ,1COUC_U2_1    ,1COUC U2,131,,,
EES   ,3DEGRAY ,1DEGR_U1_1    ,1DEGR U1,46,,,
EES   ,3DEGRAY ,1DEGR_U2_1    ,1DEGR U2,32,,,
EES   ,3GYPSY  ,1GYP_U1_1     ,1GYP  U1,244,,,
EES   ,3GYPSY  ,1GYP_U2_1     ,1GYP  U2,436,,,
EES   ,3GYPSY  ,1GYP_U3_1     ,1GYP  U3,573,,,
EES   ,3L_D2   ,3L_D2_1       ,3L&D#2  ,80,,,
EES   ,3LYNCH  ,1LYNC_U2_1    ,1LYNC U2,74,,,
EES   ,3LYNCH  ,1LYNC_U3_1    ,1LYNC U3,130,,,
EES   ,3MCLELN ,1MCLE_U1_1    ,1MCLE U1,134,,,
EES   ,3MICH_S ,1MICH_U1_1    ,1MICH U1,113,,,
EES   ,3MICH_S ,1MICH_U2_1    ,1MICH U2,244,,,
EES   ,3MICHTIE,1MICH_U3_1    ,1MICH U3,561,,,
EES   ,3MOSES1 ,1MOSE_U1_1    ,1MOSE U1,72,,,
EES   ,3MOSES1 ,1MOSE_U2_1    ,1MOSE U2,72,,,
EES   ,3MURHYD ,1MURY_U1_1    ,1MURY U1,81,,,
EES   ,3NATSES ,1NAT_GND_1    ,1NAT-GND,0,,,
EES   ,3PATER  ,1PAT_U3_1     ,1PAT  U3,56,,,
EES   ,3PATER  ,1PAT_U4_1     ,1PAT  U4,87,,,
EES   ,3PLANT  ,1MURRU12_1    ,1MURRU12,40,,,
EES   ,3PLANT  ,1MURRU34_1    ,1MURRU34,40,,,
EES   ,3PLANT  ,1MURRU56_1    ,1MURRU56,40,,,
EES   ,3PLANT  ,1MURRU78_1    ,1MURRU78,40,,,
EES   ,3REML   ,1REML_UA_1    ,1REML UA,12,,,
EES   ,3STERL  ,1STER_7A_1    ,1STER 7A,51,,,
EES   ,3STERL  ,1STER_7B_1    ,1STER 7B,51,,,
EES   ,3STERL  ,1STER_7C_1    ,1STER 7C,104,,,
EES   ,3STERL  ,1STER_U6_1    ,1STER U6,224,,,
EES   ,4NELSON ,1G1NELSO_1    ,1G1NELSO,98,,,
EES   ,4NELSON ,1G2NELSO_1    ,1G2NELSO,98,,,
EES   ,4NELSON ,1G3NELSO_1    ,1G3NELSO,154,,,
EES   ,4NELSON ,1G4NELSO_1    ,1G4NELSO,500,,,
EES   ,4NELSON ,1G6NELSO_1    ,1G6NELSO,550,,,
EES   ,4RAYBURN,4RAYBURN_1    ,4RAYBURN,52,,,
EES   ,4TOLEDO ,4TOLEDO_1     ,4TOLEDO ,92,,,
EES   ,4WGLEN  ,1G1WGLEN_1    ,1G1WGLEN,172,,,
EES   ,4WGLEN  ,1G2WGLEN_1    ,1G2WGLEN,224,,,
EES   ,4WGLEN  ,1G3WGLEN_1    ,1G3WGLEN,522,,,
EES   ,4WGLEN  ,1G5WGLEN_1    ,1G5WGLEN,559,,,
EES   ,4WGLEN  ,1G4WGLEN_1    ,1G4WGLEN,568,,,
EES   ,5BAILEY ,1BAIL_U1_1    ,1BAIL U1,122,,,
EES   ,6ANDRUS ,1ANDRUSK_1    ,1ANDRUSK,761,,,
EES   ,6RITCH  ,1RITC_U1_1    ,1RITC U1,356,,,
EES   ,6RITCH  ,1RITC_U2_1    ,1RITC U2,544,,,
EES   ,6RVRBN  ,1G1RVRBN_1    ,1G1RVRBN,936,,,
EES   ,6RX_BRN ,4REX_BRJ_1    ,4REX BRJ,231,,,
EES   ,6RX_BRN ,3REX_BRN_1    ,3REX BRN,76,,,
EES   ,6RX_BRN ,1REX_BRN_1    ,1REX BRN,36,,,
EES   ,6WATFRD ,1WAT_U1_1     ,1WAT  U1,411,,,
EES   ,6WATFRD ,1WAT_U2_1     ,1WAT  U2,411,,,
EES   ,6WATFRD ,1WAT_U3_1     ,1WAT  U3,1075,,,
EES   ,7FRONTR ,FRNTR_1_1     ,FRNTR 1 ,165,,,
EES   ,7FRONTR ,FRNTR_2_1     ,FRNTR 2 ,165,,,
EES   ,7FRONTR ,FRNTR_3_1     ,FRNTR 3 ,165,,,
EES   ,7FRONTR ,FRNTR_4_1     ,FRNTR 4 ,310,,,
EES   ,8ANO    ,1ANO_U1_1     ,1ANO  U1,836,,,
EES   ,8ANO    ,1ANO_U2_1     ,1ANO  U2,858,,,
EES   ,8B_WLSN ,1B_WLSNH_1    ,1B.WLSNH,550,,,
EES   ,8B_WLSN ,2B_WLSNI_1    ,2B.WLSNI,771,,,
EES   ,8ISES   ,1ISES_U1_1    ,1ISES U1,838,,,
EES   ,8ISES   ,1ISES_U2_1    ,1ISES U2,842,,,
EES   ,8MABEL  ,1MABL_UA_1    ,1MABL UA,18,,,
EES   ,8MABEL  ,1MABL_UB_1    ,1MABL UB,19,,,
EES   ,8MABEL  ,4MABL_1       ,4MABL   ,18,,,
EES   ,8WH_BLF ,1BLUF_U1_1    ,1BLUF U1,815,,,
EES   ,8WH_BLF ,1BLUF_U2_1    ,1BLUF U2,844,,,
EKPC  ,20COOPED,20CPR1_1      ,20CPR1  ,116,,,
EKPC  ,20COOPED,20CPR2_2      ,20CPR2  ,225,,,
EKPC  ,20DALO  ,20DALE1_1     ,20DALE1 ,24,,,
EKPC  ,20DALO  ,20DALE2_2     ,20DALE2 ,24,,,
EKPC  ,20DALO  ,20DALE3_3     ,20DALE3 ,80,,,
EKPC  ,20DALO  ,20DALE4_4     ,20DALE4 ,80,,,
EKPC  ,20JKSMI1,20JKCT1_1     ,20JKCT1 ,110,,,
EKPC  ,20JKSMI1,20JKCT2_2     ,20JKCT2 ,110,,,
EKPC  ,20JKSMI1,20JKCT3_3     ,20JKCT3 ,110,,,
EKPC  ,20JKSMI1,20JKSMI1_4    ,20JKSMIT,80,,,
