LINE,Mile Point ,Description,Sample Date,Sample Type,Result (All results as Aroclor 1016 unless otherwise noted),Comments
311 X,54.88,Ridgecrest West End Process,2000-08-21 00:00:00,None,,no liquids found
311 X,54.88,Ridgecrest West End Process,2000-10-02 00:00:00,Liquid,"10 ppm as Aroclor 1016, 7 ppm as Aroclor 1260",< 10 mls
311 X,54.88,Ridgecrest West End Process,2000-10-31 00:00:00,Liquid,"6.7 ppm as Aroclor 1016, 5.8 ppm as Aroclor 1260",< 10 mls
311 X,54.88,Ridgecrest West End Process,2001-01-02 00:00:00,Liquid,"3 ppm as Aroclor 1242, 3 ppm as Aroclor 1254",< 10 mls
311 X,54.88,Ridgecrest West End Process,2001-02-01 00:00:00,Liquid,"12 ppm as Aroclor 1242, 12ppm as Aroclor 1254",< 10 mls from filter
311 X,54.44,West End Plant (old meter set),2000-06-12 00:00:00,Wipe,ND < 1 ug/wipe,Semi-quantitative
311 X,54.44,West End Plant (old meter set),2000-08-21 00:00:00,None,,no liquid found
311 X,54.44,West End Plant (old meter set),2001-01-02 00:00:00,None,,no liquid found
311 X,58.04,"IMC Chemical, Trona - Argus, Main Tap",2000-05-31 00:00:00,Liquid,"4 ppm as Aroclor 1016, 11 ppm as Aroclor 1254",12 GT Meter
311 X,58.04,"IMC Chemical, Trona - Argus, Main Tap",2000-06-12 00:00:00,Liquid,"6 ppm as Aroclor 1016, 7 ppm as Aroclor 1260",
311 X,58.04,"IMC Chemical, Trona - Argus, Main Tap",2000-06-26 00:00:00,Liquid,"5 ppm as Aroclor 1016, 9 ppm as Aroclor 1260",
311 X,58.04,"IMC Chemical, Trona - Argus, Main Tap",2000-08-08 00:00:00,Liquid,"8 ppm as Aroclor 1016, 19 ppm as Aroclor 1254",
311 X,58.04,"IMC Chemical, Trona - Argus, Main Tap",2000-08-21 00:00:00,Liquid,"8 ppm as Aroclor 1016, 27 ppm as Aroclor 1254",<10 mls taken from meter drip
311 X,58.04,"IMC Chemical, Trona - Argus, Main Tap",2000-09-05 00:00:00,Liquid,"3 ppm as Aroclor 1016, 11 ppm as Aroclor 1254",< 10 mls
311 X,58.04,"IMC Chemical, Trona - Argus, Main Tap",2000-09-18 00:00:00,Liquid,"3 ppm as Aroclor 1016, 12 ppm as Aroclor 1260",< 10 mls
311 X,58.04,"IMC Chemical, Trona - Argus, Main Tap",2000-10-02 00:00:00,Liquid,"2 ppm as Aroclor 1016, 8 ppm as Aroclor 1260",< 10 mls
311 X,58.04,"IMC Chemical, Trona - Argus, Main Tap",2000-10-31 00:00:00,Liquid,"2.8 ppm as Aroclor 1016, 8.9 ppm as Aroclor 1260",< 10 mls
311 X,58.04,"IMC Chemical, Trona - Argus, Main Tap",2000-12-01 00:00:00,Liquid,"4 ppm as Aroclor 1016, 9 ppm as Aroclor 1254",< 10 mls
311 X,58.04,"IMC Chemical, Trona - Argus, Main Tap",2001-01-02 00:00:00,Liquid,"5 ppm as Aroclor 1016, 17 ppm as Aroclor 1254",< 10 mls
311 X,58.04,"IMC Chemical, Trona - Argus, Main Tap",2001-02-01 00:00:00,Liquid,"7 ppm as Aroclor 1242, 14 ppm as Aroclor 1254",< 10 mls from filter
313 X,27.26,SWG Rabbit Springs Rd.,2000-02-09 00:00:00,Liquid,"2 ppm, < 1ppm as Aroclor 1260. Semi quantitative results due to small sample",Obtained small amount of liquid obtained from bottom tap of meter. No liquid from gooseneck pipe on north filter.
313 X,27.26,SWG Rabbit Springs Rd. Meter,2000-02-28 00:00:00,Liquid,4 ppm,
313 X,27.26,SWG Rabbit Springs Rd. Meter,2000-03-10 00:00:00,Liquid,10 ppm,
313 X,27.26,SWG Rabbit Springs Rd. Meter,2000-03-22 00:00:00,Liquid,5 ppm,
313 X,27.26,SWG Rabbit Springs Rd. Meter,2000-04-06 00:00:00,Liquid,9 ppm,
313 X,27.26,SWG Rabbit Springs Rd. Meter,2000-05-14 00:00:00,Liquid,4 ppm,
313 X,27.26,SWG Rabbit Springs Rd. Meter,2000-06-14 00:00:00,Liquid,11 ppm,
313 X,27.26,SWG Rabbit Springs Rd. Meter,2000-06-30 00:00:00,Liquid,"9 ppm as Aroclor 1016, 2 ppm as Aroclor 1254",
313 X,27.76,"SWG, Rabbit Springs Rd. Meter",2000-07-29 00:00:00,Liquid,"6.8 ppm, as Aroclor 1016, 1.1 ppm, as Aroclor 1260",
313 X,27.76,"SWG, Rabbit Springs Rd. Meter",2000-09-05 00:00:00,Liquid,,<10 mls (insuffiient sample)
313 X,29.08,SWG Old Woman Springs,2000-02-09 00:00:00,None,,North filter is dry (no way to sample bypass filter)
313 X,34.34,Mitsubishi Cement ,2000-02-09 00:00:00,Liquid,"2 ppm, 3ppm as Aroclor 1260",Sample taken from bottom of filter (gas flowing 6 mcf / hour)
313 X,34.34,Mitsubishi Cement ,2000-02-23 00:00:00,None,,Filter Dry (check location)
313 X,34.34,Mitsubishi Cement ,2000-02-24 00:00:00,Liquid,"3 ppm, 3ppm as Aroclor 1254",Sample from meter set
313 X,34.34,Mitsubishi Cement ,2000-03-08 00:00:00,Liquid,"4 ppm as Aroclor 1016, 3ppm as Aroclor 1260",Sample from meter set
313 X,34.34,Mitsubishi Cement ,2000-03-20 00:00:00,Liquid,"2 ppm as Aroclor 1016, 3ppm as Aroclor 1260",Sample from meter set
313 X,34.34,Mitsubishi Cement ,2000-04-05 00:00:00,Liquid,"3 ppm as Aroclor 1016, 3ppm as Aroclor 1254",Sample from meter set
313 X,34.34,Mitsubishi Cement ,2000-04-05 00:00:00,Liquid,"1 ppm as Aroclor 1016, 3ppm as Aroclor 1254",Sample from meter set
313 X,34.34,Mitsubishi Cement ,2000-04-27 00:00:00,Liquid,"7 ppm as Aroclor 1016, 2 ppm as Aroclor 1254","Sampled Labeled as ""Big Bear B"" at MP 34.34"
313 X,34.34,Mitsubishi Cement ,2000-05-01 00:00:00,Liquid,"1 ppm as Aroclor 1016, 3 ppm as Aroclor 1254",
313 X,34.34,Mitsubishi Cement ,2000-05-15 00:00:00,Liquid,"2 ppm as Aroclor 1016, 4 ppm as Aroclor 1254",
313 X,34.34,Mitsubishi Cement ,2000-05-30 00:00:00,Liquid,"3 ppm as Aroclor 1016, 3 ppm as Aroclor 1254",
313 X,34.34,Mitsubishi Cement ,2000-06-13 00:00:00,Liquid,"4 ppm as Aroclor 1016, 3 ppm as Aroclor 1260",
313 X,34.34,Mitsubishi Cement ,2000-07-24 00:00:00,Liquid,"1 ppm as Aroclor 1016, 0.6 ppm as Aroclor 1260",< 10 mls
313 X,34.34,Mitsubishi Cement ,2000-08-08 00:00:00,None,,Meter set dry
313 X,34.34,Mitsubishi Cement ,2000-08-21 00:00:00,Liquid,ND < 1 ppm,< 10 mls
313 X,34.34,Mitsubishi Cement ,2000-09-05 00:00:00,Liquid,ND < 1 ppm,< 10 mls
313 X,34.34,Mitsubishi Cement ,2000-09-18 00:00:00,Liquid,ND < 3 ppm,< 10 mls (reporting limit raised because of small sample size)
313 X,34.34,Mitsubishi Cement ,2000-10-04 00:00:00,Liquid,42 ppm,< 10 mls
313 X,34.34,Mitsubishi Cement ,2000-12-04 00:00:00,None,"6 ppm as Aroclor 1016, 3 ppm as Aroclor 1260",< 10 mls
313 X,34.34,Mitsubishi Cement ,2001-01-03 00:00:00,None,"2 ppm as Aroclor 1242, 2 ppm as Aroclor 1254",< 10 mls
313 X,34.34,Mitsubishi Cement ,2001-02-02 00:00:00,None,2 ppm as Aroclor 1016,< 10 mls
314 X,0.02,Company Use,,,,Tap not Inspected or sampled (Hinkley Tap)
314 X,0.06,SW Gas (Hinkley Tap),,,,Tap not Inspected or sampled
314 X,8.76,SW Gas (Zackey Farms),,,,Tap not inspected or sampled
314 X,21.76,"SW Gas (La Delta, Helendale)",,,,Tap not Inspected or sampled (San Joaquin Div. job)
314 X,24.31,TXI Riverside Cement PLS,2000-02-09 00:00:00,None,,Active filter next to Valve 4. Bottom tap of filter is dry. Note: Clearance reqrd. for filter removal and wipe sampling
314 X,24.31,TXI Riverside Cement PLS,2000-08-21 00:00:00,None,,no liquids
314 X,24.31,TXI Riverside Cement PLS,2000-09-06 00:00:00,None,,no liquids
314 X,24.31,TXI Riverside Cement PLS,2000-09-18 00:00:00,None,,no liquids
314 X,24.31,TXI Riverside Cement PLS,2000-10-04 00:00:00,None,,no liquids
314 X,24.31,TXI Riverside Cement PLS,2001-01-03 00:00:00,None,,no liquids
314 X,24.31,TXI Riverside Cement PLS,2001-02-02 00:00:00,None,,no liquids
314 X,24.75,TXI Riverside Tap Meter,2000-02-09 00:00:00,Liquid,"16 ppm, 4ppm as Aroclor 1260",Sample taken from bottom of turbine meter - small amount of liquid
314 X,24.75,TXI Riverside Tap Meter,2000-02-15 00:00:00,Liquid,9 ppm,
314 X,24.75,TXI Riverside Tap Meter,2000-02-23 00:00:00,Liquid,"19 ppm as Aroclor 1016, 5 ppm as Aroclor 1254",
314 X,24.75,TXI Riverside Tap Meter,2000-03-08 00:00:00,Liquid,45 ppm,
314 X,24.75,TXI Riverside Tap Meter,2000-03-22 00:00:00,Liquid,11 ppm,
314 X,24.75,TXI Riverside Tap Meter,2000-04-05 00:00:00,Liquid,"24 ppm as Aroclor 1016, 7 ppm as Aroclor 1254",
314 X,24.75,TXI Riverside Tap Meter,2000-04-18 00:00:00,Liquid,"22 ppm, 5 ppm as Aroclor 1260",
314 X,24.75,TXI Riverside Tap Meter,2000-05-01 00:00:00,Liquid,6 ppm,
314 X,24.75,TXI Riverside Tap Meter,2000-05-15 00:00:00,Liquid,"5 ppm, 2 ppm as Aroclor 1254",Bottom inside Meter
314 X,24.75,TXI Riverside Tap Meter,2000-05-15 00:00:00,Liquid,< 1 ppm,Top of inside meter
314 X,24.75,TXI Riverside Tap Meter,2000-05-30 00:00:00,Liquid,"31 ppm, 3 ppm as Aroclor 1254",Bottom inside Meter
314 X,24.75,TXI Riverside Tap Meter,2000-06-12 00:00:00,Liquid,"34 ppm, 3 ppm as Aroclor 1254",
314 X,24.75,TXI Riverside Tap Meter,2000-06-26 00:00:00,Liquid,"30 ppm, 3 ppm as Aroclor 1254",
314 X,24.75,TXI Riverside Tap Meter,2000-07-24 00:00:00,Liquid,"26 ppm, 2.5 ppm as Aroclor 1254",< 10 mls
314 X,24.75,TXI Riverside Tap Meter,2000-08-08 00:00:00,Liquid,"40 ppm, 12 ppm as Aroclor 1254",< 10 mls
314 X,24.75,TXI Riverside Tap Meter,2000-08-21 00:00:00,Liquid,"25 ppm, 14 ppm as Aroclor 1254",< 10 mls
314 X,24.75,TXI Riverside Tap Meter,2000-09-05 00:00:00,Liquid,"16 ppm, 6 ppm as Aroclor 1254",< 10 mls
314 X,24.75,TXI Riverside Tap Meter,2000-09-18 00:00:00,Liquid,"20 ppm, 3 ppm as Aroclor 1260",< 10 mls
314 X,24.75,TXI Riverside Tap Meter,2000-10-04 00:00:00,Liquid,"22 ppm, 4 ppm as Aroclor 1254",< 10 mls
314 X,24.75,TXI Riverside Tap Meter,2000-11-03 00:00:00,Liquid,"19 ppm, 3.5 ppm as Aroclor 1254",< 10 mls 
314 X,24.75,TXI Riverside Tap Meter,2000-12-04 00:00:00,Liquid,"22 ppm, 6 ppm as Aroclor 1254",< 10 mls 
314 X,24.75,TXI Riverside Tap Meter,2001-01-03 00:00:00,Liquid,"19 ppm as Aroclor 1242, 7 ppm as Aroclor 1254",< 10 mls 
314 X,24.75,TXI Riverside Tap Meter,2001-02-01 00:00:00,Liquid,"29 ppm as Aroclor 1016, 24 ppm as Aroclor 1254",< 10 mls 
314 X,25.2,SW Gas (Academy Road),,,,Tap not Inspected or sampled (San Joaquin Div. job)
314 X,26,SW Gas (Clanton),,,,Tap not Inspected or sampled (San Joaquin Div. job)
314 X,26.8,None,,,,"Tap not inspected or sampled (4"" valve installed on original const. for SWG - capped)"
314 X,27.46,"Victorville ""B"" Meter",2000-02-15 00:00:00,Liquid,5 ppm,
314 X,27.46,"Victorville ""B"" Meter",2000-07-15 00:00:00,Liquid,"3.5 ppm as Aroclor 1016, 0.6 ppm as Aroclor 1260",
314 X,28.76,Southwest Portland Cement,,,,Tap not inspected or sampled -Original Construction
314 X,30.5,Stoddard Wells Tap,,,, Tap not inspected or sampled
314 X,34.22,Oro Grande - Victorville F,2000-05-14 00:00:00,Liquid,35 ppm,Feeds Oro Grande Township
314 X,34.22,Oro Grande - Victorville F,2000-05-30 00:00:00,Liquid,6 ppm,
314 X,34.22,Oro Grande - Victorville F,2000-06-14 00:00:00,Liquid,11 ppm,
314 X,34.22,Oro Grande - Victorville F,2000-06-29 00:00:00,Liquid,10 ppm,
314 X,34.22,Oro Grande - Victorville F,2000-07-29 00:00:00,None,,Filter was dry
314 X,34.22,Oro Grande - Victorville F,2000-08-21 00:00:00,Liquid,16 ppm,
314 X,34.22,Oro Grande - Victorville F,2000-10-02 00:00:00,Liquid,5 ppm,< 10 mls
314 X,34.22,Oro Grande - Victorville F,2000-10-02 00:00:00,Liquid,21 ppm,< 10 mls
314 X,34.22,Oro Grande - Victorville F,2000-10-26 00:00:00,Liquid,46 ppm,< 10 mls
314 X,34.22,Oro Grande - Victorville F,2000-11-20 00:00:00,Liquid,16 ppm,< 10 mls
314 X,34.22,Oro Grande - Victorville F,2000-12-18 00:00:00,Liquid,15 ppm,< 10 mls
314 X,34.22,Oro Grande - Victorville F,2001-01-23 00:00:00,Liquid,16 ppm,< 10 mls
314 X,34.34,"Big Bear ""B""",2000-02-09 00:00:00,None,,Two filters; both are dry
314 X,34.34,"Big Bear ""B""",2000-04-27 00:00:00,Liquid,"7 ppm as Aroclor 1016, 2 ppm as Aroclor 1254",
314 X,34.34,"Big Bear ""B""",05/14/00.,Liquid,"38 ppm as Aroclor 1016, 3 ppm as Aroclor 1254",Sample from meter set
314 X,34.34,"Big Bear ""B""",2000-05-30 00:00:00,Liquid,"6 ppm as Aroclor 1016, 2 ppm as Aroclor 1254",
314 X,34.34,"Big Bear ""B""",2000-06-14 00:00:00,Liquid,"16 ppm as Aroclor 1016, 2 ppm as Aroclor 1260",
314 X,34.34,"Big Bear ""B""",2000-06-29 00:00:00,Liquid,"16 ppm as Aroclor 1016, 3 ppm as Aroclor 1254",
314 X,34.34,"Big Bear ""B""",2000-07-29 00:00:00,Liquid,"15 ppm as Aroclor 1016, 2 ppm as Aroclor 1254",
314 X,34.34,"Big Bear ""B""",2000-08-18 00:00:00,Liquid,"16 ppm as Aroclor 1016, 2 ppm as Aroclor 1260",
314 X,34.34,"Big Bear ""B""",2000-09-05 00:00:00,Liquid,"16 ppm as Aroclor 1016, 3 ppm as Aroclor 1254",~20 mls
314 X,34.34,"Big Bear ""B""",2000-09-18 00:00:00,Liquid,"17 ppm as Aroclor 1016, 3 ppm as Aroclor 1254",~20 mls
314 X,34.34,"Big Bear ""B""",2000-10-02 00:00:00,Liquid,"17 ppm as Aroclor 1016, 3 ppm as Aroclor 1254",~20 mls
314 X,34.34,"Big Bear ""B""",2000-10-02 00:00:00,Liquid,"15 ppm as Aroclor 1016, 2.4 ppm as Aroclor 1254",~10 mls
314 X,34.34,"Big Bear ""B""",2000-10-26 00:00:00,Liquid,"13.2 ppm as Aroclor 1016, 2.4 ppm as Aroclor 1254",~10 mls
314 X,34.34,"Big Bear ""B""",2000-11-20 00:00:00,Liquid,"7.2 ppm as Aroclor 1016, 2.6 ppm as Aroclor 1254",~10 mls
314 X,34.34,"Big Bear ""B""",2000-12-18 00:00:00,Liquid,"5 ppm as Aroclor 1016, 2 ppm as Aroclor 1254",~10 mls
314 X,34.34,"Big Bear ""B""",2001-01-23 00:00:00,Liquid,7 ppm as Aroclor 1242,<10 mls
314 X,38.57,"Victorville ""C"" SWG",2000-02-09 00:00:00,None,,Two filters; both are dry
314 X,38.57,"Victorville ""C"" Meter",2000-02-17 00:00:00,Liquid,"5 ppm as Aroclor 1016, 4 ppm, as Aroclor 1254",
314 X,38.57,"Victorville ""C"" Meter",2000-03-22 00:00:00,Liquid,"3 ppm, as Aroclor 1254",
314 X,43.18,Black Mountain Cement,2000-02-09 00:00:00,None,,Meter tap is dry. Filter on low flow run is dry
314 X,43.18,Black Mountain Cement,2000-03-23 00:00:00,Liquid,"0.2 ppm as Aroclor 1016, 0.8 ppm, as Aroclor 1254",Sample from Filter
314 X,43.18,Black Mountain Cement,2000-03-23 00:00:00,Wipe,2 ug /wipe as Aroclor 1254,semi-quantittative wipw inside filter canister
314 X,43.18,Black Mountain Cement,2000-04-05 00:00:00,Wipe,2 ug /wipe as Aroclor 1254,semi-quantittative wipw inside filter canister
314 X,43.18,Black Mountain Cement,2000-03-23 00:00:00,Liquid,3 ppm as Aroclor 1254 ,Sample from Filter
314 X,43.18,Black Mountain Cement,2000-05-01 00:00:00,Liquid,,Insufficient Sample
314 X,43.18,Black Mountain Cement,2000-05-15 00:00:00,Solid,< 1 ppm,Dust from Filter
314 X,43.18,Black Mountain Cement,2000-07-24 00:00:00,None,,Filter
314 X,43.18,Black Mountain Cement,2000-08-21 00:00:00,Wipe, ND < 1ug/100cm2 ,
314 X,43.18,Black Mountain Cement,2000-09-06 00:00:00,None,,No liquids
314 X,43.18,Black Mountain Cement,2000-09-18 00:00:00,None,,No liquids
314 X,43.18,Black Mountain Cement,2000-10-04 00:00:00,None,,No liquids
314 X,43.18,Black Mountain Cement,2000-11-03 00:00:00,None,,No liquids
314 X,43.18,Black Mountain Cement,2001-01-03 00:00:00,None,,No liquids
372 X (Line 311 branch),3.7,R.C. Primary Reg. Station,2000-05-04 00:00:00,Wipe, ND < 1ug/100cm2 ,Ridgecrest primary filter
372 X (Line 311 branch),3.7,R.C. Primary Reg. Station,2000-05-16 00:00:00,Wipe, ND < 1ug/100cm2 ,Ridgecrest primary filter
372 X (Line 311 branch),3.7,R.C. Primary Reg. Station,2000-05-16 00:00:00,Liquid, < 1 ppm,"Ridgecrest primary, liquid taken from orifice meter"
372 X (Line 311 branch),3.7,R.C. Primary Reg. Station,2000-08-21 00:00:00,None,,Filter Dry
372 X (Line 311 branch),3.7,R.C. Primary Reg. Station,2000-10-02 00:00:00,None,,Filter Dry
372 X (Line 311 branch),3.7,R.C. Primary Reg. Station,2001-01-02 00:00:00,None,,Filter Dry
