,,,,,,,ENRON POW,ER TRADING &,TRANSMISSION,,,,,,Run Date,:       08/31,/01,,
741818,TRANSALTENEMAR,2001-08-21 00:00:00,2001-08-22 00:00:00,2001-08-22 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-649
741850,TRANSALTENEMAR,2001-08-21 00:00:00,2001-08-22 00:00:00,2001-08-22 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-1249
742387,TRANSALTENEMAR,2001-08-21 00:00:00,2001-08-22 00:00:00,2001-08-22 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-1751
742997,TRANSALTENEMAR,2001-08-22 00:00:00,2001-08-23 00:00:00,2001-08-23 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-5299
743707,TRANSALTENEMAR,2001-08-22 00:00:00,2001-08-23 00:00:00,2001-08-23 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,2299
744478,TRANSALTENEMAR,2001-08-22 00:00:00,2001-08-23 00:00:00,2001-08-23 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,500
748026,TRANSALTENEMAR,2001-08-24 00:00:00,2001-08-25 00:00:00,2001-08-26 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,12340
748032,TRANSALTENEMAR,2001-08-24 00:00:00,2001-08-27 00:00:00,2001-08-27 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,1301
749112,TRANSALTENEMAR,2001-08-27 00:00:00,2001-08-28 00:00:00,2001-08-28 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-4626
750325,TRANSALTENEMAR,2001-08-27 00:00:00,2001-08-28 00:00:00,2001-08-28 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,1626
753732,TRANSALTENEMAR,2001-08-29 00:00:00,2001-08-30 00:00:00,2001-08-30 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-2808
753733,TRANSALTENEMAR,2001-08-29 00:00:00,2001-08-31 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,3,-2400
753937,TRANSALTENEMAR,2001-08-29 00:00:00,2001-08-30 00:00:00,2001-08-30 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,-2808
754239,TRANSALTENEMAR,2001-08-29 00:00:00,2001-08-30 00:00:00,2001-08-30 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-1008
755997,TRANSALTENEMAR,2001-08-30 00:00:00,2001-08-31 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,-3,2400
756141,TRANSALTENEMAR,2001-08-30 00:00:00,2001-08-31 00:00:00,2001-08-31 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,-1,1200
756224,TRANSALTENEMAR,2001-08-30 00:00:00,2001-08-30 00:00:00,2001-08-30 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,750
,,,,,,,ENRON POW,ER TRADING &,TRANSMISSION,,,,,,Run Date,:       08/31,/01,,
Report Da,te:  08/31/01,,,,,,,Deal Summar,y,,,,,,Run Time,:       16:10,:59,,
Post ID:,12573,,,,,,,,,,,,,,Page,:       5,,,
Desk: ALB,ERTA-HOURLY,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,Trade,Start,End,,,,,,,,,,Current,,,,Prior Day,Prior
Deal,Counter,Date,Date,Date,Anty,Delivery,PV'd,Swap Vol,PV'd,Option Vol,Notional,Deal Vol,,Deal,MTM P/L,,LTD,Hedge,Day
Number,Party,MM/DD/YY,MM/DD/YY,MM/DD/YY,Y/N,Point,Peak,Off Peak,Peak,Off Peak,Peak,Off Peak,Price Mid,Basis Mid,Total Mid,Prudent,Liquidations,Management,Liquidations
---------,------------------,--------,--------,--------,----,------------------------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,------------,----------------,---------------,-------------
,,,,,,,,,,,,,,,,,,,
756295,TRANSALTENEMAR,2001-08-30 00:00:00,2001-08-30 00:00:00,2001-08-30 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,225
756296,TRANSALTENEMAR,2001-08-30 00:00:00,2001-08-30 00:00:00,2001-08-30 00:00:00,No,Financial Deal - R21 (Alberta),0,0,0,0,0,0,0,0,0,0,,0,158
757448,TRANSALTENEMAR,2001-08-30 00:00:00,2001-09-01 00:00:00,2001-09-03 00:00:00,No,Alberta Power Pool,0,-1793,0,0,0,-1800,6874,0,6874,6874,,5379,0
757458,TRANSALTENEMAR,2001-08-30 00:00:00,2001-08-31 00:00:00,2001-08-31 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,1,-900
757625,TRANSALTENEMAR,2001-08-30 00:00:00,2001-09-01 00:00:00,2001-09-03 00:00:00,No,Alberta Power Pool,0,-1793,0,0,0,-1800,5081,0,5081,5081,,5379,0
758618,TRANSALTENEMAR,2001-08-31 00:00:00,2001-09-01 00:00:00,2001-09-03 00:00:00,No,Financial Deal - R21 (Alberta),0,1195,0,0,0,1200,1992,0,1992,1992,,1992,0
759391,TRANSALTENEMAR,2001-08-31 00:00:00,2001-09-01 00:00:00,2001-09-03 00:00:00,No,Alberta Power Pool,0,-1793,0,0,0,-1800,598,0,598,598,,598,0
713836,TRANSCANENEFIN,2001-08-01 00:00:00,2001-08-02 00:00:00,2001-08-02 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-5592
735789,TRANSCANENEFIN,2001-08-16 00:00:00,2001-08-17 00:00:00,2001-08-17 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-571
737324,TRANSCANENEFIN,2001-08-17 00:00:00,2001-08-18 00:00:00,2001-08-19 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,2394
742388,TRANSCANENEFIN,2001-08-21 00:00:00,2001-08-22 00:00:00,2001-08-22 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,-1151
748027,TRANSCANENEFIN,2001-08-24 00:00:00,2001-08-27 00:00:00,2001-08-27 00:00:00,No,Alberta Power Pool,0,0,0,0,0,0,0,0,0,0,,0,701
758829,TRANSCANENEFIN,2001-08-31 00:00:00,2001-09-01 00:00:00,2001-09-03 00:00:00,No,Financial Deal - R21 (Alberta),0,1195,0,0,0,1200,2889,0,2889,2889,,2889,0
758836,TRANSCANENEFIN,2001-08-31 00:00:00,2001-09-01 00:00:00,2001-09-03 00:00:00,No,Financial Deal - R21 (Alberta),0,1195,0,0,0,1200,3785,0,3785,3785,,3785,0
,,,,,,,------------,-------------,-------------,-------------,------------,-------------,------------,-------------,-------------,-------------,----------------,----------------,-------------
Total for,Region R21,,,,,,-15141,-23110,0,0,-15200,-23200,163607,0,163607,163607,,125646,-102514
,,,,,,,============,=============,=============,=============,============,=============,============,=============,=============,=============,================,================,=============
Total Pow,er Price Book,,,,,,-15141,-23110,0,0,-15200,-23200,163607,0,163607,163607,,125646,-102514
,,,,,,,============,=============,=============,=============,============,=============,============,=============,=============,=============,================,================,=============
