,Dow Salt Dome Operations,Stratten Ridge (2 caverns),Brazoria,2580,2346,1778,1447,1393,1055,897,977,958,1113,1478,1827,2697,3847,2581,2580,3120,4294,3277,3600,4297,4544,4569,4312,4318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HNG Storage Company,North Dayton,Liberty,3659,753,753,614,697,615,766,1519,2938,2538,3734,3565,3088,3588,3370,3659,3746,3328,2862,3754,3979,2913,3920,4071,3593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Bethel,Anderson,7100,6172,5626,5447,5492,4775,4619,4581,4901,5162,5362,5362,5580,5925,6150,6177,6165,6209,6258,6538,6710,6304,6725,6724,5102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Market Hub Partners, L. P. ",Moss Bluff,Liberty,10000,3854,3963,3613,4111,2057,3364,5031,6025,5744,4801,5692,5779,7409,7813,8399,8664,7519,6585,8520,9347,9635,10131,9563,8752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Valero Gas Storage,Boling,Wharton,8299,4644,4025,3434,2641,1805,1887,2354,3101,2408,1412,1308,1743,1717,2268,2948,2637,2650,3104,4259,5287,5088,6055,5682,5798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Phillips Petroleum,Clemens,Brazoria,1800,968,942,907,851,823,718,648,1417,1184,806,778,828,841,826,968,376,625,1136,1424,1622,1692,1747,1849,1787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entergy Gulf States,Spindletop,Jefferson,8500,5021,4644,4488,4618,4077,3370,3882,4278,4056,3065,3062,4376,4352,3740,4466,4765,4712,5487,6482,6758,6908,6972,6647,6730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tejas,STratten Ridge,Brazoria,1700,1128,1144,811,637,796,748,760,0,1009,1044,870,982,1030,1134,1081,1213,1112,1335,1109,1469,1331,1218,1045,1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midtex Gas Storage Company LLP,Markham (2 caverns),Matagorda,6000,3345,2886,1102,192,226,794,460,1364,2199,3332,3334,2169,3334,2715,2901,2801,2144,2415,2431,4199,4279,4442,3990,3330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Utilities Fuel Co.,Bethel (3 caverns),Anderson,8810,8429,8128,7370,6932,6536,6820,7235,7537,7418,7567,8041,8393,8542,8051,7402,6589,6662,5565,6445,7681,7608,8219,8172,6993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salt Domes,,,66648,41827,38289,33318,31913,27373,29032,34045,40501,40936,39900,41926,42437,47850,45837,49646,49192,47120,44623,52811,61311,59531,64268,61767,56918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OPERATING COMPANY,FIELD,COUNTY,WORKING TOP GAS,RRC 1/15/99,RRC 1/31/99,RRC 2/15/99,RRC 2/28/99,RRC 3/15/99,RRC 3/31/99,RRC 4/15/99,RRC 4/30/99,RRC 5/15/99,RRC 5/31/99,RRC 6/15/99,RRC 6/30/99,RRC 7/15/99,RRC 7/31/99,RRC 8/15/99,RRC 8/31/99,RRC 9/15/99,RRC 9/30/99,RRC 10/15/99,RRC 10/31/99,RRC 11/15/99,RRC 11/30/99,RRC 12/15/99,RRC 12/31/99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"American Gas Storage, L. P.","Salado I, II, and III",Gaines,3000,1470,1838,2286,2141,799,893,576,1544,1934,1544,1934,1945,1598,371,903,1139,924,1334,1418,2050,2528,1948,1247,1665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Centana Intrastate Pipeline Co.,Spindletop,Jefferson,5200,4567,4072,3376,3308,2764,2902,3438,3257,3542,4392,4946,5410,5747,5511,5648,6295,6962,7753,7824,7749,8155,7983,8156,7312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dow Salt Dome Operations,Stratten Ridge (2 caverns),Brazoria,2580,3342,3078,2848,2529,2501,2356,2766,3457,3892,4254,4254,4197,4197,4134,4134,4147,4147,4227,4226,4326,4326,4020,4020,2938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HNG Storage Company,North Dayton,Liberty,3659,1762,2131,1711,1816,1452,2606,2073,1930,3257,3757,3880,3268,3852,2953,2026,1945,3183,4235,3893,3906,4003,4350,2872,2919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Bethel,Anderson,7100,5404,4258,4865,4499,4219,4223,4467,5487,5990,6019,6029,6324,6295,3278,6294,6697,6964,6277,6354,6575,6691,6682,6423,5572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Market Hub Partners, L. P. ",Moss Bluff,Liberty,10000,6317,6754,7036,5939,5703,5151,5596,5273,6526,6854,8042,8155,7521,7085,6713,7613,8161,9770,10119,10656,10753,9584,8932,7042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Valero Gas Storage,Boling,Wharton,8299,3884,4203,4001,4163,2887,2818,2196,2199,2882,2445,3067,2342,2821,2857,3418,3480,3801,4245,3854,4631,5564,5434,3901,3952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Phillips Petroleum,Clemens,Brazoria,1800,1588,1356,1258,1189,1213,1005,1128,1405,1630,1822,1792,1786,1906,1962,1962,2010,2008,1968,1986,2049,1861,1856,1568,1299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entergy Gulf States,Spindletop,Jefferson,8500,6791,6722,6786,6983,6611,6852,6819,6599,6621,6923,6862,6862,6806,6555,6870,6818,6818,6873,7037,6940,6875,6850,6843,6725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tejas,STratten Ridge,Brazoria,1700,986,1227,4048,1304,1211,1047,955,1157,1399,1410,1256,1596,1561,1425,1367,1312,1442,1316,1315,1372,1417,1316,1228,1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midtex Gas Storage Company LLP,Markham (2 caverns),Matagorda,6000,866,1670,1517,1465,1085,1866,2265,1852,2469,3258,3803,3503,3633,3490,2776,2617,3568,4326,4096,4128,4462,4332,3210,3326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Utilities Fuel Co.,Bethel (3 caverns),Anderson,8810,6307,6470,6124,5573,5310,5552,5699,6335,7023,8295,7725,8521,8430,7077,6860,7127,6920,7065,7529,9002,9449,9549,9267,7746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salt Domes,,,66648,43284,43779,45856,40909,35755,37271,37978,40495,47165,50973,53590,53909,54367,46698,48971,51200,54898,59389,59651,63384,66084,63904,57667,51742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OPERATING COMPANY,FIELD,COUNTY,WORKING TOP GAS,RRC 1/15/00,RRC 1/31/00,RRC 2/15/00,RRC 2/28/00,RRC 3/15/00,RRC 3/31/00,RRC 4/15/00,RRC 4/30/00,RRC 5/15/00,RRC 5/31/00,RRC 6/15/00,RRC 6/30/00,RRC 7/15/00,RRC 7/31/00,RRC 8/15/00,RRC 8/31/00,RRC 9/15/00,RRC 9/30/00,RRC 10/15/00,RRC 10/31/00,RRC 11/15/00,RRC 11/30/00,RRC 12/15/00,RRC 12/31/00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"American Gas Storage, L. P.","Salado I, II, and III",Gaines,3000,1582,1520,1349,629,1050,521,1055,1755,1358,1755,1358,1550,2050,1502,522,788,883,1875,1501,1875,1501,2462,1098,64,,1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Centana Intrastate Pipeline Co.,Spindletop,Jefferson,5200,7121,4073,3433,2606,3175,2262,2543,1814,2740,3294,3297,3099,3333,3450,4011,4379,5184,5437,6121,6048,6121,5510,4767,2975,,3442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dow Salt Dome Operations,Stratten Ridge (2 caverns),Brazoria,2580,2574,2551,2200,2888,2393,2990,3336,3726,3792,3457,3506,3957,3957,3822,4217,3922,3923,3941,3941,3941,3941,3710,3393,3543,,1053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HNG Storage Company,North Dayton,Liberty,3659,3114,848,1023,1646,1217,1945,3183,1241,865,1125,3338,1168,1938,3498,2306,1441,1137,2656,3451,2656,3451,2739,2605,824,,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Bethel,Anderson,7100,4850,3548,3657,3326,3253,4161,4631,5849,5935,5034,5266,4933,5405,5818,6290,5977,6193,6258,6258,6191,6102,6462,5622,4622,,2865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Market Hub Partners, L. P. ",Moss Bluff,Liberty,10000,6900,3882,3288,3887,4690,4802,4421,4318,4101,4319,4102,6479,6985,7763,7083,6627,6824,8448,9800,8448,9800,8673,6704,3508,,4561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Valero Gas Storage,Boling,Wharton,8299,3561,2902,3392,1830,1469,1204,1498,2250,1115,2250,1115,3693,2808,3625,2267,1396,2462,2980,2556,3559,3576,5278,4104,4152,,1729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Phillips Petroleum,Clemens,Brazoria,1800,942,753,749,828,873,668,694,643,771,693,692,697,690,498,409,395,495,461,488,460,488,558,542,676,,-368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entergy Gulf States,Spindletop,Jefferson,8500,6710,6556,6872,6989,6872,6859,6742,6547,6681,6528,6613,6971,6797,6891,6801,6832,6715,6759,6852,6825,6852,6601,6767,6575,,-164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tejas,STratten Ridge,Brazoria,1700,1152,1149,1101,1080,1044,1208,1164,1438,1164,1438,1578,1481,1564,1497,1494,1433,1628,1734,1721,1718,1721,1662,1623,1411,,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midtex Gas Storage Company LLP,Markham (2 caverns),Matagorda,6000,3472,1188,878,974,1429,1146,1655,2046,1826,1254,2077,1769,1781,2589,1815,1248,790,1499,2960,1556,2960,3040,2628,1777,,582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Utilities Fuel Co.,Bethel (3 caverns),Anderson,8810,7227,5706,5572,5270,5482,5332,5559,6203,6465,6486,7227,6960,6376,6767,6415,5509,5021,4913,5086,6415,6453,7571,6750,6214,,1145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salt Domes,,,66648,49205,34676,33514,31953,32947,33098,36481,37830,36813,37633,40169,42757,43684,47720,43630,39947,41255,46961,50735,49692,52966,54266,46603,36341,,17739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OPERATING COMPANY,FIELD,COUNTY,WORKING TOP GAS,RRC 1/15/01,RRC 1/31/01,RRC 2/15/01,RRC 2/28/01,RRC 3/15/01,RRC 3/31/01,RRC 4/15/01,RRC 4/30/01,RRC 5/15/01,RRC 5/31/01,RRC 6/15/01,RRC 6/30/01,RRC 7/15/01,RRC 7/31/01,RRC 8/15/01,RRC 8/31/01,RRC 9/15/01,RRC 9/30/01,RRC 10/15/01,RRC 10/31/01,RRC 11/15/01,RRC 11/30/01,RRC 12/15/01,RRC 12/31/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oneok TX Gas Storage LP,"Salado I, II, and III",Gaines,3000,164,214,1581,1567,1879,855,1281,1891,2171,1964,1443,197,166,561,501,1139,1326,1062,937,516,1227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Centana Intrastate Pipeline Co.,Spindletop,Jefferson,5200,2627,2472,2341,1878,2141,2331,2563,3233,4101,4799,5268,5984,6460,5914,5953,6309,7359,8355,9052,8355,9052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dow Salt Dome Operations,Stratten Ridge (2 caverns),Brazoria,2580,3295,2094,1235,820,971,289,609,1301,1610,1881,2050,2359,2352,3108,3577,3108,3577,3791,3954,3791,3954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HNG Storage Company,North Dayton,Liberty,3659,1958,3544,2635,3439,1947,1568,1715,1257,2327,2744,2380,2088,1957,2152,2215,3091,1372,2361,1786,3386,3322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lone Star Pipeline Co.,Bethel,Anderson,7100,4107,3715,3199,3461,3151,2368,3414,4203,4896,5852,6546,5034,5086,5070,5249,5246,5281,5427,5837,5415,6148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Market Hub Partners, L. P. ",Moss Bluff,Liberty,10000,3430,6833,5686,4368,5616,3998,5293,7611,7692,8591,7541,6469,7041,5195,4869,6070,7822,10055,11711,10055,11711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Valero Gas Storage,Boling,Wharton,8299,4155,4404,5398,4824,1924,1266,1639,1266,1639,2595,2235,3358,4437,4523,3831,4523,3831,4945,5515,4219,4220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Phillips Petroleum,Clemens,Brazoria,1800,978,1295,880,1186,715,203,172,217,254,254,238,249,397,375,390,375,390,371,395,466,510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Entergy Gulf States,Spindletop,Jefferson,8500,6808,6565,6689,6733,6546,6634,6470,6979,6970,6887,6869,7021,7030,6844,6848,6988,6930,6921,6934,6921,6934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Tejas,STratten Ridge,Brazoria,1700,1103,974,914,1168,1244,1304,1490,1734,1765,1727,1755,1761,1779,1615,1506,1612,1777,1770,1726,1770,1726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Midtex Gas Storage Company LLP,Markham (2 caverns),Matagorda,6000,2478,3861,4165,4224,3733,3542,3843,3542,3844,3660,3625,3768,3281,2838,2215,2561,2524,2843,2771,2843,2771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Texas Utilities Fuel Co.,Bethel (3 caverns),Anderson,8810,6049,4814,4073,3326,3830,3713,4472,5527,6410,6240,5651,5471,4875,4142,3025,3718,3427,3998,4196,5435,5664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salt Domes,,,66648,37152,40785,38796,36994,33697,28071,32961,38761,43679,47194,45601,43759,44861,42337,40179,44740,45616,51899,54814,53172,57239,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-1227,532,-695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-236,137,-99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-63,0,-63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-899,-927,-1826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-3017,3016,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-436,-372,-808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,36,561,597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,56,0,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-251,315,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-136,-58,-194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-143,-714,-857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-1353,-217,-1570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
