Organization Name,Transaction Type,Firm/Interruptable,Volume (MW),Min Price,Max Price,Point Name,
"Willamette Industries, Inc.                                                               ",P,F   ,11137,-10.26,344.16,Pacificorp System Border,
                                                                                          , ,    ,           ,              ,              ,Willamette Ind. Busbar,
"Willamette Industries, Inc.                                                               ",P,I   ,5165,-5.84,316.62,Pacificorp System Border,
                                                                                          , ,    ,           ,              ,              ,Willamette Ind. Busbar,
Williams Energy Marketing & Trading Company                                               ,P,F   ,11803698,17.6,370,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,John Day,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
Williams Energy Marketing & Trading Company                                               ,P,I   ,11200,34.25,34.25,TVA  (Into) System Border,
Wisconsin Electric Power Company                                                          ,P,F   ,3400,13,48,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,CE-AEP Interface,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,WEPCO System Border,
Wisconsin Electric Power Company                                                          ,P,I   ,3337,12.5,58,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,Ameren (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          ,,    ,           ,              ,              ,COMED (out of) System Border,
                                                                                          , ,    ,           ,              ,              ,ENWC-WHEATLAND (CIN)-EPMI,
                                                                                          , ,    ,           ,              ,              ,MECS System Border,
                                                                                          , ,    ,           ,              ,              ,NSP System Border,
                                                                                          , ,    ,           ,              ,              ,SC System Border,
                                                                                          , ,    ,           ,              ,              ,WEPCO System Border,
,,,,,,,
,Total Purchases,,178153970,,,,
,,,,,,,
,,,,,,,
"Allegheny Energy Supply Company, LLC                                                      ",S,F   ,-2219950,15.84,110,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,ENWC-WHEATLAND (CIN)-EPMI,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
"Allegheny Energy Supply Company, LLC                                                      ",S,I   ,-3326,24,55,AEP-APSE Interface,
                                                                                          , ,    ,           ,              ,              ,APSE System Border,
                                                                                          , ,    ,           ,              ,              ,APSE-AEP Interface,
                                                                                          , ,    ,           ,              ,              ,DPL System Border,
                                                                                          , ,    ,           ,              ,              ,MECS System Border,
"Alliant Energy Corporate Services, Inc.                                                   ",S,F   ,-57118,26.5,110,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,NSP System Border,
"Alliant Energy Corporate Services, Inc.                                                   ",S,I   ,-1090,28.5,95,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,NSP System Border,
                                                                                          , ,    ,           ,              ,              ,UPA System Border,
                                                                                          , ,    ,           ,              ,              ,WPL System Border,
Amerada Hess Corporation                                                                  ,S,F   ,-12900,2.21,184.42,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
"Ameren Energy, Inc., as agent                                                             ",S,F   ,-271665,20,109,Ameren (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,NSP System Border,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
"Ameren Energy, Inc., as agent                                                             ",S,I   ,-5966,24,90,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,Ameren (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,CILCO-CIPS Interface ,
                                                                                          , ,    ,           ,              ,              ,FPC System Border,
                                                                                          , ,    ,           ,              ,              ,NSP System Border,
American Electric Power Service Corporation                                               ,S,F   ,-19780744,12,525,AECI System Border,
                                                                                          , ,    ,           ,              ,              ,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Out of ) System,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,ENWC-WHEATLAND (CIN)-EPMI,
                                                                                          , ,    ,           ,              ,              ,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,NSP System Border,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,UPA System Border,
American Electric Power Service Corporation                                               ,S,I   ,-8899,10,117,AECI System Border,
                                                                                          , ,    ,           ,              ,              ,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,Ameren (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,CAJAN System Border,
                                                                                          , ,    ,           ,              ,              ,CILCO System Border ,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,CSWS System Border ,
                                                                                          , ,    ,           ,              ,              ,CSWS/PSO System Border,
                                                                                          , ,    ,           ,              ,              ,CSWS/PSO-AECI Interface,
                                                                                          , ,    ,           ,              ,              ,CSWS/SWEPCO-Entergy Interface,
                                                                                          , ,    ,           ,              ,              ,DP&L System Border,
                                                                                          , ,    ,           ,              ,              ,ENWC-WHEATLAND (CIN)-EPMI,
                                                                                          , ,    ,           ,              ,              ,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,Entergy System Border,
                                                                                          , ,    ,           ,              ,              ,FPC System Border,
                                                                                          , ,    ,           ,              ,              ,Four Corners-345KV,
                                                                                          , ,    ,           ,              ,              ,GSE System Border,
                                                                                          , ,    ,           ,              ,              ,NSP System Border,
                                                                                          , ,    ,           ,              ,              ,OPPD System Border,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,TVA System Border,
Aquila Energy Marketing Corporation                                                       ,S,F   ,-14361006,5.16,1021.28,Big Eddy,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
Aquila Energy Marketing Corporation                                                       ,S,I   ,-4823,32.25,130,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
Arizona Public Service Company                                                            ,S,F   ,-328862,4,277.5,COB N/S,
                                                                                          , ,    ,           ,              ,              ,Four Corners-345KV,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,Mead-230KV,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
Arizona Public Service Company                                                            ,S,I   ,-487,4,50,Four Corners-345KV,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
Arkansas Electric Cooperative Corporation                                                 ,S,I   ,-200,16.5,17,Entergy System Border,
Ash Grove Cement Company Inc                                                              ,S,F   ,-7469,79.7,268.7,Montana System Border,
"Associated Electric Cooperative, Inc.                                                     ",S,F   ,-684,41,88,AECI System Border,
                                                                                          , ,    ,           ,              ,              ,ENWC-WHEATLAND (CIN)-EPMI,
                                                                                          , ,    ,           ,              ,              ,NSP System Border,
                                                                                          , ,    ,           ,              ,              ,UPA System Border,
"Associated Electric Cooperative, Inc.                                                     ",S,I   ,-22740,11,100,AECI System Border,
                                                                                          , ,    ,           ,              ,              ,Ameren (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,Associated,
                                                                                          , ,    ,           ,              ,              ,CAJAN System Border,
                                                                                          , ,    ,           ,              ,              ,Entergy-AECI Interface,
                                                                                          , ,    ,           ,              ,              ,NSP System Border,
                                                                                          , ,    ,           ,              ,              ,SC System Border,
                                                                                          , ,    ,           ,              ,              ,TVA System Border,
                                                                                          , ,    ,           ,              ,              ,TVA-Entergy Interface,
                                                                                          , ,    ,           ,              ,              ,UPA System Border,
"Austin, City Of                                                                           ",S,F   ,-200,70,70,ERCOT System,
Avista Corporation - Washington Water Power Division                                      ,S,F   ,-341445,24.65,650,COB N/S,
                                                                                          , ,    ,           ,              ,              ,Hot Springs,
                                                                                          , ,    ,           ,              ,              ,John Day,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,Malin,
                                                                                          , ,    ,           ,              ,              ,Montana System Border,
                                                                                          , ,    ,           ,              ,              ,Pacificorp System Border,
                                                                                          , ,    ,           ,              ,              ,Portland General System,
                                                                                          , ,    ,           ,              ,              ,Snohomish System,
                                                                                          , ,    ,           ,              ,              ,WWP-Lolo,
Avista Corporation - Washington Water Power Division                                      ,S,I   ,-11276,65,375,Hot Springs,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,Malin,
                                                                                          , ,    ,           ,              ,              ,Pacificorp System Border,
"Avista Energy, Inc.                                                                       ",S,F   ,-4800995,18.5,575,COB N/S,
                                                                                          , ,    ,           ,              ,              ,COB S/N,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,Malin,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,SP-15,
Bonneville Power Administration                                                           ,S,F   ,-882902,34.35,275,COB N/S,
                                                                                          , ,    ,           ,              ,              ,Hot Springs,
                                                                                          , ,    ,           ,              ,              ,John Day,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
Bonneville Power Administration                                                           ,S,I   ,-265,30,140,Hot Springs,
BP Energy Company                                                                         ,S,F   ,-2370475,18.43,800,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
,,,,,,,
"Bryan, City Of                                                                            ",S,F   ,-1050,80,80,ERCOT System,
"Bryan, City Of                                                                            ",S,I   ,-150,50,50,ERCOT System,
,,,,,,,
California Department of Water Resources                                                  ,S,F   ,-66050,4.93,250,NP-15,
                                                                                          , ,    ,           ,              ,              ,SP-15,
California Power Exchange Corporation                                                     ,S,F   ,-1710570,-27.99,1021,NP-15,
                                                                                          , ,    ,           ,              ,              ,SP-15,
,,,,,,COB N/S,
,,,,,,Captain Jack,
,,,,,,Cascade,
                                                                                          , ,    ,           ,              ,              ,Four Corners-230KV,
                                                                                          , ,    ,           ,              ,              ,Four Corners-345KV,
                                                                                          , ,    ,           ,              ,              ,Malin,
                                                                                          , ,    ,           ,              ,              ,Mead 500KV Node,
                                                                                          , ,    ,           ,              ,              ,Mead-230KV,
                                                                                          , ,    ,           ,              ,              ,Mirage,
                                                                                          , ,    ,           ,              ,              ,N. Gila (PV),
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,Sylmar,
                                                                                          , ,    ,           ,              ,              ,Victorville,
California Independent System Operator,S,F   ,-749806,-250,250,COB,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,COB S/N,
                                                                                          , ,    ,           ,              ,              ,Cascade,
                                                                                          , ,    ,           ,              ,              ,Four Corners-345KV,
                                                                                          , ,    ,           ,              ,              ,Malin,
                                                                                          , ,    ,           ,              ,              ,Mead-230KV,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,SP-15,
California Independent System Operator,S,I   ,-1172,0,0,Malin,
,,,,,,Cascade,
"Calpine Energy Services, L.P.                                                             ",S,F   ,-1274800,45,1021.45,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,NP-15,
"Calpine Energy Services, L.P.                                                             ",S,I   ,-150,60,107,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,HL&P System Border,
Calpine Power Services Company                                                            ,S,F   ,-25600,44,193.77,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,NP-15,
"Cargill-Alliant, LLC                                                                      ",S,F   ,-1010192,18.79,400,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,ERCOT System,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
"Cargill-Alliant, LLC                                                                      ",S,I   ,-50,20,20,COMED (into) System Border,
Carolina Power & Light Company                                                            ,S,F   ,-105747,24.25,105,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,DP&L System Border,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
Carolina Power & Light Company                                                            ,S,I   ,-900,80,83,CP&L System Border,
                                                                                          , ,    ,           ,              ,              ,DUKE-CP&L(East) Interface,
Central Illinois Light Company                                                            ,S,F   ,-53200,28.5,97.5,CE-CIL Interface,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
Central Illinois Light Company                                                            ,S,I   ,-4300,15,80,CE-CIL Interface,
                                                                                          , ,    ,           ,              ,              ,CILCO System Border ,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,NIPS System Border ,
"Cinergy Services, Inc.                                                                    ",S,F   ,-3056625,13.67,251,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COB N/S,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,ENWC-WHEATLAND (CIN)-EPMI,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,PJM-500 Interface (excluding Ramapo),
                                                                                          , ,    ,           ,              ,              ,PJM-WESCOSVL,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
                                                                                          , ,    ,           ,              ,              ,SP-15,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
"Cinergy Services, Inc.                                                                    ",S,I   ,-2078,10,235,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,ENSE-Brownsville-ENSE,
                                                                                          , ,    ,           ,              ,              ,ENWC-WHEATLAND (CIN)-EPMI,
                                                                                          , ,    ,           ,              ,              ,FPC System Border,
                                                                                          , ,    ,           ,              ,              ,TVA System Border,
City of Burbank                                                                           ,S,F   ,-70,125,125,Mead-230KV,
City of McMinnville Water & Light                                                         ,S,F   ,-24299,23.7,34.65,BPA Busbar,
City of Redding                                                                           ,S,F   ,-35800,36.35,425,COB N/S,
                                                                                          , ,    ,           ,              ,              ,NP-15,
City Of Riverside                                                                         ,S,F   ,-33737,46,280,PALO VERDE,
                                                                                          , ,    ,           ,              ,              ,SP-15,
City of Roseville                                                                         ,S,F   ,-110450,49,49,NP-15,
"City of Santa Clara California, Silicon Valley Power                                      ",S,F   ,-382000,68.5,515,COB N/S,
                                                                                          , ,    ,           ,              ,              ,NP-15,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
City of Shasta Lake                                                                       ,S,F   ,-7440,75.91,75.91,NP-15,
"City of Tacoma, Department of Public Utilities (dba Tacoma Power)                         ",S,F   ,-137326,50,3324.01,Hot Springs,
                                                                                          , ,    ,           ,              ,              ,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,Tacoma System Border,
"City of Tacoma, Department of Public Utilities (dba Tacoma Power)                         ",S,I   ,-1707,325,600,Hot Springs,
                                                                                          , ,    ,           ,              ,              ,Malin,
,,,,,,Pacificorp System Border,
City of Tallahassee                                                                       ,S,I   ,-330,22,55,ENSE-Caledonia-EPMI,
                                                                                          , ,    ,           ,              ,              ,TALL System Border,
"Clatskanie Peoples Utility District, Inc.                                                 ",S,F   ,-17568,0,0,BPA Busbar,
CLECO Corporation                                                                         ,S,I   ,-200,35,35,CLECO System Border,
"CLECO Marketing and Trading, LLC                                                          ",S,F   ,-19250,36.25,90,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,SPS System Border,
"Cleco Utility Group, Inc.                                                                 ",S,F   ,-1600,43,47,Entergy (Into) System Border,
"Cleco Utility Group, Inc.                                                                 ",S,I   ,-100,28,28,SC System Border,
"CMS Marketing, Services and Trading Company                                               ",S,F   ,-401600,26,62,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,Entergy (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,PJM-Western Hub,
"Coastal Merchant Energy, L.P.                                                             ",S,F   ,-221400,29.5,195,MID COLUMBIA,
                                                                                          , ,    ,           ,              ,              ,NEPOOL PTF,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
Colorado River Commission                                                                 ,S,F   ,-261425,59.75,112,COB N/S,
                                                                                          , ,    ,           ,              ,              ,PALO VERDE,
Colorado Springs Utilities                                                                ,S,F   ,-32510,28.08,75,Midway - PSC,
Colorado Springs Utilities                                                                ,S,I   ,-625,28.08,28.08,Midway - PSC,
Commonwealth Edison Company                                                               ,S,F   ,-739709,5.5,105,AECI System Border,
                                                                                          , ,    ,           ,              ,              ,AECI-Entergy Interface,
                                                                                          , ,    ,           ,              ,              ,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,AEP System Border ,
                                                                                          , ,    ,           ,              ,              ,AP to PJM,
                                                                                          , ,    ,           ,              ,              ,Ameren (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,CINERGY (Into) System,
                                                                                          , ,    ,           ,              ,              ,COMED (into) System Border,
                                                                                          , ,    ,           ,              ,              ,DPL System Border,
                                                                                          , ,    ,           ,              ,              ,ENSE-Brownsville-ENSE,
                                                                                          , ,    ,           ,              ,              ,ENWC-WHEATLAND (CIN)-EPMI,
                                                                                          , ,    ,           ,              ,              ,NSP System Border,
                                                                                          , ,    ,           ,              ,              ,TVA  (Into) System Border,
                                                                                          , ,    ,           ,              ,              ,TVA System Border,
                                                                                          , ,    ,           ,              ,              ,WEPCO System Border,
Commonwealth Edison Company                                                               ,S,I   ,-4524,4.5,113,AECI System Border,
                                                                                          , ,    ,           ,              ,              ,AEP System Border ,
