North American Gas and Power ,,,,,,,,,,,,,,,,,,
Global Contract Report,,,,,,,,,,,,,,,,,,
,,,,,Commodity-Type and Associated Contract Numbers,,,,,,RANK,,,,Notional Value,,,
"WPS Energy Services, Inc.",46388,600000,General Terms and Conditions Sale Firm,Enron North America Corp.,,96063906,,,,,59,91,19,,73285217,25338,17831055,
"WPS Energy Services, Inc.",46388,600000,GISB Base Contract,Enron North America Corp.,,96009757,,,,,59,91,19,,73285217,25338,17831055,
"WPS Energy Services, Inc.",46388,600000,Master Energy Purchase and Sale Agreement,,,,96004053,,,,59,91,19,,73285217,25338,17831055,
"WPS Energy Services, Inc.",46388,600000,Master Purchase Sale Spot,Enron North America Corp.,,96001397,,,,,59,91,19,,73285217,25338,17831055,
"WPS Energy Services, Inc.",46388,600000,Netting Agreement,Enron North America Corp.,,96018762,,,,,59,91,19,,73285217,25338,17831055,
"WPS Energy Services, Inc.",46388,600000,OnLine GTC Gas Long-Term Firm,Enron North America Corp.,,96051940,,,,,59,91,19,,73285217,25338,17831055,
Canadian Imperial Bank of Commerce,26038,94541366,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96020554,,,95000403,,,60,,37,,72935500,,6490000,
Canadian Imperial Bank of Commerce,26038,94541366,No Active Physical Natural Gas Contracts,,,,,,,,60,,37,,72935500,,6490000,
Canadian Imperial Bank of Commerce,26038,94541366,Online Canadian Firm Gas GTC,Enron Canada Corp.,,,,,96037311,,60,,37,,72935500,,6490000,
Phibro Inc.,46709,68740358,Electronic Trading Agreement,Enron North America Corp.,,96028242,,,,,61,,38,,70910750,,6454192,
Phibro Inc.,46709,68740358,GTC Purchase Spot,Enron North America Corp.,,96004143,,,,,61,,38,,70910750,,6454192,
Phibro Inc.,46709,68740358,GTC Sale Spot,Enron North America Corp.,,96003556,,,,,61,,38,,70910750,,6454192,
Phibro Inc.,46709,68740358,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,61,,38,,70910750,,6454192,
Phibro Inc.,46709,68740358,Master Financial Agreement,Enron North America Corp.,95000303,,,95000303,,,61,,38,,70910750,,6454192,
Phibro Inc.,46709,68740358,Master Purchase Sale Firm,Enron North America Corp.,,96003804,,,,,61,,38,,70910750,,6454192,
Phibro Inc.,46709,68740358,Master Purchase Sale Firm (Calgary),Enron Canada Corp.,,,,,96013846,,61,,38,,70910750,,6454192,
Phibro Inc.,46709,68740358,Netting Agreement,Enron North America Corp.,,96019090,,,,,61,,38,,70910750,,6454192,
Phibro Inc.,46709,68740358,Permian Contract,Enron North America Corp.,,96007585,,,,,61,,38,,70910750,,6454192,
Bank of Montreal,21474,100000000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96004839,,,96004839,,,62,,,,59565000,,,
Bank of Montreal,21474,100000000,Electronic Trading Agreement,Enron North America Corp.,,96028128,,,,,62,,,,59565000,,,
"Sequent Energy Management, L.P.",103469,1500000,Administrative or Other Services,Enron North America Corp.,,96053324,,,,,63,,,,56600091,,,
"Sequent Energy Management, L.P.",103469,1500000,General Terms and Conditions Sale Firm,ENA Upstream Company LLC,,96081011,,,,,63,,,,56600091,,,
"Sequent Energy Management, L.P.",103469,1500000,GISB Base Contract 6.3.1,ENA Upstream Company LLC,,96067708,,,,,63,,,,56600091,,,
"Sequent Energy Management, L.P.",103469,1500000,GTC Purchase Spot,Enron North America Corp.,,96063270,,,,,63,,,,56600091,,,
"Sequent Energy Management, L.P.",103469,1500000,GTC Sale Spot,Enron North America Corp.,,96063479,,,,,63,,,,56600091,,,
"Sequent Energy Management, L.P.",103469,1500000,Master Sale Firm,Enron North America Corp.,,96055172,,,,,63,,,,56600091,,,
"Sequent Energy Management, L.P.",103469,1500000,No Active Financial Contracts,,,,,,,,63,,,,56600091,,,
MidAmerican Energy Company,45492,2630178,GISB Base Contract,Enron North America Corp.,,96009462,,,,,64,64,,,53410033,218209,,
MidAmerican Energy Company,45492,2630178,Master Agreement (1992 - ECT Form),Enron North America Corp.,96004750,,,,,,64,64,,,53410033,218209,,
MidAmerican Energy Company,45492,2630178,Master Power Purchase and Sale Agreement,,,,96092908,,,,64,64,,,53410033,218209,,
MidAmerican Energy Company,45492,2630178,Netting Agreement,Enron North America Corp.,,96023243,,,,,64,64,,,53410033,218209,,
MidAmerican Energy Company,45492,2630178,Transportation,Enron North America Corp.,,96005957,,,,,64,64,,,53410033,218209,,
"Allegheny Energy Supply Company, LLC",72209,7500000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96060304,,,,,,65,12,,,52812000,14764701,,
"Allegheny Energy Supply Company, LLC",72209,7500000,Confidentiality Agreement,"enovate, L.L.C.",,96061842,,,,,65,12,,,52812000,14764701,,
"Allegheny Energy Supply Company, LLC",72209,7500000,GISB Base Contract 6.3.1,Enron North America Corp.,,96060311,,,,,65,12,,,52812000,14764701,,
"Allegheny Energy Supply Company, LLC",72209,7500000,Master Energy Purchase and Sale Agreement,,,,96037738,,,,65,12,,,52812000,14764701,,
"Allegheny Energy Supply Company, LLC",72209,7500000,Master Purchase Sale Firm,"enovate, L.L.C.",,96061838,,,,,65,12,,,52812000,14764701,,
"Enserco Energy, Inc.",51732,750000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96042254,,,96042254,,,66,,41,,48357512,,5078746,
"Enserco Energy, Inc.",51732,750000,Master Purchase Sale Firm,Enron North America Corp.,,96012100,,,,,66,,41,,48357512,,5078746,
"Enserco Energy, Inc.",51732,750000,Master Purchase Sale Spot,Enron North America Corp.,,96007822,,,,,66,,41,,48357512,,5078746,
"Enserco Energy, Inc.",51732,750000,Netting Agreement,Enron North America Corp.,,96018729,,,,,66,,41,,48357512,,5078746,
"Enserco Energy, Inc.",51732,750000,Online Canadian Firm Gas GTC,Enron Canada Corp.,,,,,96032471,,66,,41,,48357512,,5078746,
Alberta Energy Company Ltd.,11108,24998746,92 ISDA - Multicurrency/Cross Border,Enron Canada Corp.,96020121,,,,,,67,,,,47828180,,,
Alberta Energy Company Ltd.,11108,24998746,General Terms and Conditions Purchase Firm,Enron North America Corp.,,96038039,,,,,67,,,,47828180,,,
Alberta Energy Company Ltd.,11108,24998746,GTC Purchase Spot,Enron North America Corp.,,96014928,,,,,67,,,,47828180,,,
Alberta Energy Company Ltd.,11108,24998746,GTC Sale Spot,Enron North America Corp.,,96010525,,,,,67,,,,47828180,,,
"Occidental Energy Marketing, Inc.",63665,10924991,EES-Natural Gas Sales/Purchase Agreement,"Enron Energy Services, Inc.",,96085273,,,,,68,,,,44253125,,,
"Occidental Energy Marketing, Inc.",63665,10924991,GISB Base Contract,Enron North America Corp.,,96016891,,,,,68,,,,44253125,,,
"Occidental Energy Marketing, Inc.",63665,10924991,Master Agreement (1992 - ECT Form),Enron North America Corp.,95000267,,,,,,68,,,,44253125,,,
"Occidental Energy Marketing, Inc.",63665,10924991,OnLine GTC Gas Long-Term Firm with Collateral,Enron North America Corp.,,96054102,,,,,68,,,,44253125,,,
"FPL Energy Power Marketing, Inc.",68254,9828823,GISB Base Contract 6.3.1,Enron North America Corp.,,96036813,,,,,69,44,,,42165508,1055472,,
"FPL Energy Power Marketing, Inc.",68254,9828823,Master Energy Purchase and Sale Agreement,,,,96021792,,,,69,44,,,42165508,1055472,,
"FPL Energy Power Marketing, Inc.",68254,9828823,No Active Financial Contracts,,,,,,,,69,44,,,42165508,1055472,,
"Coral Energy Resources, L.P.",45515,4386626,General Terms and Conditions Sale Firm,Enron North America Corp.,,96071155,,,,,70,,87,,40750299,,36000,
"Coral Energy Resources, L.P.",45515,4386626,GTC Purchase Spot,"enovate, L.L.C.",,96061880,,,,,70,,87,,40750299,,36000,
"Coral Energy Resources, L.P.",45515,4386626,GTC Sale Spot,"enovate, L.L.C.",,96096113,,,,,70,,87,,40750299,,36000,
"Coral Energy Resources, L.P.",45515,4386626,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,70,,87,,40750299,,36000,
"Coral Energy Resources, L.P.",45515,4386626,KCBT Contract/DP,Enron North America Corp.,,96007593,,,,,70,,87,,40750299,,36000,
"Coral Energy Resources, L.P.",45515,4386626,Master Purchase Sale Spot,Enron North America Corp.,,96010108,,,,,70,,87,,40750299,,36000,
"Coral Energy Resources, L.P.",45515,4386626,No Active Financial Contracts,,,,,,,,70,,87,,40750299,,36000,
"Coral Energy Resources, L.P.",45515,4386626,Online Canadian Firm Gas GTC,Enron Canada Corp.,,,,,96043637,,70,,87,,40750299,,36000,
"Coral Energy Resources, L.P.",45515,4386626,OnLine GTC Gas Long-Term Firm,Enron North America Corp.,,96080608,,,,,70,,87,,40750299,,36000,
BP Energy Company,12,41348847,EES-Natural Gas Sales/Purchase Agreement,"Enron Energy Services, Inc.",,96083593,,,,,71,10,,13,40712526,24285568,,4380
BP Energy Company,12,41348847,General Terms and Conditions Purchase Firm,Enron North America Corp.,,96058638,,,,,71,10,,13,40712526,24285568,,4380
BP Energy Company,12,41348847,General Terms and Conditions Sale Firm,Enron North America Corp.,,96062730,,,,,71,10,,13,40712526,24285568,,4380
BP Energy Company,12,41348847,GISB Base Contract 6.3.1,ENA Upstream Company LLC,,96068932,,,,,71,10,,13,40712526,24285568,,4380
BP Energy Company,12,41348847,GTC Financial,Enron North America Corp.,96028720,,,,,,71,10,,13,40712526,24285568,,4380
BP Energy Company,12,41348847,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,71,10,,13,40712526,24285568,,4380
BP Energy Company,12,41348847,KCBT Contract/DP,Enron North America Corp.,,96007593,,,,,71,10,,13,40712526,24285568,,4380
BP Energy Company,12,41348847,Master Power Purchase and Sale Agreement,,,,96060365,,,,71,10,,13,40712526,24285568,,4380
BP Energy Company,12,41348847,Master Purchase Sale Spot,Enron North America Corp.,,96000463,,,,,71,10,,13,40712526,24285568,,4380
BP Energy Company,12,41348847,OnLine GTC Gas Long-Term Firm,Enron North America Corp.,,96041011,,,,,71,10,,13,40712526,24285568,,4380
BP Energy Company,12,41348847,Single Transaction Purchase Firm,Enron North America Corp.,,96008613,,,,,71,10,,13,40712526,24285568,,4380
Noble Gas Marketing Inc.,155,1000000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96016637,,,,,,72,,,,40268201,,,
Noble Gas Marketing Inc.,155,1000000,Master Purchase/Sale Firm and Interruptible,Enron North America Corp.,,96001113,,,,,72,,,,40268201,,,
Noble Gas Marketing Inc.,155,1000000,OnLine GTC Gas Long-Term Firm with Collateral,Enron North America Corp.,,96045551,,,,,72,,,,40268201,,,
Noble Gas Marketing Inc.,155,1000000,OnLine GTC Gas Short-Term Firm with Collateral,Enron North America Corp.,,96041960,,,,,72,,,,40268201,,,
"NUI Energy Brokers, Inc.",51389,5000000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96014847,,,,,,73,,,,38236004,,,
"NUI Energy Brokers, Inc.",51389,5000000,No Active Physical Natural Gas Contracts,,,,,,,,73,,,,38236004,,,
"Kinder Morgan, Inc.",246,1500000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96044811,,,,,,74,,,,36340500,,,
"Kinder Morgan, Inc.",246,1500000,No Active Physical Natural Gas Contracts,,,,,,,,74,,,,36340500,,,
"Western Gas Resources, Inc.",232,7250685,EES-Natural Gas Sales/Purchase Agreement,"Enron Energy Services, Inc.",,96085558,,,,,75,,73,,35973330,,426000,
"Western Gas Resources, Inc.",232,7250685,GTC Sale Spot,ENA Upstream Company LLC,,96067289,,,,,75,,73,,35973330,,426000,
"Western Gas Resources, Inc.",232,7250685,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,75,,73,,35973330,,426000,
"Western Gas Resources, Inc.",232,7250685,KCBT Contract/DP,Enron North America Corp.,,96007593,,,,,75,,73,,35973330,,426000,
"Western Gas Resources, Inc.",232,7250685,Master Agreement (1992 - ECT Form),Enron North America Corp.,95000242,,,95000242,,,75,,73,,35973330,,426000,
"Western Gas Resources, Inc.",232,7250685,Master Purchase Sale Firm,Enron North America Corp.,,96040456,,,,,75,,73,,35973330,,426000,
"Western Gas Resources, Inc.",232,7250685,Master Purchase Sale Spot,Enron North America Corp.,,96003955,,,,,75,,73,,35973330,,426000,
"Western Gas Resources, Inc.",232,7250685,Master Sale Firm and Spot,Enron North America Corp.,,96029552,,,,,75,,73,,35973330,,426000,
"Western Gas Resources, Inc.",232,7250685,Netting Agreement,Enron North America Corp.,,96019304,,,,,75,,73,,35973330,,426000,
"Western Gas Resources, Inc.",232,7250685,Permian Contract,Enron North America Corp.,,96007585,,,,,75,,73,,35973330,,426000,
"Western Gas Resources, Inc.",232,7250685,Transportation,Enron North America Corp.,,96053977,,,,,75,,73,,35973330,,426000,
Kerr-McGee Energy Services Corporation,53619,150000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96043308,,,,,,76,,,,34056236,,,
Kerr-McGee Energy Services Corporation,53619,150000,General Terms and Conditions Purchase Firm,Enron North America Corp.,,96084332,,,,,76,,,,34056236,,,
Kerr-McGee Energy Services Corporation,53619,150000,GISB Base Contract 6.3.1,Enron North America Corp.,,96029098,,,,,76,,,,34056236,,,
Kerr-McGee Energy Services Corporation,53619,150000,Master Purchase Sale Spot,Enron North America Corp.,,96002203,,,,,76,,,,34056236,,,
Smith Barney AAA Energy Fund L.P.,77297,1600000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96065385,,,,,,77,,,,33012500,,,
Smith Barney AAA Energy Fund L.P.,77297,1600000,No Active Physical Natural Gas Contracts,,,,,,,,77,,,,33012500,,,
Vitol S.A. Inc.,11386,0,Master Agreement (1992 - ECT Form),Enron North America Corp.,96001013,,,,,,78,,,,33002500,,,
Vitol S.A. Inc.,11386,0,No Active Physical Natural Gas Contracts,,,,,,,,78,,,,33002500,,,
Anadarko Petroleum Corporation,249,16145067,92 ISDA - Local Currency/Single Juris,Enron North America Corp.,96008756,,,,,,79,,,,32744169,,,
Anadarko Petroleum Corporation,249,16145067,GTC Purchase Spot,Enron North America Corp.,,96006092,,,,,79,,,,32744169,,,
Anadarko Petroleum Corporation,249,16145067,GTC Sale Spot,Enron North America Corp.,,96022990,,,,,79,,,,32744169,,,
"CLECO Marketing and Trading, LLC",75726,7837953,GTC Purchase Spot,Enron North America Corp.,,96054067,,,,,80,50,,,32499998,757449,,
"CLECO Marketing and Trading, LLC",75726,7837953,GTC Sale Spot,Enron North America Corp.,,96035178,,,,,80,50,,,32499998,757449,,
"CLECO Marketing and Trading, LLC",75726,7837953,No Active Financial Contracts,,,,,,,,80,50,,,32499998,757449,,
"CLECO Marketing and Trading, LLC",75726,7837953,OnLine GTC Gas Short-Term Firm,Enron North America Corp.,,96046244,,,,,80,50,,,32499998,757449,,
Castle Power LLC,61544,500000,GTC Purchase Spot,Enron North America Corp.,,96039363,,,,,81,,,,31512575,,,
Castle Power LLC,61544,500000,GTC Sale Spot,Enron North America Corp.,,96035612,,,,,81,,,,31512575,,,
Castle Power LLC,61544,500000,No Active Financial Contracts,,,,,,,,81,,,,31512575,,,
Castle Power LLC,61544,500000,OnLine GTC Gas Short-Term Firm,Enron North America Corp.,,96053282,,,,,81,,,,31512575,,,
"DTE Energy Trading, Inc.",56959,2000000,Master Energy Purchase and Sale Agreement,,,,96018403,,,,82,33,,,30560610,3519328,,
"DTE Energy Trading, Inc.",56959,2000000,Master Purchase Sale Firm,Enron North America Corp.,,96055200,,,,,82,33,,,30560610,3519328,,
"DTE Energy Trading, Inc.",56959,2000000,No Active Financial Contracts,,,,,,,,82,33,,,30560610,3519328,,
"Sequent Energy Management, LLC",84846,,Letter Agreement - Sale Firm,Enron North America Corp.,,96055171,,,,,83,,,,28235696,,,
"Sequent Energy Management, LLC",84846,,No Active Financial Contracts,,,,,,,,83,,,,28235696,,,
"Sequent Energy Management, LLC",84846,,OnLine GTC Gas Short-Term Firm,Enron North America Corp.,,96063469,,,,,83,,,,28235696,,,
"Sequent Energy Management, LLC",84846,,Precedent Agreement,Enron North America Corp.,,96053036,,,,,83,,,,28235696,,,
"Adams Resources Marketing, Ltd.",71363,4000000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96030228,,,,,,84,,,,28015852,,,
"Adams Resources Marketing, Ltd.",71363,4000000,GISB Base Contract 6.3.1,Enron North America Corp.,,96029723,,,,,84,,,,28015852,,,
"Adams Resources Marketing, Ltd.",71363,4000000,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,84,,,,28015852,,,
"Adams Resources Marketing, Ltd.",71363,4000000,Master Purchase Sale Firm,Enron North America Corp.,,96035761,,,,,84,,,,28015852,,,
"Adams Resources Marketing, Ltd.",71363,4000000,Netting Agreement,Enron North America Corp.,,96031367,,,,,84,,,,28015852,,,
The New Power Company,81385,1500000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96047739,,,,,,85,43,,,25191615,1080889,,
The New Power Company,81385,1500000,Administrative or Other Services,"Enron Energy Services, Inc.",,96058009,,,,,85,43,,,25191615,1080889,,
The New Power Company,81385,1500000,EES-Natural Gas Sales/Purchase Agreement,"Enron Energy Services, Inc.",,96066349,,,,,85,43,,,25191615,1080889,,
The New Power Company,81385,1500000,GTC Purchase Spot,Enron North America Corp.,,96055106,,,,,85,43,,,25191615,1080889,,
The New Power Company,81385,1500000,GTC Sale Spot,Enron North America Corp.,,96049823,,,,,85,43,,,25191615,1080889,,
The New Power Company,81385,1500000,Master Power Purchase and Sale Agreement,,,,96060378,,,,85,43,,,25191615,1080889,,
The New Power Company,81385,1500000,Master Purchase Sale Firm,Enron North America Corp.,,96031861,,,,,85,43,,,25191615,1080889,,
NJR Energy Services Company,64141,500000,GISB Base Contract 6.3.1,Enron North America Corp.,,96036787,,,,,86,,,,23835095,,,
NJR Energy Services Company,64141,500000,No Active Financial Contracts,,,,,,,,86,,,,23835095,,,
"TransCanada Energy Marketing USA, Inc.",54480,250000,EES-Enfolio Master Firm Sales Agreement,"Enron Energy Services, Inc.",,96067510,,,,,87,,,,22129333,,,
"TransCanada Energy Marketing USA, Inc.",54480,250000,EES-ENovative Energy Service Agreement,"Enron Energy Services, Inc.",,96083903,,,,,87,,,,22129333,,,
"TransCanada Energy Marketing USA, Inc.",54480,250000,EES-Natural Gas Sales/Purchase Agreement,"Enron Energy Services, Inc.",,96086950,,,,,87,,,,22129333,,,
"TransCanada Energy Marketing USA, Inc.",54480,250000,General Terms and Conditions Purchase Firm,Enron North America Corp.,,96084748,,,,,87,,,,22129333,,,
"TransCanada Energy Marketing USA, Inc.",54480,250000,GISB Base Contract,Enron North America Corp.,,96012143,,,,,87,,,,22129333,,,
"TransCanada Energy Marketing USA, Inc.",54480,250000,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,87,,,,22129333,,,
"TransCanada Energy Marketing USA, Inc.",54480,250000,Master Purchase/Sale Firm and Interruptible,Enron North America Corp.,,96030143,,,,,87,,,,22129333,,,
"TransCanada Energy Marketing USA, Inc.",54480,250000,No Active Financial Contracts,,,,,,,,87,,,,22129333,,,
"TransCanada Energy Marketing USA, Inc.",54480,250000,OnLine GTC Gas Long-Term Firm,Enron North America Corp.,,96044563,,,,,87,,,,22129333,,,
Texla Energy Management Inc.,34566,250000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96074520,,,,,,88,,,,22087715,,,
Texla Energy Management Inc.,34566,250000,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,88,,,,22087715,,,
Texla Energy Management Inc.,34566,250000,Master Purchase Sale Firm,Enron North America Corp.,,96046739,,,,,88,,,,22087715,,,
Texla Energy Management Inc.,34566,250000,Master Purchase/Sale Firm and Interruptible,Enron North America Corp.,,96029288,,,,,88,,,,22087715,,,
Texla Energy Management Inc.,34566,250000,Netting Agreement,Enron North America Corp.,,96018764,,,,,88,,,,22087715,,,
Southern California Gas Company,2872,8747466,EES-Natural Gas Sales/Purchase Agreement,"Enron Energy Services, Inc.",,96085394,,,,,89,,,,21715500,,,
Southern California Gas Company,2872,8747466,General Terms and Conditions Sale Firm,Enron North America Corp.,,96063861,,,,,89,,,,21715500,,,
Southern California Gas Company,2872,8747466,GISB Base Contract,Enron North America Corp.,,96013277,,,,,89,,,,21715500,,,
Southern California Gas Company,2872,8747466,Netting Agreement,Enron North America Corp.,,96052351,,,,,89,,,,21715500,,,
Southern California Gas Company,2872,8747466,No Active Financial Contracts,,,,,,,,89,,,,21715500,,,
Southern California Gas Company,2872,8747466,Parking,Enron North America Corp.,,96011424,,,,,89,,,,21715500,,,
Southern California Gas Company,2872,8747466,Storage,Enron North America Corp.,,96021152,,,,,89,,,,21715500,,,
Southern California Gas Company,2872,8747466,Transportation,Enron North America Corp.,,96058056,,,,,89,,,,21715500,,,
BGML - IM Bridgeline,75370,5000000,External Portfolio-See various Bridgeline contracts as listed.,,,,,,,,90,,,,21168015,,,
BGML - IM Bridgeline,75370,5000000,No Active Financial Contracts,,,,,,,,90,,,,21168015,,,
"TotalFinaElf Gas & Power North America, Inc.",94,49904714,General Terms and Conditions Purchase Firm,ENA Upstream Company LLC,,96058782,,,,,91,,,,19631321,,,
"TotalFinaElf Gas & Power North America, Inc.",94,49904714,GISB Base Contract 6.3.1,Enron North America Corp.,,96029083,,,,,91,,,,19631321,,,
"TotalFinaElf Gas & Power North America, Inc.",94,49904714,Master Purchase Sale Firm,Enron North America Corp.,,96000448,,,,,91,,,,19631321,,,
"TotalFinaElf Gas & Power North America, Inc.",94,49904714,Netting Agreement,Enron North America Corp.,,96018731,,,,,91,,,,19631321,,,
"TotalFinaElf Gas & Power North America, Inc.",94,49904714,No Active Financial Contracts,,,,,,,,91,,,,19631321,,,
Amerada Hess Corporation,8,72007854,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96094100,,,,,,92,70,,,16601196,130580,,
Amerada Hess Corporation,8,72007854,EES-ENovative Lite Energy Service Agreement,"Enron Energy Services, Inc.",,96072323,,,,,92,70,,,16601196,130580,,
Amerada Hess Corporation,8,72007854,EES-Master Firm Sales Full Management Srvs Agreement,"Enron Energy Services, Inc.",,96066424,,,,,92,70,,,16601196,130580,,
Amerada Hess Corporation,8,72007854,General Terms and Conditions Sale Firm,Enron North America Corp.,,96061795,,,,,92,70,,,16601196,130580,,
Amerada Hess Corporation,8,72007854,GTC Purchase Spot,Enron North America Corp.,,96067562,,,,,92,70,,,16601196,130580,,
Amerada Hess Corporation,8,72007854,GTC Sale Spot,Enron North America Corp.,,96038647,,,,,92,70,,,16601196,130580,,
Amerada Hess Corporation,8,72007854,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,92,70,,,16601196,130580,,
Amerada Hess Corporation,8,72007854,Master Purchase Firm & Interruptible,Enron North America Corp.,,96000379,,,,,92,70,,,16601196,130580,,
Amerada Hess Corporation,8,72007854,OnLine GTC Gas Long-Term Firm,Enron North America Corp.,,96042873,,,,,92,70,,,16601196,130580,,
Amerada Hess Corporation,8,72007854,OnLine GTC Gas Short-Term Firm,Enron North America Corp.,,96042108,,,,,92,70,,,16601196,130580,,
Nicor Gas Company,61057,200000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96045659,,,,,,93,,,,15975924,,,
Nicor Gas Company,61057,200000,GTC Purchase Spot,"enovate, L.L.C.",,96060419,,,,,93,,,,15975924,,,
Nicor Gas Company,61057,200000,GTC Sale Spot,"Enron MW, L.L.C.",,96055532,,,,,93,,,,15975924,,,
Nicor Gas Company,61057,200000,Master Purchase Sale Interruptible,Enron North America Corp.,,96001213,,,,,93,,,,15975924,,,
Nicor Gas Company,61057,200000,Master Sale Firm,Enron North America Corp.,,96012124,,,,,93,,,,15975924,,,
Nicor Gas Company,61057,200000,Master Sale Interruptible,Enron North America Corp.,,96003730,,,,,93,,,,15975924,,,
Nicor Gas Company,61057,200000,OnLine GTC Gas Short-Term Firm,Enron North America Corp.,,96035177,,,,,93,,,,15975924,,,
Nicor Gas Company,61057,200000,Transportation,"enovate, L.L.C.",,96061648,,,,,93,,,,15975924,,,
"Petrocom Energy Group, Ltd.",66093,10000,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96065388,,,,,,94,,,,15201553,,,
"Petrocom Energy Group, Ltd.",66093,10000,GISB Base Contract 6.3.1,Enron North America Corp.,,96022574,,,,,94,,,,15201553,,,
"Petrocom Energy Group, Ltd.",66093,10000,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,94,,,,15201553,,,
"Petrocom Energy Group, Ltd.",66093,10000,Master Purchase Sale Firm,Enron North America Corp.,,96038585,,,,,94,,,,15201553,,,
"Puget Sound Energy, Inc.",54279,350000,GTC Financial,Enron North America Corp.,96034634,,,96034634,,,95,73,45,,14949911,120936,3307292,
"Puget Sound Energy, Inc.",54279,350000,GTC Purchase Spot,Enron North America Corp.,,96009066,,,,,95,73,45,,14949911,120936,3307292,
"Puget Sound Energy, Inc.",54279,350000,GTC Sale Spot,Enron North America Corp.,,96007666,,,,,95,73,45,,14949911,120936,3307292,
"Puget Sound Energy, Inc.",54279,350000,Master Purchase Sale Firm,Enron North America Corp.,,96001399,,,,,95,73,45,,14949911,120936,3307292,
"Puget Sound Energy, Inc.",54279,350000,Online Canadian Firm Gas GTC,Enron Canada Corp.,,,,,96034629,,95,73,45,,14949911,120936,3307292,
"Richardson Energy Marketing, Ltd.",52595,3994207,92 ISDA - Multicurrency/Cross Border,Enron North America Corp.,96027986,,,,,,96,,,,14889795,,,
"Richardson Energy Marketing, Ltd.",52595,3994207,General Terms and Conditions Purchase Firm,Enron North America Corp.,,96057794,,,,,96,,,,14889795,,,
"Richardson Energy Marketing, Ltd.",52595,3994207,Master Purchase Sale Spot,Enron North America Corp.,,96004521,,,,,96,,,,14889795,,,
"Richardson Energy Marketing, Ltd.",52595,3994207,Netting Agreement,Enron North America Corp.,,96022398,,,,,96,,,,14889795,,,
"Richardson Energy Marketing, Ltd.",52595,3994207,OnLine GTC Gas Long-Term Firm with Collateral,Enron North America Corp.,,96053965,,,,,96,,,,14889795,,,
Marathon Oil Company,2094,73621299,General Terms and Conditions Purchase Firm,Enron North America Corp.,,96020734,,,,,97,,,,14555902,,,
Marathon Oil Company,2094,73621299,GISB Base Contract 6.3.1,Enron North America Corp.,,96028944,,,,,97,,,,14555902,,,
Marathon Oil Company,2094,73621299,GTC -1st Purchase/Marketer(Ded RSV),Enron North America Corp.,,96004069,,,,,97,,,,14555902,,,
Marathon Oil Company,2094,73621299,GTC Purchase Spot,"enovate, L.L.C.",,96054437,,,,,97,,,,14555902,,,
Marathon Oil Company,2094,73621299,GTC Sale Spot,"enovate, L.L.C.",,96056620,,,,,97,,,,14555902,,,
Marathon Oil Company,2094,73621299,Master Purchase Sale Spot,Enron North America Corp.,,96003030,,,,,97,,,,14555902,,,
Marathon Oil Company,2094,73621299,Netting Agreement,Enron North America Corp.,,96019031,,,,,97,,,,14555902,,,
Marathon Oil Company,2094,73621299,No Active Financial Contracts,,,,,,,,97,,,,14555902,,,
Marathon Oil Company,2094,73621299,OnLine GTC Gas Long-Term Firm,Enron North America Corp.,,96081542,,,,,97,,,,14555902,,,
Colonial Energy Inc.,49410,1125598,GTC Purchase Spot,Enron North America Corp.,,96002630,,,,,98,,,,14431500,,,
Colonial Energy Inc.,49410,1125598,GTC Sale Spot,Enron North America Corp.,,96002850,,,,,98,,,,14431500,,,
Colonial Energy Inc.,49410,1125598,Henry Hub Contract,Enron North America Corp.,,96005429,,,,,98,,,,14431500,,,
Colonial Energy Inc.,49410,1125598,No Active Financial Contracts,,,,,,,,98,,,,14431500,,,
Colonial Energy Inc.,49410,1125598,OnLine GTC Gas Long-Term Firm,Enron North America Corp.,,96037194,,,,,98,,,,14431500,,,
Colonial Energy Inc.,49410,1125598,OnLine GTC Gas Short-Term Firm,Enron North America Corp.,,96035982,,,,,98,,,,14431500,,,
