,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gas Curves,,To Paste,,,,,,209,0.1,,,,0.41,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-08-01 00:00:00,4.087000000000001,0,0.5,0.43,-0.195,-0.45,,2013-08-01 00:00:00,4.187,4.087000000000001,4.587000000000001,4.517,4.9270000000000005,3.892000000000001,3.6370000000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-09-01 00:00:00,4.072,0,0.5,0.43,-0.195,-0.45,,2013-09-01 00:00:00,4.172,4.072,4.572,4.502,4.912,3.8770000000000002,3.622
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-10-01 00:00:00,4.087000000000001,0,0.5,0.43,-0.195,-0.45,,2013-10-01 00:00:00,4.187,4.087000000000001,4.587000000000001,4.517,4.9270000000000005,3.892000000000001,3.6370000000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-11-01 00:00:00,4.232,0,0.5,0.35,-0.135,-0.3,,2013-11-01 00:00:00,4.332,4.232,4.732,4.582,4.992,4.097,3.9320000000000004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013-12-01 00:00:00,4.367,0,0.5,0.35,-0.135,-0.3,,2013-12-01 00:00:00,4.467,4.367,4.867,4.717,5.127,4.232,4.067
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-01-01 00:00:00,4.4145,0,0.5,0.35,-0.135,-0.3,,2014-01-01 00:00:00,4.5145,4.4145,4.9145,4.7645,5.1745,4.2795000000000005,4.1145000000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-02-01 00:00:00,4.3335,0,0.5,0.35,-0.135,-0.3,,2014-02-01 00:00:00,4.4334999999999996,4.3335,4.8335,4.6834999999999996,5.0935,4.1985,4.0335
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-03-01 00:00:00,4.2335,0,0.5,0.35,-0.135,-0.3,,2014-03-01 00:00:00,4.3335,4.2335,4.7335,4.5835,4.9935,4.0985000000000005,3.9335000000000004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-04-01 00:00:00,4.0515,0,0.5,0.43,-0.195,-0.45,,2014-04-01 00:00:00,4.1514999999999995,4.0515,4.5515,4.4815,4.8915,3.8565,3.6014999999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-05-01 00:00:00,4.0545,0,0.5,0.43,-0.195,-0.45,,2014-05-01 00:00:00,4.1545,4.0545,4.5545,4.4845,4.8945,3.8595,3.6045
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-06-01 00:00:00,4.0945,0,0.5,0.43,-0.195,-0.45,,2014-06-01 00:00:00,4.1945,4.0945,4.5945,4.5245,4.9345,3.8995,3.6445
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-07-01 00:00:00,4.1345,0,0.5,0.43,-0.195,-0.45,,2014-07-01 00:00:00,4.2345,4.1345,4.6345,4.5645,4.9745,3.9395000000000002,3.6845
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-08-01 00:00:00,4.1845,0,0.5,0.43,-0.195,-0.45,,2014-08-01 00:00:00,4.2844999999999995,4.1845,4.6845,4.6145,5.0245,3.9895,3.7344999999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-09-01 00:00:00,4.1695,0,0.5,0.43,-0.195,-0.45,,2014-09-01 00:00:00,4.2695,4.1695,4.6695,4.5995,5.0095,3.9745000000000004,3.7195
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-10-01 00:00:00,4.1845,0,0.5,0.43,-0.195,-0.45,,2014-10-01 00:00:00,4.2844999999999995,4.1845,4.6845,4.6145,5.0245,3.9895,3.7344999999999997
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-11-01 00:00:00,4.3295,0,0.5,0.35,-0.135,-0.3,,2014-11-01 00:00:00,4.4295,4.3295,4.8295,4.6795,5.0895,4.194500000000001,4.0295000000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-12-01 00:00:00,4.4645,0,0.5,0.35,-0.135,-0.3,,2014-12-01 00:00:00,4.5645,4.4645,4.9645,4.8145,5.2245,4.3295,4.1645
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-01-01 00:00:00,4.5120000000000005,0,0.5,0.35,-0.135,-0.3,,2015-01-01 00:00:00,4.612,4.5120000000000005,5.0120000000000005,4.862,5.272,4.377000000000001,4.212000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-02-01 00:00:00,4.431,0,0.5,0.35,-0.135,-0.3,,2015-02-01 00:00:00,4.531,4.431,4.931,4.781,5.191,4.296,4.131
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-03-01 00:00:00,4.331,0,0.5,0.35,-0.135,-0.3,,2015-03-01 00:00:00,4.431,4.331,4.831,4.681,5.091,4.196000000000001,4.031000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-01 00:00:00,4.149,0,0.5,0.43,-0.195,0,,2015-04-01 00:00:00,4.249,4.149,4.649,4.579,4.989,3.954,4.149
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-05-01 00:00:00,4.152,0,0.5,0.43,-0.195,0,,2015-05-01 00:00:00,4.252,4.152,4.652,4.582,4.992,3.9570000000000003,4.152
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-06-01 00:00:00,4.192,0,0.5,0.43,-0.195,0,,2015-06-01 00:00:00,4.292,4.192,4.692,4.622,5.032,3.9970000000000003,4.192
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-07-01 00:00:00,4.232,0,0.5,0.43,-0.195,0,,2015-07-01 00:00:00,4.332,4.232,4.732,4.662,5.072,4.037,4.232
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-08-01 00:00:00,4.282,0,0.5,0.43,-0.195,0,,2015-08-01 00:00:00,4.382,4.282,4.782,4.712,5.122,4.087,4.282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-09-01 00:00:00,4.267,0,0.5,0.43,-0.195,0,,2015-09-01 00:00:00,4.367,4.267,4.767,4.697,5.107,4.072,4.267
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-10-01 00:00:00,4.282,0,0.5,0.43,-0.195,0,,2015-10-01 00:00:00,4.382,4.282,4.782,4.712,5.122,4.087,4.282
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-11-01 00:00:00,4.4270000000000005,0,0.5,0.35,-0.135,0,,2015-11-01 00:00:00,4.527,4.4270000000000005,4.9270000000000005,4.777,5.187,4.292000000000001,4.4270000000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015-12-01 00:00:00,4.562,0,0.5,0.35,-0.135,0,,2015-12-01 00:00:00,4.662,4.562,5.062,4.912,5.322,4.4270000000000005,4.562
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-01-01 00:00:00,4.609500000000001,0,0.5,0.35,-0.135,0,,2016-01-01 00:00:00,4.7095,4.609500000000001,5.109500000000001,4.9595,5.3695,4.474500000000001,4.609500000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-02-01 00:00:00,4.5285,0,0.5,0.35,-0.135,0,,2016-02-01 00:00:00,4.6285,4.5285,5.0285,4.8785,5.2885,4.3935,4.5285
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-03-01 00:00:00,4.4285000000000005,0,0.5,0.35,-0.135,0,,2016-03-01 00:00:00,4.5285,4.4285000000000005,4.9285000000000005,4.7785,5.1885,4.293500000000001,4.4285000000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-04-01 00:00:00,4.2465,0,0.5,0.43,-0.195,0,,2016-04-01 00:00:00,4.3465,4.2465,4.7465,4.6765,5.0865,4.0515,4.2465
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-05-01 00:00:00,4.2495,0,0.5,0.43,-0.195,0,,2016-05-01 00:00:00,4.3495,4.2495,4.7495,4.6795,5.0895,4.0545,4.2495
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-01 00:00:00,4.2895,0,0.5,0.43,-0.195,0,,2016-06-01 00:00:00,4.3895,4.2895,4.7895,4.7195,5.1295,4.0945,4.2895
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-07-01 00:00:00,4.3295,0,0.5,0.43,-0.195,0,,2016-07-01 00:00:00,4.4295,4.3295,4.8295,4.7595,5.1695,4.1345,4.3295
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-08-01 00:00:00,4.3795,0,0.5,0.43,-0.195,0,,2016-08-01 00:00:00,4.4795,4.3795,4.8795,4.8095,5.2195,4.1845,4.3795
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-09-01 00:00:00,4.3645000000000005,0,0.5,0.43,-0.195,0,,2016-09-01 00:00:00,4.4645,4.3645000000000005,4.8645000000000005,4.7945,5.2045,4.1695,4.3645000000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-10-01 00:00:00,4.3795,0,0.5,0.43,-0.195,0,,2016-10-01 00:00:00,4.4795,4.3795,4.8795,4.8095,5.2195,4.1845,4.3795
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-11-01 00:00:00,4.524500000000001,0,0.5,0.35,-0.135,0,,2016-11-01 00:00:00,4.6245,4.524500000000001,5.024500000000001,4.8745,5.2845,4.389500000000001,4.524500000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-12-01 00:00:00,4.6595,0,0.5,0.35,-0.135,0,,2016-12-01 00:00:00,4.7595,4.6595,5.1595,5.0095,5.4195,4.524500000000001,4.6595
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-01-01 00:00:00,4.707,0,0.5,0.35,-0.135,0,,2017-01-01 00:00:00,4.8069999999999995,4.707,5.207,5.0569999999999995,5.467,4.572,4.707
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-02-01 00:00:00,4.626,0,0.5,0.35,-0.135,0,,2017-02-01 00:00:00,4.726,4.626,5.126,4.976,5.386,4.4910000000000005,4.626
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-03-01 00:00:00,4.526,0,0.5,0.35,-0.135,0,,2017-03-01 00:00:00,4.6259999999999994,4.526,5.026,4.8759999999999994,5.286,4.391,4.526
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-04-01 00:00:00,4.344,0,0.5,0.43,-0.195,0,,2017-04-01 00:00:00,4.444,4.344,4.844,4.774,5.184,4.149,4.344
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-05-01 00:00:00,4.347,0,0.5,0.43,-0.195,0,,2017-05-01 00:00:00,4.447,4.347,4.847,4.777,5.187,4.152,4.347
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-06-01 00:00:00,4.3870000000000005,0,0.5,0.43,-0.195,0,,2017-06-01 00:00:00,4.487,4.3870000000000005,4.8870000000000005,4.817,5.227,4.192,4.3870000000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-07-01 00:00:00,4.4270000000000005,0,0.5,0.43,-0.195,0,,2017-07-01 00:00:00,4.527,4.4270000000000005,4.9270000000000005,4.857,5.267,4.232,4.4270000000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-08-01 00:00:00,4.477,0,0.5,0.43,-0.195,0,,2017-08-01 00:00:00,4.577,4.477,4.977,4.907,5.317,4.282,4.477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-09-01 00:00:00,4.462000000000001,0,0.5,0.43,-0.195,0,,2017-09-01 00:00:00,4.562,4.462000000000001,4.962000000000001,4.892,5.3020000000000005,4.267,4.462000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-10-01 00:00:00,4.477,0,0.5,0.43,-0.195,0,,2017-10-01 00:00:00,4.577,4.477,4.977,4.907,5.317,4.282,4.477
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-01 00:00:00,4.622,0,0.5,0.35,-0.135,0,,2017-11-01 00:00:00,4.7219999999999995,4.622,5.122,4.9719999999999995,5.382,4.487,4.622
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2017-12-01 00:00:00,4.757000000000001,0,0.5,0.35,-0.135,0,,2017-12-01 00:00:00,4.857,4.757000000000001,5.257000000000001,5.107,5.517,4.622000000000001,4.757000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-01-01 00:00:00,4.8045,0,0.5,0.35,-0.135,0,,2018-01-01 00:00:00,4.9045,4.8045,5.3045,5.1545,5.5645,4.6695,4.8045
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-02-01 00:00:00,4.7235000000000005,0,0.5,0.35,-0.135,0,,2018-02-01 00:00:00,4.8235,4.7235000000000005,5.2235000000000005,5.0735,5.4835,4.588500000000001,4.7235000000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-03-01 00:00:00,4.6235,0,0.5,0.35,-0.135,0,,2018-03-01 00:00:00,4.7235,4.6235,5.1235,4.9735,5.3835,4.4885,4.6235
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-04-01 00:00:00,4.4415000000000004,0,0.5,0.43,-0.195,0,,2018-04-01 00:00:00,4.5415,4.4415000000000004,4.9415000000000004,4.8715,5.2815,4.2465,4.4415000000000004
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-05-01 00:00:00,4.444500000000001,0,0.5,0.43,-0.195,0,,2018-05-01 00:00:00,4.5445,4.444500000000001,4.944500000000001,4.8745,5.2845,4.2495,4.444500000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-06-01 00:00:00,4.484500000000001,0,0.5,0.43,-0.195,0,,2018-06-01 00:00:00,4.5845,4.484500000000001,4.984500000000001,4.9145,5.3245000000000005,4.2895,4.484500000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-07-01 00:00:00,4.524500000000001,0,0.5,0.43,-0.195,0,,2018-07-01 00:00:00,4.6245,4.524500000000001,5.024500000000001,4.9545,5.3645000000000005,4.3295,4.524500000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-08-01 00:00:00,4.5745000000000005,0,0.5,0.43,-0.195,0,,2018-08-01 00:00:00,4.6745,4.5745000000000005,5.0745000000000005,5.0045,5.4145,4.3795,4.5745000000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-09-01 00:00:00,4.5595,0,0.5,0.43,-0.195,0,,2018-09-01 00:00:00,4.6594999999999995,4.5595,5.0595,4.9895,5.3995,4.3645,4.5595
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-10-01 00:00:00,4.5745000000000005,0,0.5,0.43,-0.195,0,,2018-10-01 00:00:00,4.6745,4.5745000000000005,5.0745000000000005,5.0045,5.4145,4.3795,4.5745000000000005
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-11-01 00:00:00,4.7195,0,0.5,0.35,-0.135,0,,2018-11-01 00:00:00,4.8195,4.7195,5.2195,5.0695,5.4795,4.5845,4.7195
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018-12-01 00:00:00,4.8545,0,0.5,0.35,-0.135,0,,2018-12-01 00:00:00,4.9544999999999995,4.8545,5.3545,5.2044999999999995,5.6145,4.7195,4.8545
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-01-01 00:00:00,4.902,0,0.5,0.35,-0.135,0,,2019-01-01 00:00:00,5.002,4.902,5.402,5.252,5.662,4.767,4.902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-02-01 00:00:00,4.821000000000001,0,0.5,0.35,-0.135,0,,2019-02-01 00:00:00,4.921,4.821000000000001,5.321000000000001,5.171,5.581,4.686000000000001,4.821000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-03-01 00:00:00,4.721,0,0.5,0.35,-0.135,0,,2019-03-01 00:00:00,4.821,4.721,5.221,5.071,5.481,4.586,4.721
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-04-01 00:00:00,4.539000000000001,0,0.5,0.43,-0.195,0,,2019-04-01 00:00:00,4.639,4.539000000000001,5.039000000000001,4.969,5.3790000000000004,4.344,4.539000000000001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-05-01 00:00:00,4.542,0,0.5,0.43,-0.195,0,,2019-05-01 00:00:00,4.6419999999999995,4.542,5.042,4.9719999999999995,5.382,4.3469999999999995,4.542
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-06-01 00:00:00,4.582,0,0.5,0.43,-0.195,0,,2019-06-01 00:00:00,4.6819999999999995,4.582,5.082,5.012,5.422,4.387,4.582
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-07-01 00:00:00,4.622,0,0.5,0.43,-0.195,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-08-01 00:00:00,4.672000000000001,0,0.5,0.43,-0.195,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-09-01 00:00:00,4.657,0,0.5,0.43,-0.195,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-10-01 00:00:00,4.672000000000001,0,0.5,0.43,-0.195,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-11-01 00:00:00,4.817,0,0.5,0.35,-0.135,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019-12-01 00:00:00,4.952,0,0.5,0.35,-0.135,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-01-01 00:00:00,4.9995,0,0.5,0.35,-0.135,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-02-01 00:00:00,4.9185,0,0.5,0.35,-0.135,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-03-01 00:00:00,4.8185,0,0.5,0.35,-0.135,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-04-01 00:00:00,4.6365,0,0.5,0.43,-0.195,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-05-01 00:00:00,4.6395,0,0.5,0.43,-0.195,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-06-01 00:00:00,4.6795,0,0.5,0.43,-0.195,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-07-01 00:00:00,4.7195,0,0.5,0.43,-0.195,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-01 00:00:00,4.7695,0,0.5,0.43,-0.195,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-09-01 00:00:00,4.7545,0,0.5,0.43,-0.195,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-10-01 00:00:00,4.7695,0,0.5,0.43,-0.195,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-11-01 00:00:00,4.9145,0,0.5,0.35,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-12-01 00:00:00,5.0495,0,0.5,0.35,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-01-01 00:00:00,5.097,0,0.5,0.35,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-02-01 00:00:00,5.016,0,0.5,0.35,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-03-01 00:00:00,4.916,0,0.5,0.35,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-04-01 00:00:00,4.734,0,0.5,0.43,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-05-01 00:00:00,4.737,0,0.5,0.43,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-06-01 00:00:00,4.777,0,0.5,0.43,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-07-01 00:00:00,4.817,0,0.5,0.43,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-01 00:00:00,4.867,0,0.5,0.43,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-09-01 00:00:00,4.852,0,0.5,0.43,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-01 00:00:00,4.867,0,0.5,0.43,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-11-01 00:00:00,5.0120000000000005,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-12-01 00:00:00,5.147,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-01-01 00:00:00,5.194500000000001,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-02-01 00:00:00,5.1135,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-03-01 00:00:00,5.0135000000000005,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-04-01 00:00:00,4.8315,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-05-01 00:00:00,4.8345,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-06-01 00:00:00,4.8745,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-07-01 00:00:00,4.9145,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-08-01 00:00:00,4.9645,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-09-01 00:00:00,4.9495000000000005,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-10-01 00:00:00,4.9645,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-11-01 00:00:00,5.109500000000001,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-12-01 00:00:00,5.2445,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-01-01 00:00:00,5.292,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-01 00:00:00,5.211,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-01 00:00:00,5.111000000000001,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-01 00:00:00,4.929,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-05-01 00:00:00,4.932,0,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-06-01 00:00:00,4.972,0,0,0,0,0,,,,,,,,,
