,NEW YORK CITY CPARK,,,CHICAGO,,,PHILADELPHIA,,,DETROIT,,,INDIANAPOLIS,,,BALTIMORE,,,COLUMBUS OH,,,MILWAUKEE,,,WASHINGTON DC,,,BOSTON,
2001-09-13,30.75,0,,6.25,0.5,,32.5,0,,0.5,4.75,,20.25,0,,32.5,0,,12,0,,0,13,,53.5,0,,8,0
2001-09-20,15,0,,0,13.5,,14.5,0,,0,21,,4.5,1,,17,0,,0.5,4,,0,31,,36.5,0,,0,8
2001-09-27,2,3,,0,30.5,,1,5.5,,0,39.5,,0,15,,1.5,4.5,,0,22,,0,50,,20,0,,0,22
2001-10-04,0,21,,0,49,,0,24.5,,0,59.5,,0,35,,0,24.5,,0,42,,0,67,,2,3,,0,42
2001-10-11,0,39.5,,0,69,,0,44.5,,0,79.5,,0,55,,0,44.5,,0,62,,0,86.5,,0,22.75,,0,59
2001-10-18,0,56,,0,90,,0,61,,0,98.5,,0,74,,0,60.5,,0,80.5,,0,105.5,,0,39.5,,0,73.5
2001-10-25,0,72.5,,0,108.5,,0,79,,0,118.5,,0,93,,0,77,,0,99,,0,125.5,,0,56,,0,89
2001-11-01,0,86.75,,0,126.75,,0,96,,0,135.75,,0,111.5,,0,93.75,,0,118.25,,0,145,,0,72.75,,0,103
2001-11-08,0,101.5,,0,148.5,,0,111.5,,0,151,,0,130,,0,108.5,,0,133.5,,0,165,,0,84.5,,0,118.5
2001-11-15,0,118,,0,170,,0,125,,0,169,,0,149.5,,0,123.5,,0,151.5,,0,186,,0,102.5,,0,132
2001-11-22,0,136.5,,0,192,,0,141.5,,0,188.5,,0,168.5,,0,140,,0,168,,0,207.5,,0,119,,0,151
2001-11-29,0,153.5,,0,214,,0,160,,0,209,,0,189.5,,0,157,,0,186.5,,0,231,,0,136,,0,170.5
2001-12-06,0,172.5,,0,235.5,,0,177.5,,0,226.5,,0,211,,0,174,,0,207.5,,0,253,,0,155,,0,190
2001-12-13,0,191,,0,256,,0,195.5,,0,245.5,,0,228,,0,191,,0,221,,0,273,,0,171,,0,210.5
2001-12-20,0,205.5,,0,275.5,,0,209.5,,0,263.5,,0,246,,0,202.5,,0,239,,0,291.5,,0,186.5,,0,227
2001-12-27,0,218.5,,0,288.5,,0,223.5,,0,277,,0,257,,0,214,,0,250,,0,305,,0,197.5,,0,236
2002-01-03,0,227.5,,0,299.5,,0,231.75,,0,284.5,,0,268,,0,222,,0,258.5,,0,316,,0,206.5,,0,246.5
2002-01-10,0,231.5,,0,306.5,,0,238.5,,0,289,,0,273,,0,229.5,,0,266.5,,0,320.5,,0,210.5,,0,252
2002-01-17,0,235,,0,308,,0,241.5,,0,293.5,,0,275.5,,0,233.5,,0,270,,0,322,,0,213.5,,0,252.5
2002-01-24,0,238,,0,308,,0,241.5,,0,297.5,,0,276.5,,0,234.5,,0,273,,0,321,,0,212.5,,0,255.5
2002-01-31,0,238,,0,303,,0,241.5,,0,295,,0,271.5,,0,229.5,,0,268,,0,316,,0,210,,0,255.5
2002-02-07,0,231,,0,292,,0,236,,0,288.5,,0,260.5,,0,223,,0,260.5,,0,308.5,,0,204.5,,0,251
2002-02-14,0,227,,0,281,,0,227,,0,279.5,,0,251.5,,0,214.5,,0,251.5,,0,297,,0,195.5,,0,244.5
2002-02-21,0,215,,0,266.5,,0,216.5,,0,267.5,,0,237,,0,202.5,,0,237,,0,284.5,,0,184.5,,0,234.5
2002-02-28,0,200.5,,0,247,,0,201,,0,253,,0,218.5,,0,187,,0,218.5,,0,267.5,,0,168,,0,223
2002-03-07,0,187,,0,224.5,,0,184,,0,233.5,,0,196.5,,0,170.5,,0,198.5,,0,248,,0,150.5,,0,209
2002-03-14,0,170.5,,0,202.5,,0,165.5,,0,212,,0,174.5,,0,154.5,,0,175.5,,0,227,,0,132,,0,191.5
2002-03-21,0,157,,0,184,,0,149.5,,0,195,,0,154.5,,0,139,,0,158.5,,0,211,,0,116.5,,0,176
2002-03-28,0,140.5,,0,165,,0,133,,0,175.5,,0,133.5,,0,123,,0,143,,0,193,,0,101.5,,0,161
