"CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.","CSII - Cardiovascular Systems, Inc.",,,
,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,Annual Data,,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,Quarterly Data,,,,,,,,,,,,
Fiscal Period,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Jun09,Jun10,Jun11,Jun12,Jun13,TTM/current,	,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Net Issuance of Debt,0,0,5.376,-0.946,-0.04,0,0,18.9,-19.366,5.052,5.95,-0.3,-0.30000000000000027,		,0,0,0,5.376,0,0,0,-0.946,-0.396,0.583,-0.025,-0.202,0,0,0,0,0,0,0,0,17.753,1.349,-0.875,-0.988,0.229,-17.732,0,2.903,-0.416,2.565,0.543,5.407,0,0,-1.2,-1.2,3.3,-1.2,-1.2,-1.2
Cash Flow for Dividends,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other Financing,0,0,0,-7.105427357601002e-15,0,-0.02999999999999997,0.019,0.6000000000000014,0.28499999999999925,2.4880000000000004,5.846,7.678999999999995,13.890000000000017,		,0,0,0,0,0,0,0,-7.105427357601002e-15,-0.10599999999999998,-0.829,-0.855000000000004,1.79,0,0,0,-0.03,-0.017,0,0,-0.023,2.2119999999999997,-1.791,0.28500000000000003,0.702,-0.05000000000000002,-0.6390000000000018,0,0.36499999999999977,0.45299999999999996,1.6700000000000004,3.2249999999999996,1.0540000000000003,0.429,1.1380000000000017,0,19.054,1.9410000000000096,1.573,2.559,7.817000000000007
Cash Flow from Financing,0,0,44.216,59.522,44.996,0.316,0.019,19.5,-17.884,7.54,26.685,45.588,136.18,		,0,0,0,44.216,0,0,0,59.522,-0.247,-0.226,45.677,-0.208,0.032,0.24,0.014,0.03,-0.014,0.043,0.013,-0.023,19.965,-0.442,-0.59,-0.286,0.179,-17.187,0,3.268,0.037,4.235,3.768,6.461,0.429,16.027,-1.2,2.965,43.462,0.361,1.359,90.998
Net Change in Cash,0,0,3.948,-0.287,19.738,19.878,-10.231,25.816,-9.694,-2.558,14.37,32.368,117.441,		,0,0,0,3.948,0,0,0,-0.287,28.032,-21.404,14.212,-1.102,64.958,-32.208,-16.966,4.094,7.856,-11.079,-8.687,1.679,28.57,-4.433,-2.657,-7.16,-0.042,0.165,-1.711,0.534,-3.922,2.541,1.517,1.882,-2.103,13.074,-3.316,-2.99,40.709,-2.035,-4.67,83.437
Free Cash Flow,0,0,-18.072,-28.029,20.958000000000002,-34.947,-44.650000000000006,-31.103,-14.76,-10.098,-12.315,-13.22,-18.739,		,0,0,0,-18.072,0,0,0,-28.029,50.121,-14.855,-5.6290000000000004,-8.678999999999998,-6.074999999999999,-7.039,-10.434,-11.399,-12.187,-13.246,-13.799,-5.418,-22.08,-3.605,-2.1670000000000003,-7.024,-3.596,-1.973,-1.711,-2.734,-3.959,-1.694,-2.251,-4.579000000000001,-2.532,-2.9530000000000003,-2.116,-5.955,-2.753,-2.396,-6.029,-7.561
PE Ratio(ttm),0,0,0,0,0,12.99,0,3.72,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,7.85,12.69,12.99,6.12,0,0,0,2.7,3.72,4.43,3.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Price to Tangible Book,0,0,0,0,2.14,0,0,3.72,4.19,12.34,6.28,0,6.2,		,0,0,0,0,0,0,0,0,0,0,3.02,2.14,2.33,1.41,0,0,0,0,0,0,1.78,3.72,4.2,3.19,4.78,4.19,5.89,12.02,11.9,12.34,9.49,9.04,9.95,6.28,9.03,9.88,0,0,0,0
Price-to-Free-Cash-Flow ratio,0,0,0,0,0.23,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0.82,0.76,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS Ratio,0,0,0,0,1.15,1.46,3.29,3.25,1.02,2.94,2.14,4.44,6.9,		,0,0,0,0,0,0,0,0,0,2.16,1.95,1.15,1.79,2.35,2.78,1.46,0.61,4.77,4.28,3.29,5.67,3.25,2.13,1.03,1.23,1.02,1.16,2.49,2.24,2.94,2.35,2.07,1.97,2.14,2.49,2.64,4.27,4.44,4.14,7.13
EV-to-Revenue,0,0,0,0,1.82,-0.11,-2.65,3.43,0.86,3.03,2.17,4.44,7.16,		,0,0,0,0,0,0,0,0,0,25.74,11.09,1.82,1.94,0.67,1.15,-0.11,-0.63,-3.68,-2.33,-2.65,0.79,3.43,1.87,0.93,1.14,0.86,1.05,2.5,2.26,3.03,2.42,2.11,1.99,2.17,2.53,2.7,4.43,4.44,4.11,7.16
EV-to-EBITDA,0,0,0,0,0,-1.39,-22.12,42.44,22.59,116.56,80.05,0,-34.98,		,0,0,0,0,0,0,0,0,0,0,0,0,7.56,2.78,6.9,-1.39,-8.39,-8.23,-9.57,-22.12,5.83,42.44,29.33,16.74,27.33,22.59,30.06,78.11,75.89,116.56,92.4,82,74.79,80.05,115.5,0,0,0,0,0
EV-to-EBIT,0,0,0,0,0,-2.79,0,4.78,0,0,0,0,6.7,		,0,0,0,0,0,0,0,0,0,0,0,0,0,2.92,7.99,-2.79,-14.75,0,0,0,3.17,4.78,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Earnings Yield (Joel Greenblatt),0,0,0,0,0,0,0,20.92,0,0,0,0,14.9,		,0,0,0,0,0,0,0,0,0,0,0,0,0,34.25,12.52,0,0,0,0,0,31.55,20.92,30.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Forward Rate of Return,0,0,0,0,0,0,0,0,-51.78,384.79,364.99,-115.41,-44.95,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42.71,-61.18,-56.94,-51.78,-73.09,-67.89,-72.41,384.79,331.71,392.59,335.23,364.99,-250.27,-52.93,-117.41,-115.41,-107.54,-89.97
Shiller PE Ratio,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Market Cap,0,0,0,0,154.71,84.01,25.203000000000003,108.7881,67.87200000000001,247.37439999999998,196.6811,516.856,1003.6,		,0,0,0,0,0,0,0,0,0,279.222,253.129,154.71,150.12,157.18,175.06599999999997,84.01,37.94,36.585,32.791,25.203000000000003,19.2848,108.7881,106.142,68.0697,78.9066,67.87200000000001,82.2156,187.6094,174.90449999999998,247.37439999999998,202.05859999999998,176.31499999999997,166.315,196.6811,236.28640000000001,264.554,490.7008,516.856,505.661,982.0656
Enterprise Value,0,0,0,0,29.143000000000015,-6.256,-20.284999999999997,105.5791,55.442000000000014,238.3594,178.67209999999997,461.526,873.947,		,0,0,0,0,0,0,0,0,0,183.84599999999998,118.797,29.143000000000015,31.11200000000001,45.08200000000001,73.33499999999998,-6.256,-40.196,-28.130999999999993,-17.800000000000004,-20.284999999999997,11.9028,105.5791,86.106,57.1147,71.3856,55.442000000000014,71.17559999999999,178.7114,169.6075,238.3594,191.73059999999998,169.49699999999996,161.401,178.67209999999997,220.37240000000003,250.40899999999996,434.5478,461.526,453.25,840.4516000000001
Net Cash (per share),-238.11,0,-603.35,-834.53,22.73,28.77,15.05,-0.61,-0.09,-0.23,0.23,1.55,4.25,		,0,0,0,-288.22,0,0,0,-387.46,-685.77,-41.81,26.72,22.73,20.96,38.9,34.46,28.77,25.83,19.38,16.13,15.05,-1.27,-0.61,0.47,0.15,-0.25,-0.09,-0.32,-0.29,-0.51,-0.23,-0.13,-0.31,-0.45,0.23,0.05,0.08,1.71,1.55,1.32,4.25
Net Current Asset Value (per share),-238.11,0,-603.35,-831.82,24.02,28.77,15.05,-0.04,0.52,0.52,0.91,2.13,4.85,		,0,0,0,-288.22,0,0,0,-386.2,-674.63,-40.99,27.44,24.02,21.57,38.9,34.46,28.77,25.83,19.38,16.13,15.05,1.46,-0.04,1.03,0.73,0.4,0.52,0.33,0.34,0.26,0.52,0.57,0.43,0.31,0.91,0.72,0.72,2.32,2.13,1.94,4.85
Projected FCF (per share),0,0,0,0,0,0,0,0,-14.46,-12.27,-11.8,-7.15,-3.25,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.88,-14.29,-14.46,-14.36,-12.31,-12.48,-12.27,-11.59,-9.37,-14.03,-11.8,-10.78,-10.41,-8.26,-7.15,-6.75,-3.25
Median PS (per share),0,0,43.78,17.36,101.98,45.86,6.11,4.85,9,10.12,9.35,9.78,9.84,		,0,0,0,43.78,27.91,22.33,19.08,17.36,47.51,98.06,98.86,101.98,63.37,50.47,50.22,45.86,46.38,6.11,6.11,6.11,2.56,4.85,6.99,9.1,8.81,9,9.26,9.59,9.88,10.12,9.9,9.73,9.59,9.35,9.49,9.71,9.82,9.78,9.9,9.84
Peter Lynch Fair Value (per share),0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graham Number (per share),0,0,0,0,0,44.07,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,85.32,67.34,44.07,40.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Altman Z-Score,0,0,0,-0.87,0.77,4.12,-0.2,-0.39,-1.22,3.3,1.13,8.42,24.09,		,0,0,0,0,0,0,0,-0.87,-0.29,0.33,2.37,0.77,0.75,14.83,13.05,4.12,2.5,-0.1,-0.05,-0.2,-1.57,-0.39,-0.11,-0.76,-0.8,-1.22,-1.24,1.32,1,3.3,2.25,0.83,0,1.13,1.32,2.19,8.46,8.42,8.08,23.03
Piotroski F-Score,0,0,0,0,0,4,2,2,5,5,2,3,4,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,1,2,0,2,2,1,5,5,5,4,5,5,5,4,3,2,1,2,4,3,4,4
Beneish M-Score,0,0,0,0,0,1.34,-3.25,125.72,-3.35,-2.15,-2.95,-2.94,-2.63,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,1.89,-4.85,-4.05,-3.25,117.38,125.72,5.64,7.07,-1.45,-3.35,-2.84,-2.46,-1.8,-2.15,-2.18,-2.49,-2.97,-2.95,-2.93,-2.93,-2.75,-2.94,-2.87,-2.63
Highest Stock Price,0,0,0,0,104,70,14.27,10.15,5.58,15.43,10.45,22.37,,		,0,0,0,0,0,0,0,0,0,103.8,104,102.4,58,60,70,64.5,30.2,19,14.27,12.2,10.15,7.87,10.3,7.11,5.58,5.53,5.46,11.75,13.28,15.43,16.1,10.3,10.45,10.07,11.56,12.89,20.48,22.37,21.83,34.29
Lowest Stock Price,0,0,0,0,0,31,3.5,3.5,3.84,3.85,7.41,8.61,,		,0,0,0,0,0,0,0,0,0,0,88.2,51.9,47.3,51.2,52.6,31,13,12.9,11.8,3.5,5.3,5.7,7.04,3.84,4.15,4.37,3.85,5.06,8.9,10.59,11.39,7.41,8.6,8.28,8.61,10.65,12.98,16.93,19.63,19.47
Tangibles book per share,-263.13,0,-562.69,-794.54,26.43,30.41,15.55,2.05,1.06,1.14,1.47,2.61,5.33,		,0,0,0,-268.8,0,0,0,-368.89,-642.63,-37.8,29.83,26.43,23.48,40.6,36.36,30.41,27.04,20.25,16.69,15.55,12.21,2.05,1.72,1.42,1.12,1.06,0.87,0.96,0.91,1.14,1.18,1.08,0.93,1.47,1.28,1.24,2.79,2.61,2.45,5.33
