"HAS - Hasbro, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Data,,,,,,,,,,,,,,,,,Quarterly Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Period,Dec99,Dec00,Dec01,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Dec09,Dec10,Dec11,Dec12,Dec13,TTM/current,	,Mar99,Jun99,Sep99,Dec99,Mar00,Jun00,Sep00,Dec00,Mar01,Jun01,Sep01,Dec01,Mar02,Jun02,Sep02,Dec02,Mar03,Jun03,Sep03,Dec03,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Total Liabilities,2584.3,2501.053,2016.115,1951.515,1758.136,1600.936,1577.667,1559.015,1851.971,1778.011,2302.12,2477.806,2713.259,2818.008,2719.924,2719.924,		,1498.4,2097,2329.2,2584.3,2492.612,2513.395,2879.261,2501.053,2089.575,2075.858,2305.452,2016.115,1809.229,1792.748,1985.116,1951.515,1541.643,1594.365,1977.103,1758.136,1501.655,1460.026,1620.588,1600.936,1408.557,1391.22,1601.015,1577.667,1274.129,1277.844,1544.352,1559.015,1359.88,1362,1933.252,1851.971,1859.768,1897.094,2050.597,1778.011,1546.967,2088.506,2373.395,2302.12,2408.169,2384.75,2728.306,2477.806,2409.353,2472.126,2703.484,2713.259,2499.744,2615.231,2919.398,2818.008,2597.557,2722.273,3066.715,2719.924
Common Stock,104.8,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,		,0,0,104.8,104.8,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,0,104.847,0,0,0,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847,104.847
Preferred Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Retained Earnings,1764.1,1583.394,1622.402,1430.95,1567.693,1721.209,1869.007,2020.348,2261.561,2456.65,2720.549,2978.317,3205.42,3354.545,3432.176,3432.176,		,1623.9,1644.5,1718,1764.1,1768.99,1765.166,1768.659,1583.394,1553.199,1529.689,1575.11,1622.402,1600.152,1323.336,1373.989,1430.95,1426.895,1433.099,1496.388,1567.693,1563.649,1571.871,1649.93,1721.209,1701.448,1714.807,1790.715,1869.007,1843.198,1850.801,1931.503,2020.348,2033.834,2012.833,2150.667,2261.561,2271.427,2280.671,2390.924,2456.65,2448.405,2459.705,2582.267,2720.549,2744.517,2751.106,2872.699,2978.317,2954.517,2972.323,3104.738,3205.42,3156.152,3152.647,3270.534,3354.545,3296.14,3280.215,3354.82,3432.176
Accumulated other comprehensive income (loss),-33,-51.607,-71.394,-47.427,29.805,82.29,15.324,11.186,74.938,62.256,58.631,8.149,-35.943,-72.307,-34.135,-34.135,		,0,0,-27.5,-33,-52.895,-64.935,-76.565,-51.607,-75.358,-68.083,-88.552,-71.394,-77.83,-39.399,-42.721,-47.427,-38.783,-10.485,-6.688,29.805,20.598,16.447,20.537,82.29,66.262,35.814,28.737,15.324,14.021,26.031,25.034,11.186,19.35,26.254,34.936,74.938,82.022,80.113,103.435,62.256,58.785,47.291,42.589,58.631,56.043,27.803,23.121,8.149,-1.763,4.169,-14.965,-35.943,-24.23,-39.643,-38.235,-72.307,-68.166,-77.866,-78.723,-34.135
Additional Paid-In Capital,468.3,464.084,457.544,458.13,397.878,380.745,358.199,322.254,369.092,450.155,467.183,625.961,630.044,655.943,734.181,734.181,		,0,0,467.1,468.3,469.708,473.946,470.754,464.084,463.468,462.149,460.966,457.544,455.824,459.184,458.199,458.13,524.742,523.805,409.787,397.878,391.566,385.919,383.849,380.745,374.587,370.289,361.767,358.199,354.376,355.031,354.641,322.254,330.511,349.904,361.396,369.092,381.33,413.186,440.584,450.155,441.921,450.237,457.824,467.183,516.488,589.7,606.984,625.961,624.666,632.902,641.214,630.044,630.062,641.012,648.235,655.943,667.932,694.771,709.005,734.181
Treasury Stock,-425.3,-773.312,-760.535,-755.134,-694.983,-649.367,-623.901,-920.745,-1425.346,-1683.122,-1756.438,-2101.854,-2486.853,-2535.649,-2554.726,-2554.726,		,0,0,-398.3,-425.3,-776.576,-777.203,-776.37,-773.312,-772.773,-770.671,-767.237,-760.535,-757.674,-755.939,-755.232,-755.134,-755.338,-741.404,-732.943,-694.983,-676.412,-661.959,-657.513,-649.367,-627.958,-619.263,-615.441,-623.901,-693.792,-879.189,-997.6,-920.745,-956.291,-946.894,-1298.925,-1425.346,-1572.915,-1570.6,-1683.635,-1683.122,-1673.103,-1672.41,-1699.595,-1756.438,-1752.041,-1884.53,-2120.34,-2101.854,-2151.279,-2245.622,-2454.592,-2486.853,-2469.438,-2459.373,-2458.492,-2535.649,-2537.665,-2545.941,-2566.519,-2554.726
Total Equity,1879,1327.406,1352.8639999999998,1191.3659999999998,1405.2400000000002,1639.724,1723.476,1537.89,1385.092,1390.786,1594.772,1615.42,1417.5150000000003,1507.379,1682.3429999999998,1682.3429999999998,		,1908.7999999999997,1804.1,1864.1000000000004,1879,1514.074,1501.821,1491.3250000000003,1327.406,1273.3830000000003,1257.931,1285.1339999999996,1352.8639999999998,1325.3189999999997,1092.029,1139.0819999999999,1191.3659999999998,1262.3629999999998,1309.8619999999999,1271.391,1405.2400000000002,1404.2479999999998,1417.1249999999998,1501.6499999999999,1639.724,1619.186,1606.494,1670.6249999999998,1723.476,1622.65,1457.5209999999997,1418.425,1537.89,1532.2509999999997,1546.944,1352.9209999999998,1385.092,1266.7109999999998,1308.217,1356.1549999999997,1390.786,1380.855,1389.67,1487.9320000000002,1594.772,1669.8540000000003,1588.926,1487.3110000000001,1615.42,1530.9879999999998,1468.6189999999997,1381.2420000000002,1417.5150000000003,1397.393,1399.4899999999998,1526.8890000000001,1507.379,1463.0880000000002,1456.0259999999998,1523.4300000000003,1682.3429999999998
  Net Income,189,-144.631,59.732,-170.674,157.664,195.977,212.075,230.055,333.003,306.766,374.93,397.752,385.367,335.999,283.928,283.928,		,13.8,32.3,85.2,57.7,15.127,6.5,13.832,-180.09,-25.024,-18.331,50.602,52.485,-17.058,-271.62,55.848,62.156,1.189,11.417,68.464,76.594,6.532,18.839,88.687,81.919,-3.713,29.454,92.063,94.271,-4.899,27.088,99.584,108.282,32.89,4.801,161.58,133.732,37.47,37.486,138.229,93.581,19.73,39.275,150.362,165.563,58.943,43.631,0,354.121,0,75.247,0,310.12,-2.579,43.427,164.852,130.299,-6.671,36.48,125.843,128.276
  Cumulative Effect Of Accounting Change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Net Foreign Currency Exchange Gain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Income From Continuing Operations,189,-144.631,59.732,-170.674,157.664,195.977,212.075,230.055,333.003,306.766,374.93,397.752,385.367,335.999,283.928,283.928,		,13.8,32.3,85.2,57.7,15.127,6.5,13.832,-180.09,-25.024,-18.331,50.602,52.485,-17.058,-271.62,55.848,62.156,1.189,11.417,68.464,76.594,6.532,18.839,88.687,81.919,-3.713,29.454,92.063,94.271,-4.899,27.088,99.584,108.282,32.89,4.801,161.58,133.732,37.47,37.486,138.229,93.581,19.73,39.275,150.362,165.563,58.943,65.088,0,295.178,0,75.247,0,310.12,-2.579,43.427,164.852,130.299,-6.671,36.48,125.843,128.276
"Depreciation, Depletion and Amortization",277.3,264.221,225.899,183.838,164.123,146.18,180.132,146.707,156.52,166.138,180.963,146.33,160.468,150.287,180.985,180.985,		,46.2,60.1,59.2,111.8,55.281,58.631,63.456,86.853,48.534,51.371,57.517,68.477,38.399,46.074,49.374,49.991,30.747,39.207,39.58,54.589,28.98,32.952,42.159,42.089,38.116,45.517,53.744,42.755,31.847,37.481,42.539,34.84,34.818,39.338,46.14,36.224,33.751,41.103,48.528,42.756,35.115,44.074,51.449,50.325,29.3,38.89,43.114,35.026,31.018,38.925,65.556,24.969,29.963,35.932,44.01,40.382,30.767,35.867,46.569,67.782
  Change In Receivables,-11.2,395.682,99.474,33.653,-13.202,75.59,39.341,-10.708,-74.941,-14.22,-422.56,71.173,-108.845,28.69,-86.616,-86.61599999999999,		,430.5,-327.9,-321.3,207.5,620.452,-121.088,-321.998,218.316,419.897,-145.912,-380.57,206.059,282.1,-178.944,-322.676,253.173,273.581,-191.518,-391.445,296.18,401.569,-92.369,-387.632,154.022,370.893,-152.988,-334.695,156.131,306.515,-65.753,-389.976,138.506,226.784,-86.876,-461.384,246.535,282.789,-173.336,-405.334,281.661,225.98,-274.136,-453.165,78.761,502.295,-145.319,-524.955,239.152,419.622,-278.479,-458.039,208.051,594.963,-203.594,-532.628,169.949,515.949,-155.212,-563.896,116.543
  Change In Inventory,-44.2,69.657,109.002,38.783,34.846,-15.838,10.677,-17.623,-44.267,-69.871,105.329,-151.634,17.463,22.546,-37.511,-37.510999999999996,		,-24.5,-82.2,-3.2,65.7,-39.299,-68.218,-34.759,211.933,18.671,-32.478,-1.963,124.772,-15.887,-37.83,-3.599,96.099,-30.362,-45.135,-15.801,126.144,-18.379,-48.759,-79.235,130.535,-38.984,-34.011,-66.509,150.181,-33.766,-42.237,-53.902,112.282,-60.585,-84.593,-36.245,137.156,-18.413,-84.959,-102.909,136.41,0.32,-41.229,-48.124,194.362,-22.045,-119.138,-111.235,100.784,-28.022,-26.19,-113.514,185.189,-57.954,-28.579,-38.939,148.018,-11.254,-41.331,-81.153,96.227
  Change In Prepaid Assets,0,0,45.936,184.988,7.845,29.423,74.531,-35.174,79.247,74.734,35.702,15.904,-85.076,6.529,-5.021,-5.020999999999997,		,0,0,0,0,0,0,0,0,-23.422,44.834,33.162,-8.638,31.256,31.475,37.064,85.193,-35.979,4.941,11.266,27.617,-32.493,1.925,24.27,35.721,-6.157,25.415,25.714,29.559,-28.631,4.931,-6.292,-5.182,12.124,28.918,35.64,2.565,11.902,30.759,8.852,23.221,-68.112,44.737,38.077,21,-13.889,11.964,13.367,4.462,-11.024,-19.114,-33.27,-21.668,-45.766,-13.917,59.487,6.725,-22.645,25.777,-23.804,15.651
  Change In Payables And Accrued Expense,193.6,-292.313,-194.525,22.863,16.707,-89.735,33.211,-20.68,64.936,56.143,5.966,-129.531,75.589,-22.362,140.092,140.09199999999998,		,-272.2,74.7,158.1,233,-201.215,-250.517,214.027,-54.608,-278.491,-77.065,116.365,44.666,-194.032,30.761,165.135,20.999,-209.476,41.765,166.429,17.989,-258.22,-34.763,213.255,-10.007,-205.436,-3.713,204.331,38.029,-250.85,11.464,242.687,-23.981,0,-100.355,233.725,-44.453,-197.889,11.626,294.178,-51.772,-253.435,68.676,244.048,-53.323,-283.925,78.49,244.944,-169.04,-152.626,107.438,273.993,-153.216,-231.554,71.75,232.29,-94.848,-206.844,101.577,327.962,-82.603
Change In Working Capital,-38.3,63.937,45.615,164.13,58.099,-15.968,130.455,-123.354,0.921,60.066,-339.318,-256.734,-195.106,3.362,-113.56,-113.56,		,99.6,-566,-128.9,557,286.31,-440.727,-118.189,336.543,136.655,-220.962,-235.337,365.259,107.266,-272.355,-127.554,456.773,0.874,-186.215,-220.847,464.287,95.694,-171.561,-234.964,294.863,122.45,-202.276,-136.314,346.595,-6.732,-182.771,-179.735,245.884,-30.738,-112.994,-198.592,343.245,73.32,-215.256,-203.893,405.895,-95.247,-249.841,-232.137,237.907,154.596,-178.279,-381.631,148.58,218.363,-255.496,-344.403,186.43,247.716,-180.303,-281.698,217.647,269.99,-86.968,-459.786,163.204
Change In DeferredTax,-38.7,-67.69,38.697,5.441,22.774,34.624,-24.032,24.967,37.578,24.994,19.136,25.172,-2.921,-16.086,-19.183,-19.183,		,-2.3,-3.9,0.2,-32.7,19.253,-11.752,-18.313,-56.878,40.81,-0.685,-8.438,7.01,8.736,-1.528,0.727,-2.494,3.711,10.786,6.69,1.587,4.476,4.978,13.515,11.655,-2.214,-8.628,-0.663,-12.527,10.88,-1.393,0.238,15.242,1.587,-0.192,1.417,34.766,-0.606,-2.896,11.262,17.234,11.725,0.838,-7.494,14.067,15.096,-5.34,3.014,12.402,-0.584,-5.465,-17.295,20.423,1.411,-0.499,-2.606,-14.392,-7.041,-2.321,9.966,-19.787
Cash Flow from Discontinued Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash Flow from Others,2.1999999999999886,46.71900000000001,2.532000000000018,290.40400000000005,51.495000000000005,-2.3070000000000377,-2.0059999999999825,42.27199999999999,73.772,35.22099999999989,29.912000000000003,55.460999999999956,48.261,61.23399999999999,68.96199999999999,68.96200000000002,		,0.7999999999999998,-1.6,-0.40000000000001706,3.4000000000000483,-0.007999999999995566,1.5740000000000034,-1.445000000000011,46.59800000000003,-7.203000000000003,8.764999999999956,0.6059999999999786,0.36400000000002386,0.5369999999999813,284.6460000000001,-0.08899999999999475,5.309999999999974,-0.01400000000000201,1.7763568394002505e-15,18.984000000000005,32.52499999999996,-1.6100000000000003,-8.42999999999997,-13.986000000000004,21.719000000000023,5.002999999999988,-5.716999999999999,-31.386000000000006,30.09399999999995,-106.33500000000001,106.39399999999998,24.97800000000001,17.23500000000006,15.080000000000002,44.314,7.549000000000008,6.829000000000029,9.917000000000007,8.491,7.367999999999995,9.444999999999972,6.019999999999991,8.442999999999978,7.157000000000011,8.292000000000009,7.18200000000002,-12.447000000000006,168.23999999999995,-128.97100000000003,27.697000000000028,-0.8500000000000263,168.33300000000003,-146.91899999999998,8.226999999999977,17.485999999999994,18.276999999999994,17.244000000000003,10.408999999999995,17.624000000000013,26.589000000000006,14.339999999999996
Cash Flow from Operations,391.5,162.556,372.475,473.139,454.155,358.506,496.624,320.647,601.794,593.185,265.623,367.981,396.069,534.796,401.132,401.13200000000006,		,158.1,-479.1,15.3,697.2,375.963,-385.774,-60.659,233.026,193.772,-179.842,-135.05,493.595,137.88,-214.783,-21.694,571.736,36.507,-124.805,-87.129,629.582,134.072,-123.222,-104.589,452.245,159.642,-141.65,-22.556,501.188,-75.239,-13.201,-12.396,421.483,53.637,-24.733,18.094,554.796,153.852,-131.072,1.494,568.911,-22.657,-157.211,-30.663,476.154,265.117,-92.088,-167.263,362.215,276.494,-147.639,-127.809,395.023,284.738,-83.957,-57.165,391.18,297.454,0.682,-250.819,353.815
"Purchase Of Property, Plant, Equipment",-107.5,-125.055,-50.045,-58.661,-63.07,-79.239,-70.584,-82.103,-91.532,-117.143,-104.129,-112.597,-99.402,-112.091,-112.031,-112.03099999999999,		,-18.5,-22.6,-25.8,-40.6,-25.081,-34.313,-28.291,-37.37,-10.424,-12.11,-10.891,-16.62,-10.27,-15.28,-12.617,-20.494,-9.228,-17.189,-16.455,-20.198,-13.855,-23.92,-17.49,-23.974,-11.783,-18.857,-14.964,-24.98,-11.613,-18.331,-22.809,-29.35,-19.289,-21.591,-22.309,-28.343,-24.764,-30.413,-29.73,-32.236,-24.535,-27.003,-22.173,-30.418,-20.783,-28.906,-26.163,-36.745,-22.396,-28.72,-20.559,-27.727,-23.034,-27.05,-24.812,-37.195,-24.201,-29.354,-24.691,-33.785
"Sale Of Property, Plant, Equipment",0,0,0,0,0,0,33.083,1.197,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.449,1.884,0,0.057,30.408,2.485,0.133,0.081,0.878,0.191,0.047,0.126,0.054,0.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purchase Of Business,0,0,0,0,0,0,0,0,-18,-154.757,-371.482,0,-11.585,0,0,-109.955,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,0,0,-154.757,0,0,-371.307,-0.175,0,0,0,0,0,0,0,-11.585,0,0,0,0,0,0,0,-109.955,0
Sale Of Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purchase Of Investment,0,0,0,0,0,0,0,-941.12,-43.7,-42,-18,0,0,0,-110.698,-110.698,		,0,0,0,0,-20.79,0,-115.685,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.564,0,-0.26,0,0,0,-69.285,0,-271.4,-432.945,-236.775,0,-15,0,-18,-10.7,-42,-154.757,154.757,0,0,-4,-12,-2,0,2,0,0,0,-10,0,0,0,0,0,10,0,0,0,-110.698
Sale Of Investment,0,0,0,0,0,0,0,941.12,43.7,42,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.725,507.995,309.4,0,0,15,0,28.7,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Intangibles Purchase And Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash From Discontinued Investing Activities,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash Flow from Investing,-429.1,-180.71,-57.779,-62.314,-64.879,-84.967,-120.671,-83.604,-112.465,-271.92,-497.509,-104.188,-107.615,-106.172,-217.743,-217.743,		,-12.8,-38.8,-49.4,-328.1,-55.3,-39.707,-131.526,45.823,3.521,-23.468,-8.13,-29.702,-15.285,-16.829,-10.716,-19.484,-14.617,-17.301,-13.983,-18.978,-22.328,-23.142,-14.481,-25.016,-11.02,-53.387,-27.265,-28.999,-159.365,57.478,48.389,-30.106,-32.393,-7.461,-44.465,-28.146,-94.212,-121.58,-26.38,-29.748,-23.49,-404.18,-36.315,-33.524,-21.115,-29.51,-23.422,-30.141,-24.433,-33.355,-20.57,-29.257,-16.361,-27.782,-28.195,-33.834,-20.603,-28.493,-135.984,-32.663
Net Issuance of Stock,-187.1,-365.025,8.391,3.1,36.514,25.836,-2.752,-370.487,-584.349,-360.244,-88.112,-639.563,-423.008,-98.005,-103.488,-103.488,		,-26.4,-120.5,-12.1,-28.1,-363.285,-2.508,0.232,0.536,0.472,1.265,2.461,4.193,1.028,1.563,0.45,0.059,0.224,8.771,1.419,26.1,12.259,6.737,2.253,4.587,13.398,2.868,-6.514,-12.504,-75.067,-189.597,-126.437,20.614,-33.155,-194.742,-333.536,-22.916,-141.752,-68.493,-142.622,-7.377,0,0,-27.097,-61.015,-95.597,-256.466,-278.934,-8.566,-58.32,-113.857,-212.623,-38.208,-4.644,-5.282,-5.153,-82.926,-22.213,-33.719,-31.04,-16.516
Net Issuance of Preferred Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Issuance of Debt,378.3,279.678,-190.343,-141.665,-388.97,-64.572,-96.988,-36.469,344.859,-135.737,425.423,491.961,167.339,43.106,-215.273,-215.27300000000002,		,-65.7,530.7,68.1,-154.8,123.067,284.48,181.58,-309.449,-132.688,83.041,125.395,-266.091,-0.37,-66.527,23.955,-98.723,-203.17,-1.68,87.327,-271.447,-7.58,-1.842,-47.766,-7.384,-1.524,-24.086,0.127,-71.505,-36.957,0.329,1.405,-1.246,-3.089,81.439,267.157,-0.648,159.829,23.03,-95.026,-223.57,37.256,386.659,21.466,-19.958,490.58,-0.944,91.821,-89.496,23.622,-25.597,1.962,167.352,-10.137,49.893,43.624,-40.274,-62.605,31.458,19.912,-204.038
Cash Flow for Dividends,-45.5,-42.494,-20.709,-20.772,-20.851,-37.088,-58.901,-75.282,-94.097,-107.065,-111.458,-133.048,-154.028,-225.464,-156.129,-156.12900000000002,		,-10.4,-11.8,-11.7,-11.6,-11.484,0,-20.669,-10.341,-5.173,-5.174,-5.176,-5.186,-5.189,-5.194,-5.194,-5.195,-5.195,-5.197,-5.215,-5.244,-5.267,-10.584,-10.616,-10.621,-10.647,-16.064,-16.149,-16.041,-16.031,-20.471,-19.631,-19.149,-19.297,-25.626,-25.583,-23.591,-22.917,-27.949,-28.35,-27.849,-27.854,-27.969,-27.981,-27.654,-27.292,-36.826,-34.802,-34.128,-34.297,-40.813,-40.22,-38.698,-38.593,-46.724,-46.914,-93.233,0,-52.125,-52.039,-51.965
Other Financing,-0.10000000000002274,-2.842170943040401e-14,-1.0658141036401503e-14,0,7.105427357601002e-15,7.105427357601002e-15,1.4210854715202004e-14,14.959000000000017,-100.32999999999991,145.65500000000003,10.925999999999988,110.05499999999995,34.01199999999997,60.98399999999998,133.88099999999997,133.881,		,-0.09999999999999254,-6.750155989720952e-14,0.20000000000000462,-0.1999999999999762,1.9539925233402755e-14,-10.330000000000023,10.330000000000002,-7.105427357601002e-15,-2.1316282072803006e-14,8.881784197001252e-15,1.0658141036401503e-14,5.329070518200751e-15,0,0,0,4.440892098500626e-15,-3.552713678800501e-15,-8.881784197001252e-16,7.105427357601002e-15,-7.105427357601002e-15,0,0,0,1.7763568394002505e-15,1.7763568394002505e-15,3.552713678800501e-15,0,-3.552713678800501e-15,1.4479999999999862,0.23400000000000531,0.5179999999999865,12.759,7.2330000000000005,6.991999999999987,2.3119999999999834,-116.86699999999999,0.47999999999998977,87.541,56.996,0.6379999999999768,1.902000000000001,0.5509999999999948,3.4510000000000005,5.021999999999995,14.451999999999984,32.08400000000004,33.56000000000004,29.959000000000003,11.600000000000001,16.658,6.431999999999988,-0.6780000000000044,22.929000000000002,18.472999999999995,7.780000000000001,11.802000000000007,25.463,46.602000000000004,15.106999999999992,46.70900000000001
Cash Flow from Financing,145.6,-127.841,-202.661,-159.337,-373.307,-75.824,-158.641,-467.279,-433.917,-457.391,236.779,-170.595,-375.685,-219.379,-341.009,-341.009,		,-102.6,398.4,44.5,-194.7,-251.702,271.642,171.473,-319.254,-137.389,79.132,122.68,-267.084,-4.531,-70.158,19.211,-103.859,-208.141,1.894,83.531,-250.591,-0.588,-5.689,-56.129,-13.418,1.227,-37.282,-22.536,-100.05,-126.607,-209.505,-144.145,12.978,-48.308,-131.937,-89.65,-164.022,-4.36,14.129,-209.002,-258.158,11.304,359.241,-30.161,-103.605,382.143,-262.152,-188.355,-102.231,-57.395,-163.609,-244.449,89.768,-30.445,16.36,-0.663,-204.631,-59.355,-7.784,-48.06,-225.81
Net Change in Cash,102.4,-153.044,105.98,262.277,25.375,204.255,217.266,-226.868,59.058,-144.068,5.655,91.751,-86.108,208.013,-167.252,-167.252,		,39.5,-119.5,10.9,171.5,63.484,-155.098,-24.238,-37.192,53.651,-123.947,-19.739,196.015,122.017,-298.055,-13.207,451.522,-184.846,-137.949,-17.22,365.39,110.973,-151.576,-175.055,419.913,151.889,-234.06,-72.332,371.769,-360.973,-164.208,-107.987,406.3,-26.806,-163.021,-114.632,363.517,57.722,-237.559,-238.109,273.878,-40.002,-198.354,-94.676,338.687,623.754,-387.524,-374.372,229.893,199.626,-342.644,-397.816,454.726,242.136,-103.893,-83.198,152.968,217.338,-44.694,-433.677,93.781
Free Cash Flow,284,37.501000000000005,322.43,414.478,391.085,279.26699999999994,426.04,238.54399999999998,510.262,476.0419999999999,161.49399999999997,255.38400000000001,296.66700000000003,422.70500000000004,289.101,289.101,		,139.6,-501.70000000000005,-10.5,656.6,350.882,-420.087,-88.95,195.656,183.34799999999998,-191.952,-145.941,476.975,127.61,-230.063,-34.311,551.242,27.278999999999996,-141.994,-103.584,609.384,120.217,-147.142,-122.079,428.271,147.859,-160.507,-37.52,476.20799999999997,-86.852,-31.532,-35.205,392.133,34.348,-46.324,-4.215,526.4530000000001,129.088,-161.485,-28.236,536.675,-47.192,-184.214,-52.836,445.736,244.334,-120.994,-193.42600000000002,325.46999999999997,254.098,-176.359,-148.368,367.29600000000005,261.704,-111.00699999999999,-81.977,353.985,273.253,-28.672,-275.51,320.03
PE Ratio(ttm),19.89,0,39.88,27.24,24.05,19.62,19.15,22.06,12.78,14.79,12.94,18.06,11.12,14.13,0,25.2,		,27.67,23.76,16.46,19.89,17.35,19,23.25,0,0,0,0,39.88,34.62,32.52,24.9,27.24,26.01,23.51,23.23,24.05,24.03,20.99,19.28,19.62,21.8,20.63,19.11,19.15,20.21,18.4,20.8,22.06,19.67,22.2,15.62,12.78,13.53,15.65,15.63,14.79,13.46,12.95,14.07,12.94,13.99,14.85,15.52,18.06,20.08,17.84,12.34,11.12,13.47,12.84,14.64,14.13,17.51,18.22,21.62,0
Price to Tangible Book,0,0,0,128.33,16.12,6.55,5.57,8.11,8.79,11.71,7.84,10.44,8.67,7.57,0,13.8,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128.33,69.45,30.16,43.44,16.12,16.23,12.42,9.17,6.55,6.77,7.4,6.24,5.57,6.68,7.45,9.32,8.11,8.42,8.68,11.38,8.79,15.94,22.75,3.61,11.71,9.87,10.87,9.01,7.84,8.06,10.12,12.3,10.44,11.4,11.87,10.13,8.67,10.23,9.2,8.05,7.57,0,0,0,0
