District Name,District NCES/CCD ID Code,School Name,School NCES/CCD ID Code,School Received Title I Funds for SY 2006-2007?,Area(s) in Which School Did Not Meet AYP,,,,,,Made AYP for SY 2006- 2007?,School Improvement Status for SY 2007-2008
Greenville City SD,3904409,Greenville Junior High School,390440901029,No,No,Yes,No,Yes,Yes,,No,CA
Greenville City SD,3904409,South Elementary School,390440901031,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Groveport Madison Local SD,3904697,Asbury Elementary School,390469704299,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Groveport Madison Local SD,3904697,Glendening Elementary School,390469702725,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Groveport Madison Local SD,3904697,Groveport Elementary School,390469702726,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Groveport Madison Local SD,3904697,Groveport Madison High School,390469702728,No,No,No,No,No,,Yes,No,CA
Groveport Madison Local SD,3904697,Groveport Madison Junior High School,390469702729,No,Yes,Yes,No,Yes,Yes,,No,CA
Groveport Madison Local SD,3904697,Groveport Madison Middle School North,390469702731,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Groveport Madison Local SD,3904697,Groveport Madison Middle School South,390469702727,No,No,Yes,Yes,Yes,Yes,,No,SI-2
Groveport Madison Local SD,3904697,Madison Elementary School,390469702730,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Groveport Madison Local SD,3904697,Sedalia Elementary School,390469702732,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1 (Delay)
Hamilton City SD,3904410,Garfield Middle School,390441001038,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Hamilton City SD,3904410,Hamilton Education Center High School,390441005278,No,No,No,No,No,,No,No,SI-1
Hamilton City SD,3904410,Hamilton Freshman High School,390441004534,No,No,Yes,No,Yes,,Yes,No,SI-1
Hamilton City SD,3904410,Hamilton High School,390441001050,No,No,Yes,No,Yes,,Yes,No,SI-1
Hamilton City SD,3904410,Wilson Middle School,390441001054,No,No,Yes,No,Yes,Yes,,No,SI-1
Hamilton Local Digital Academy,3900135,Hamilton Local Digital Academy,390013504185,No,Not Rated,No,Not Rated,No,,Yes,No,SI-1
Hamilton Local SD,3904695,Hamilton Intermediate Middle School,390469504607,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Harmony Community School,3900020,Harmony Community School,390002001515,Yes,No,Yes,No,Yes,,Yes,No,CA
Harrison Hills City SD,3904524,Harrison Hopedale Elementary School,390452402138,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Heir Force Community School,3900341,Heir Force Community School,390034104878,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Highland Local SD,3904880,Highland Middle School,390488003409,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Hilliard City SD,3904701,Alton Darby Elementary School,390470104609,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Hilliard City SD,3904701,Hilliard Horizon Elementary School,390470100662,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Hilliard City SD,3904701,Hilliard Memorial Middle School,390470104612,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Hilliard City SD,3904701,Hilliard Weaver Middle School,390470100473,No,No,Yes,No,No,Yes,,No,SI-2
Hilliard City SD,3904701,J. W. Reason Elementary School,390470102750,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Hillsboro City SD,3904412,Hillsboro Early Childhood Center Elementary School,390441204303,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Hillsboro City SD,3904412,Hillsboro Elementary School,390441201062,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Hillsboro City SD,3904412,Hillsboro Intermediate Elementary School,390441201061,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Hillsboro City SD,3904412,Hillsboro Middle School,390441202576,No,No,Yes,No,Yes,Yes,,No,SI-2
Hope Academy Broadway Campus,3900061,Hope Academy Broadway Campus,390006103159,Yes,No,Yes,No,Yes,No,,No,R-P
Hope Academy Canton Campus,3900248,Hope Academy Canton Campus,390024804695,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Hope Academy Chapelside Campus,3900025,Hope Academy Chapelside Campus,390002501543,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Hope Academy Cuyahoga Campus,3900119,Hope Academy Cuyahoga Campus,390011903854,Yes,No,Yes,No,Yes,No,,No,SI-2
Hope Academy East Campus,3900134,Hope Academy East Campus,390013404184,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Hope Academy Lincoln Park Campus,3900051,Hope Academy Lincoln Park Campus,390005103015,Yes,No,Yes,Yes,Yes,No,,No,SI-2
Hope Academy Northwest Campus,3900313,Hope Academy Northwest Campus,390031304850,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Hope Northcoast Academy,3900181,Hope Northcoast Academy,390018104705,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Horizon Science Academy - Columbus,3900042,Horizon Science Academy - Columbus,390004202978,Yes,No,Yes,No,Yes,,Yes,No,SI-1
Horizon Science Academy - Dayton,3900444,Horizon Science Academy - Dayton,390044405003,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Horizon Science Academy - Denison Middle School,3900454,Horizon Science Academy - Denison Middle School,390045405013,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Howland Local SD,3905016,Howland Middle School,390501603856,No,No,Yes,No,Yes,Yes,,No,SI-1
Huber Heights City SD,3904875,Kitty Hawk Elementary School,390487504382,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Huber Heights City SD,3904875,Lamendola Elementary School,390487503391,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Huber Heights City SD,3904875,Studebaker Middle School,390487503392,No,No,Yes,No,Yes,Yes,,No,SI-1
Huber Heights City SD,3904875,Wayne High School,390487503395,No,No,Yes,No,Yes,,Yes,No,CA
Huber Heights City SD,3904875,Weisenborn Middle School,390487503396,No,No,Yes,No,Yes,Yes,,No,SI-2
Hudson City SD,3905002,Ellsworth Hill Elementary School,390500203802,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Hudson City SD,3905002,Evamere Elementary School,390500203801,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Hudson City SD,3905002,McDowell Elementary School,390500203805,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Huntington Local SD,3904950,Huntington High School,390495003615,No,Yes,Yes,No,Yes,,Yes,No,SI-1
Huntington Local SD,3904950,Huntington Middle School,390495002791,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Imani Learning Academy,3900595,Imani Learning Academy,390059505086,Yes,No,No,No,No,Yes,,No,SI-1
International Academy of Columbus,3900190,International Academy of Columbus,390019004714,Yes,No,Yes,No,Yes,Yes,,No,CA
International College Preparatory Academy,3900142,International College Preparatory Academy,390014205192,Yes,No,Yes,No,Yes,No,,No,CA
Ironton City SD,3904414,Ironton Middle School,390441400359,No,No,Yes,Yes,Yes,Yes,,No,SI-1
"ISUS Institute of Construction Technology, The",3900048,"ISUS Institute of Construction Technology, The",390004802998,Yes,Not Rated,Not Rated,Not Rated,Not Rated,No,,No,SI-1
Jackson City SD,3904415,Jackson Middle School,390441501077,No,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Jefferson Area Local SD,3904587,Jefferson Area Senior High School,390458702372,No,No,Yes,No,Yes,,Yes,No,SI-1
Jefferson Township Local SD,3904868,Blairwood Elementary School,390486803344,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Jefferson Township Local SD,3904868,Jefferson High School,390486803345,Yes,No,Yes,No,Yes,,Yes,No,CA
Kent City SD,3904416,Stanton Middle School,390441602601,No,No,Yes,No,Yes,Yes,,No,SI-1
Kenton City SD,3910025,Espy Elementary School,391002501089,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Kenton City SD,3910025,Kenton Middle School,391002501092,No,No,Yes,No,Yes,Yes,,No,SI-2
Kettering City SD,3904418,Kettering Fairmont High School,390441801104,No,No,Yes,Yes,Yes,,Yes,No,SI-1
Kettering City SD,3904418,Kettering Middle School,390441801103,No,No,Yes,No,Yes,Yes,,No,SI-1
King Academy Community School,3900314,King Academy Community School,390031404851,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Kings Local SD,3905043,Columbia Elementary School,390504300921,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
LaBrae Local SD,3905024,LaBrae Middle School,390502403887,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Lake Erie Academy,3900214,Lake Erie Academy,390021404738,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Lake Local SD,3905069,Lake Elementary School,390506904030,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Lake Local SD,3905069,Walbridge Elementary School,390506904034,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Lakewood City SD,3904419,Grant Elementary School,390441901118,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Lakota Local SD,3904611,Cherokee Elementary School,390461100441,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Lakota Local SD,3904956,Lakota Central Elementary School,390495603633,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Lakota Local SD,3904956,Lakota West Elementary School,390495603630,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Lancaster City SD,3904420,General Sherman Junior High School,390442001131,No,No,Yes,No,Yes,Yes,,No,SI-1
Lancaster City SD,3904420,Lancaster Fairfield Community School,390442005244,Yes,Not Rated,No,Not Rated,No,,Yes,No,SI-1
Lancaster City SD,3904420,Thomas Ewing Junior High School,390442001140,No,No,Yes,No,Yes,Yes,,No,SI-1
Lebanon City SD,3904421,Bowman Primary Elementary School,390442104927,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1 (Delay)
Lebanon City SD,3904421,Donovan Elementary School,390442104304,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1 (Delay)
Lebanon City SD,3904421,Louisa Wright Elementary School,390442101147,No,Yes,Yes,No,Yes,Yes,,No,SI-1 (Delay)
Legacy Academy for Leaders and the Arts,3900191,Legacy Academy for Leaders and the Arts,390019104715,Yes,No,Yes,Yes,Yes,Yes,,No,CA
Liberty Local SD,3905019,E.J. Blott Elementary School,390501903870,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
Liberty Local SD,3905019,William S. Guy Middle School,390501903872,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Liberty Union-Thurston Local SD,3904688,Liberty Union Elementary School,390468802686,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Licking Heights Local SD,3904800,Licking Heights South Elementary School,390480003076,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Licking Heights Local SD,3904800,Licking Heights West Elementary School,390480003073,No,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Life Skills Center of Akron,3900053,Life Skills Center of Akron,390005303054,Yes,No,No,Yes,No,,Yes,No,SI-2
Life Skills Center of Canton,3900175,Life Skills Center of Canton,390017504699,Yes,No,No,No,No,,No,No,SI-2
Life Skills Center of Cincinnati,3900086,Life Skills Center of Cincinnati,390008603447,Yes,Yes,No,Yes,No,,Yes,No,SI-2
Life Skills Center of Cleveland,3900052,Life Skills Center of Cleveland,390005203027,Yes,Yes,No,No,No,,Yes,No,SI-2
Life Skills Center of Columbus Southeast,3900381,Life Skills Center of Columbus Southeast,390038104918,Yes,No,No,No,No,,No,No,SI-1
Life Skills Center of Dayton,3900448,Life Skills Center of Dayton,390044805007,Yes,Yes,No,No,No,,Yes,No,SI-1
Life Skills Center of Elyria,3900176,Life Skills Center of Elyria,390017604700,Yes,No,No,No,No,,No,No,CA
Life Skills Center of Hamilton County,3900189,Life Skills Center of Hamilton County,390018904713,Yes,Not Rated,No,No,No,,No,No,SI-2
Life Skills Center of Lake Erie,3900277,Life Skills Center of Lake Erie,390027704817,Yes,Yes,No,No,No,,No,No,SI-2
Life Skills Center of Middletown,3900101,Life Skills Center of Middletown,390010103860,Yes,No,No,No,No,,Yes,No,SI-2
Life Skills Center of Northeast Ohio,3900279,Life Skills Center of Northeast Ohio,390027904819,Yes,No,No,Yes,No,,Yes,No,SI-2
Life Skills Center of Springfield,3900100,Life Skills Center of Springfield,390010003820,Yes,No,No,No,No,,No,No,R-P
Life Skills Center of Summit County,3900278,Life Skills Center of Summit County,390027804818,Yes,No,No,No,No,,No,No,SI-2
Life Skills Center of Toledo,3900231,Life Skills Center of Toledo,390023104787,Yes,No,No,No,No,,No,No,SI-2
Life Skills Center of Trumbull County,3900084,Life Skills Center of Trumbull County,390008403786,Yes,No,No,No,No,,No,No,SI-2
Life Skills Center of Youngstown,3900050,Life Skills Center of Youngstown,390005003011,Yes,No,No,No,No,,No,No,SI-2
Lighthouse Community School and Professional Development Academy,3900066,Lighthouse Community School and Professional Development Academy,390006603722,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
"Lighthouse Community School, Inc.",3900077,"Lighthouse Community School, Inc.",390007703387,Yes,Not Rated,No,Not Rated,No,,Yes,No,SI-1
Lima City SD,3904422,Freedom Elementary School,390442204537,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,CA (Delay)
Lima City SD,3904422,Heritage Elementary School,390442204538,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1 (Delay)
Lima City SD,3904422,Independence Elementary School,390442205280,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Lima City SD,3904422,Liberty Elementary School,390442205281,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Lima City SD,3904422,Lima North Middle School,390442201158,Yes,No,Yes,No,Yes,Yes,,No,CA
Lima City SD,3904422,Lima South Middle School,390442201160,Yes,No,Yes,No,Yes,Yes,,No,R-P
Lima City SD,3904422,Lima West Middle School,390442201162,Yes,No,Yes,No,Yes,Yes,,No,CA
Lima City SD,3904422,Unity Elementary School,390442204536,Yes,Yes,Yes,No,Yes,Yes,,No,CA (Delay)
Lisbon Exempted Village SD,3904545,McKinley Elementary School,390454502223,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Lockland Local SD,3904423,Lockland Elementary School,390442301166,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Logan Elm Local SD,3904908,George McDowell-Exchange Middle School,390490803482,No,No,Yes,No,Yes,Yes,,No,SI-1
London City SD,3904425,London Elementary School,390442504216,Yes,No,Yes,No,Yes,Yes,,No,CA
London City SD,3904425,London Primary Elementary School,390442501184,No,No,Yes,No,Yes,Yes,,No,CA
Lorain City SD,3904426,Frank Jacinto Elementary,390442605106,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Lorain City SD,3904426,Garfield Elementary School,390442605109,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Lorain City SD,3904426,General Johnnie Wilson Middle School,390442605107,No,No,Yes,No,Yes,No,,No,SI-1
Lorain City SD,3904426,Homewood Elementary School,390442601190,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Lorain City SD,3904426,Irving Elementary School,390442601191,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Lorain City SD,3904426,Larkmoor Elementary School,390442601194,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Lorain City SD,3904426,Longfellow Middle School,390442605108,No,No,Yes,No,No,Yes,,No,SI-1
Lorain City SD,3904426,Lowell Elementary School,390442601198,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Lorain City SD,3904426,Masson Elementary School,390442601199,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Lorain City SD,3904426,Washington Elementary School,390442601203,Yes,No,Yes,No,Yes,Yes,,No,R-P
Lorain City SD,3904426,Whittier Middle School,390442601204,No,No,Yes,No,Yes,Yes,,No,SI-1
Mad River Local SD,3904870,Brantwood Elementary School,390487003357,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Mad River Local SD,3904870,Mad River Middle School,390487003363,No,No,Yes,No,Yes,Yes,,No,CA
Madison Local SD,3904612,Madison Intermediate Middle School,390461202442,No,No,Yes,No,Yes,Yes,,No,SI-1
Madison Local SD,3904612,Madison Primary Elementary School,390461202444,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Madison Local SD,3904945,Madison Junior High School,390494503597,No,No,Yes,No,Yes,Yes,,No,SI-1
Madison Local SD,3904945,Madison South Elementary School,390494503599,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Madison-Plains Local SD,3904827,Mount Sterling Elementary School,390482703185,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Mahoning Unlimited Classroom,3900146,Mahoning Unlimited Classroom,390014604758,Yes,Yes,No,Yes,No,,Yes,No,SI-2
Manchester Local SD,3900537,Woolard Elementary School,390053705249,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Mansfield City SD,3904429,Alternative High School,390442901325,No,Not Rated,No,No,Yes,,Yes,No,CA
Mansfield City SD,3904429,Brinkerhoff Elementary School,390442901215,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
Mansfield City SD,3904429,Hedges Elementary School,390442901218,Yes,Yes,Yes,No,Yes,Yes,,No,SI-2
Mansfield City SD,3904429,Malabar Middle School,390442901219,No,No,Yes,No,Yes,Yes,,No,R-P
Mansfield City SD,3904429,Mansfield High School,390442901220,No,No,Yes,No,Yes,,Yes,No,CA
Mansfield City SD,3904429,Newman Elementary School,390442901221,Yes,No,Yes,No,Yes,Yes,,No,R-P
Mansfield City SD,3904429,Prospect Elementary School,390442901222,Yes,No,Yes,No,Yes,Yes,,No,CA
Mansfield City SD,3904429,Sherman Elementary School,390442901225,Yes,Yes,Yes,No,Yes,Yes,,No,CA (Delay)
Mansfield Community School,3900213,Mansfield Community School,390021304737,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Mansfield Enhancement Academy,3900523,Mansfield Enhancement Academy,390052305233,Yes,Not Rated,Not Rated,Yes,Not Rated,,No,No,SI-1 (Delay)
Maple Heights City SD,3904430,Milkovich Middle School,390443001232,No,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
Marcus Garvey Academy,3900210,Marcus Garvey Academy,390021004734,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Marion City SD,3904433,Benjamin Harrison Elementary School,390443301261,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Marion City SD,3904433,George Washington Elementary School,390443301257,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Marion City SD,3904433,Harding High School,390443301259,No,No,No,No,No,,Yes,No,CA
Marion City SD,3904433,James A. Garfield Elementary School,390443304540,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Marion City SD,3904433,Marion City Digital Academy,390443304750,Yes,Yes,Yes,No,Yes,,Yes,No,SI-1
Marion City SD,3904433,Rutherford B. Hayes Elementary School,390443301267,Yes,No,Yes,Yes,Yes,Yes,,No,SI-2
Marion City SD,3904433,Ulysses S. Grant Middle School,390443305287,No,No,Yes,No,Yes,No,,No,SI-2
Marion City SD,3904433,William H. Taft Elementary School,390443304539,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Marion City SD,3904433,William McKinley Elementary School,390443305288,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Marysville Exempted Village SD,3904547,Creekview Intermediate Elementary School,390454704574,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Marysville Exempted Village SD,3904547,Marysville High School,390454702230,No,No,Yes,No,Yes,,Yes,No,SI-1
Marysville Exempted Village SD,3904547,Marysville Middle School,390454702231,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Massillon City SD,3904435,Franklin Elementary School,390443501279,Yes,No,Yes,Yes,Yes,Yes,,No,R-I
Massillon City SD,3904435,Massillon Middle School,390443501276,No,No,Yes,No,Yes,Yes,,No,SI-2
Massillon City SD,3904435,Washington High School,390443501286,No,No,Yes,No,Yes,,Yes,No,R-P
Mayfield City SD,3904437,Mayfield High School,390443701297,No,No,Yes,Yes,Yes,,Yes,No,SI-1
Maysville Local SD,3904885,Maysville Middle School,390488503430,No,No,Yes,No,Yes,Yes,,No,SI-1
Medina City SD,3904438,Claggett Middle School,390443801307,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Meigs Local SD,3904852,Meigs Intermediate Elementary School,390485204639,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Meigs Local SD,3904852,Meigs Middle School,390485203285,No,No,Yes,No,Yes,Yes,,No,SI-1
Meigs Local SD,3904852,Meigs Primary Elementary School,390485204638,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Miami Trace Local SD,3910010,New Holland Elementary School,391001002703,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Miamisburg City SD,3904439,Miamisburg High School,390443901313,No,No,Yes,No,Yes,,Yes,No,CA
Middletown City SD,3904440,Amanda Elementary School,390444001317,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Middletown City SD,3904440,Central Academy Nongraded Elementary School,390444004385,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Middletown City SD,3904440,Creekview Elementary School,390444001320,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Middletown City SD,3904440,Mayfield Elementary School,390444001327,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Middletown City SD,3904440,Middletown High School,390444001329,No,No,Yes,No,Yes,,Yes,No,R-P
Middletown City SD,3904440,Stephen Vail Middle School,390444001322,No,No,Yes,No,Yes,Yes,,No,R-P
Middletown City SD,3904440,Verity Middle School,390444001338,No,No,Yes,No,Yes,Yes,,No,SI-1
Middletown City SD,3904440,Wildwood Elementary School,390444001339,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Middletown Fitness and Preparatory Academy,3900194,Middletown Fitness and Preparatory Academy,390019404718,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Millennium Community School,3900036,Millennium Community School,390003602838,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,CA (Delay)
Minerva Local SD,3904989,Minerva Middle School,390498903735,No,No,Yes,No,Yes,Yes,,No,SI-1
Mississinawa Valley Local SD,3904667,Mississinawa Valley Elementary School,390466702618,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Mollie Kessler Community School,3900209,Mollie Kessler Community School,390020904733,Yes,No,Yes,No,Yes,Yes,,No,CA
Monroe Local SD,3900094,Monroe Elementary School,390009403635,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Montessori Renaissance Experience,3900110,Montessori Renaissance Experience,390011003876,Yes,No,Yes,No,Yes,No,,No,SI-1
Montpelier Exempted Village SD,3904552,Montpelier Middle School,390455202263,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Moraine Community School,3900241,Moraine Community School,390024104688,Yes,No,Yes,No,Yes,,Yes,No,CA
Morgan Local SD,3904877,East Elementary School,390487704644,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Morgan Local SD,3904877,West Elementary School,390487704645,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Mount Gilead Exempted Village SD,3904553,Mount Gilead Middle School,390455302267,No,Yes,Yes,No,Yes,Yes,,No,SI-1
Mount Healthy City SD,3904441,Duvall Elementary School,390444104824,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Mount Healthy City SD,3904441,Frost Elementary School,390444101343,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,R-P (Delay)
Mount Healthy City SD,3904441,Greener Elementary School,390444101344,Yes,No,Yes,No,Yes,Yes,,No,SI-2
Mount Healthy City SD,3904441,Mount Healthy High School,390444101346,No,Yes,Yes,Yes,Yes,,Yes,Yes,SI-2 (Delay)
Mount Healthy City SD,3904441,Mount Healthy Junior High School,390444101350,No,No,Yes,No,Yes,Yes,,No,CA
Mount Vernon City SD,3910012,Mount Vernon High School,391001201356,No,No,Yes,No,Yes,,Yes,No,CA
Mount Vernon City SD,3910012,Mount Vernon Middle School,391001201357,No,No,Yes,Yes,Yes,Yes,,No,R-P
National Trail Local SD,3904927,National Trail Elementary School,390492703545,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
National Trail Local SD,3904927,National Trail Middle School,390492703546,No,No,Yes,No,Yes,Yes,,No,SI-1
New Boston Local SD,3904446,Stanton Primary Elementary School,390444601392,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
New Choices Community School,3900115,New Choices Community School,390011504140,Yes,No,Yes,No,Yes,No,,No,SI-2
New City School,3900394,New City School,390039404954,Yes,No,Yes,No,Yes,Yes,,No,SI-1
New Lexington City SD,3904447,New Lexington Middle School,390444701395,No,No,Yes,No,Yes,Yes,,No,SI-2
New Philadelphia City SD,3904448,East Elementary School,390444801398,Yes,No,Yes,No,Yes,Yes,,No,SI-1
New Philadelphia City SD,3904448,Quaker Digital Academy,390444805195,Yes,Yes,Yes,No,Yes,,Yes,No,SI-1
New Richmond Exempted Village SD,3904555,Monroe Elementary School,390455502273,No,No,Yes,Yes,Yes,Yes,,No,SI-1
Newark City SD,3904445,Ben Franklin Elementary School,390444501376,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
Newark City SD,3904445,Newark High School,390444501385,No,No,Yes,No,Yes,,Yes,No,R-P
Newark City SD,3904445,Wilson Middle School,390444501389,No,No,Yes,Yes,Yes,Yes,,No,CA
Newcomerstown Exempted Village SD,3904554,Newcomerstown Middle School,390455402271,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Newton Falls Exempted Village SD,3904556,Newton Falls Elementary School,390455602279,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Newton Falls Exempted Village SD,3904556,Newton Falls Middle School,390455602280,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Nordonia Hills City SD,3905004,Nordonia Middle School,390500403811,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1
North College Hill City SD,3904451,North College Hill Jr./Sr. High School,390445101425,No,Yes,Yes,Yes,Yes,,Yes,Yes,SI-2 (Delay)
North Dayton School of Science and Discovery,3900216,North Dayton School of Science and Discovery,390021604740,Yes,No,Yes,No,Yes,Yes,,No,CA
North Fork Local SD,3904802,Utica Junior High School,390480203088,No,No,Yes,No,Yes,Yes,,No,SI-1
North Olmsted City SD,3904452,North Olmsted Middle School,390445201433,No,No,Yes,Yes,Yes,Yes,,No,SI-1
North Ridgeville City SD,3904453,North Ridgeville Middle School,390445301440,No,No,Yes,Yes,Yes,Yes,,No,CA (Delay)
Northland Preparatory and Fitness Academy,3900552,Northland Preparatory and Fitness Academy,390055205264,Yes,No,Yes,Yes,Yes,Yes,,No,SI-1
Northmont City SD,3904872,Northmont High School,390487203372,No,No,Yes,No,Yes,,Yes,No,CA
Northmont City SD,3904872,Northmont Middle School,390487203373,No,Yes,Yes,Yes,Yes,Yes,,Yes,SI-2 (Delay)
Northridge Local SD,3904873,Grafton Kennedy Elementary School,390487303378,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Northridge Local SD,3904873,Morrison Elementary School,390487303379,Yes,No,Yes,No,Yes,Yes,,No,SI-1
Northridge Local SD,3904873,Timberlane Elementary School,390487304273,No,No,Yes,No,Yes,Yes,,No,SI-1
Northwest Local SD,3904736,Colerain High School,390473602855,No,Yes,Yes,Yes,Yes,,Yes,Yes,SI-2 (Delay)
Northwest Local SD,3904736,Houston Elementary School,390473602857,Yes,Yes,Yes,No,Yes,Yes,,No,SI-1 (Delay)
Northwest Local SD,3904736,Pleasant Run Middle School,390473602861,No,No,Yes,No,Yes,Yes,,No,SI-1
Northwest Local SD,3904736,Taylor Elementary School,390473602863,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,SI-1 (Delay)
