property_name_text,address_line1_text,address_line2_text,city_name_text,state_code,zip_code,county_name_text,property_on_site_phone_number,fha_number,contract_number,soa_description_text,property_category_name,client_group_name,client_group_type,total_assisted_unit_count,total_unit_count,owner_contact_indv_full_name,owner_organization_name,owner_address_line1,owner_address_line2,owner_city_name,owner_state_code,owner_zip_code,owner_zip4_code,owner_main_phone_number_text,owner_main_fax_number_text,owner_email_text,mgmt_contact_full_name,mgmt_agent_org_name,mgmt_agent_address_line1,mgmt_agent_address_line2,mgmt_agent_city_name,mgmt_agent_state_code,mgmt_agent_zip_code,mgmt_agent_zip4_code,mgmt_agent_main_phone_number,mgmt_agent_main_fax_number,mgmt_agent_email_text,project_manager_name_text,hub_name_text,servicing_site_name_text
SHEPARD APARTMENTS,938 Jefferson Street,,EUGENE,OR,97401,Lane,541-343-5831,126HD024,OR16Q971003,811 Capital Advance for Disabled,202/811,Chronically Mentally Ill,Disabled,9,9,Lynn Shepard,SHEPARD APARTMENTS INC,1774 Alder Street,,EUGENE,OR,97401,4447,(541)683-7532,(541)683-1334,need_email@hud.gov,Denise Schadegg,"Halfway House Services, Inc.",1774 Alder Street,,EUGENE,OR,97401,4447,(541) 683-7532,(541) 683-1334,alder-hhs@comcast.net,CYNTHIA E INGEBRETSON,Seattle,Portland
SIUSLAW DUNES,1750 43RD Ave.,,FLORENCE,OR,97439,Lane,,,OR160046001,,"Subsidized, No HUD Financing",Indv. families - not eld/ handicap,Family,45,45,Ray Hackworth,SIUSLAW DUNES ACQUISITION LLC,2316 SE Willard St,,Milwaukie,OR,97222,,5036541007,,gillock@nwhousing.org,Rebekah Gerrick,Cascade Management Corp.,8532 SW Saint Helens Dr,,Wilsonville,OR,97070,9639,503-682-7788,503-682-5656,dave@cascade-management.com,MELISSA A SCHAFTE,Seattle,Portland
SMALLWOOD APARTMENTS,1300 E. Main St.,,HILLSBORO,OR,97123,Washington,,126EH115,OR16T881003,202/8 Direct Loan/ Elderly-Handicapped,202/811,Chronically Mentally Ill,Disabled,17,18,David Pump,Cedar Corp,4585 SW 185th Ave,,Aloha,OR,97007,,503 619-1902,,jramirez@sequoiamhs.org,,"SEQUOIA MENTAL HEALTH SERVICES, INC",13575 SW MILLIKAN WAY,,BEAVERTON,OR,97005,,(503) 591-9280,(503) 848-2072,charris@sequoia.com,MELISSA A SCHAFTE,Seattle,Portland
SOMERSET VILLAS,2600 Sunnyview Lane,,EUGENE,OR,97405,Lane,541-687-5880,12635286,,223(a)(7) Refi of 221d4 NC/SR,Insured-Unsubsidized,Indv. families - not eld/ handicap,Family,0,92,John Hargrove,SOMERSET VILLAS LLC,2290 Spring Blvd,,Eugene,OR,97403,1860,541-285-7426,541-359-4826,mail@mastersons.us,Jeffrey A. Reingold,Income Property Management Company,721 SW Oak Street,Suite 100,PORTLAND,OR,97205,3712,(503) 223-6327,(503) 223-3843,www.ipmco.com,CAROL JAMISON,Seattle,Portland
Sonja Apartments,1836 Alder Street,,Eugene,OR,97401,Lane,,12611077,,223(f) Refi/ Purchase Apts,Insured-Unsubsidized,,,0,32,Dan Neal,south university sustainable housing llc,1361 Pearl,,eugene,OR,97401,,5414847311,5414844290,dan@nealeng.com,Cindy Kintzley,"von Klein Property Management, LLC",1301 Ferry Street #2,,Eugene,OR,97401,,541-485-7776,541-334-6578,vkpm@vonkleinrentals.com,CYNTHIA E INGEBRETSON,Seattle,Portland
SORGENFRI,3400 HAWTHORNE AVE,,EUGENE,OR,97402,Lane,,,OR16M000068,,Subsidized - Previously Insured,Elderly,Elderly,94,94,Charles N Shepard,Sorgenfri Properties LLC,91120 N Willamette,,Coburg,OR,97408,,541-484-6595,,ryan@umbrellaproperties.com,Ryan Thompson,"Umbrella Properties, Inc.",91120 N Willamette,,Coburg,OR,97408,,541-484-6595,,ryan@umbrellaproperties.com,STEPHANIE P SMITH,Seattle,Portland
SOUTHFAIR APARTMENTS,1901 Fairgrounds Rd NE,,Salem,OR,97301,Marion,,12698012,OR16M000086,542(c) HFA Risk Sharing -- NC/SR,Insured-Subsidized,Indv. families - not eld/ handicap,Family,8,40,Andrew Wilch,Southfair Apartments Limited Partnership,P.O. Box 808,,Salem,OR,97308,0808,503-588-6452,,need_email@hud.gov,Jerry Croft,Housing Authority of  the  City of Salem,360 CHURCH ST SE,P.O. Box 808,SALEM,OR,97308,0808,(503) 588-6368,(503) 588-6465,need_email@hud.gov,STEPHANIE P SMITH,Seattle,Portland
SPENCER HOUSE,13665 SW LARCH PL,,BEAVERTON,OR,97005,Washington,503-644-4496,12635309,OR16M000130,221d4 NC/SR,Insured-Subsidized,Indv. families - not eld/ handicap,Family,38,48,Sheila Greenlaw-Fink,"Preserve Spencer House, Inc.","6380 SW Capitol Highway, #151",,Portland,OR,97239,1938,503.293.4038,503.293.4039,sgfink@cpahinc.org,Dave Bachman,Cascade Management Corp.,8532 SW Saint Helens Dr,,Wilsonville,OR,97070,9639,503-682-7788,503-682-5656,dave@cascade-management.com,KRISTINE PETRILLO,Seattle,Portland
SPRING SITE APARTMENTS,195 B ST,,SPRINGFIELD,OR,97477,Lane,,,OR16H029084,,"Subsidized, No HUD Financing",Indv. families - not eld/ handicap,Family,12,12,Lola  McAllister,V. T. & Lola McAllister,105 Carthage Avenue,,EUGENE,OR,97404,4004,541-689-5311,541-689-5311,lolann@msn.com,Lola  McAllister,LolaMcAllister,105 CARTHAGE   AVENUE,,Eugene,OR,97404,4004,541-689-5311,541-689-5311,need_email@hud.gov,RICHARD OTIS,Seattle,Portland
SPRING STREET APARTMENTS,750 SPRING ST,,MEDFORD,OR,97504,Jackson,541-779-7908,,OR16H029007,,"Subsidized, No HUD Financing",Elderly,Elderly,56,56,Martha Mclennan,Spring Housing LP,2316 SE Willard St,,Milwaukie,OR,97222,,(503) 654-1007,,gillock@nwhousing.org,,Cascade Management Corp.,8532 SW Saint Helens Dr,,Wilsonville,OR,97070,9639,503-682-7788,503-682-5656,dave@cascade-management.com,MELISSA A SCHAFTE,Seattle,Portland
SPRINGBROOK PLACE,3105 Middlebrook Drive,,Newberg,OR,97128,Yamhill,,126HD042,OR16Q051002,811 Capital Advance for Disabled,202/811,,,14,15,Carol Ann Taylor,Chehalem Valley Housing Corporation,1102 North Springbrook Road,Suite 229,Newberg,OR,97132,,503-625-7732,,need_email@hud.gov,David Bachman,Cascade Management Corp.,8532 SW Saint Helens Dr,,Wilsonville,OR,97070,9639,503-682-7788,503-682-5656,dave@cascade-management.com,SUSANA MITCHELL,Seattle,Portland
SPRINGTREE APARTMENTS,650 SE 162nd Avenue,,PORTLAND,OR,97233,Multnomah,503-253-1476,12698017,,542(c) HFA Risk Sharing -- NC/SR,Insured-Unsubsidized,Indv. families - not eld/ handicap,Family,0,72,Randy Lovre,Springtree Limited Partnership,"412 NW 5th Avenue, Suite 200",,Portland,OR,97209,,503-288-6210,503-288-6209,hboyd@pacificap.com,Chad I Rennaker,PacifiCap Management Inc.,"412 NW 5th Avenue, Suite 200",,Portland,OR,97209,,(503) 288-6210,(503) 288-6209,hboyd@pacificap.com,SUSANA MITCHELL,Seattle,Portland
Springwater Crossing,1132 NW Birdsdale Ave.,,Gresham,OR,97030,Multnomah,866-472-0778,12611070,,223(f) Refi/ Purchase Apts,Insured-Unsubsidized,,,0,171,Sean Keys,"Springwater Crossing SPE, LLC",17933 NW Evergreen Parkway Suite 300,,Beaverton,OR,97006,,503-597-7100,,Sean@Steedgroup.com,Brad Schnell,"Riverstone Residential West, LLC",5575 DTC Parkway suite 250,Attn: Jim Kosiara,Greenwood Village,CO,80111,,303 386-8380,303 217-8401,jkosiara@riverstoneres.com,SUSANA MITCHELL,Seattle,Portland
Spruce Place,4565 SW 185th Ave,,Beaverton,OR,97007,Washington,,126HD046,OR16Q081002,811 Capital Advance for Disabled,202/811,,,14,14,Jerry R. Hanson,Spruce Place Inc.,c/o Goodale & Barbieri Company (SROGERS),818 West Riverside #818,Spokane,WA,99201,,509-344-4920,,srogers@g-b.com,David W. Pump,"SEQUOIA MENTAL HEALTH SERVICES, INC",13575 SW MILLIKAN WAY,,BEAVERTON,OR,97005,,(503) 591-9280,(503) 848-2072,charris@sequoia.com,SUSANA MITCHELL,Seattle,Portland
St Johns Ivanhoe Apartments,8680 North Ivanhoe Street,,Portland,OR,97203,Multnomah,,12635307,,221d4 NC/SR,Insured-Unsubsidized,,,0,0,,,,,,,,,,,,,,,,,,,,,,,CAROL JAMISON,Seattle,Portland
ST. JAMES SQUARE I,1837-D NE Purcell BLVD,,BEND,OR,97701,Deschutes,541-480-0006,,OR16H029017,,"Subsidized, No HUD Financing",Indv. families - not eld/ handicap,Family,10,10,William G. Taylor,Edgecliff Homes Partnership,61263 Chikamin Dr,,Bend,OR,97702,2744,(541) 388-1111,,need_email@hud.gov,J. Spencer S. Taylor,"Taylor Real Estate & Management, LLC",P.O. Box 2606,,Salem,OR,97308,,503-581-1813,503-581-6964,jsstaylor2008@123taylorlaw.com,MELISSA A SCHAFTE,Seattle,Portland
ST. JAMES SQUARE II,1837-E NE Purcell BLVD,,BEND,OR,97701,Deschutes,541-480-0006,,OR16H029037,,"Subsidized, No HUD Financing",Indv. families - not eld/ handicap,Family,17,17,William G. Taylor,Edgecliff Homes Partnership,61263 Chikamin Dr,,Bend,OR,97702,2744,(541) 388-1111,,need_email@hud.gov,J. Spencer S. Taylor,"Taylor Real Estate & Management, LLC",P.O. Box 2606,,Salem,OR,97308,,503-581-1813,503-581-6964,jsstaylor2008@123taylorlaw.com,MELISSA A SCHAFTE,Seattle,Portland
ST. JOHNS WOODS,8652 SWIFT WAY,,PORTLAND,OR,97203,Multnomah,,,OR16M000122,,Subsidized - Previously Insured,Indv. families - not eld/ handicap,Family,124,124,Steve Rudman,Home Forward,135 SW Ash Street,,Portland,OR,97204,,503-802-8300,,webmaster@hapdx.org,Donald G. Bachman,Cascade Management Corp.,8532 SW Saint Helens Dr,,Wilsonville,OR,97070,9639,503-682-7788,503-682-5656,dave@cascade-management.com,MELISSA A SCHAFTE,Seattle,Portland
STAFFORD SQUARE II,724-2 NW 4th ST,,REDMOND,OR,97756,Deschutes,503-682-7788,,OR16H029054,,"Subsidized, No HUD Financing",Indv. families - not eld/ handicap,Family,12,12,Victor Wallenkampf,Newberg Place L.L.C.,P.O. Box 746,,Bayside,CA,95524,,707-822-6161,,need_email@hud.gov,,Cascade Management Corp.,8532 SW Saint Helens Dr,,Wilsonville,OR,97070,9639,503-682-7788,503-682-5656,dave@cascade-management.com,RICHARD OTIS,Seattle,Portland
Standard Dairy,2808 NE Martin Luther King Jr. Blvd.,,Portland,OR,97212,Multnomah,,12611065,,223(f) Refi/ Purchase Apts,Insured-Unsubsidized,,,0,64,William Reed,Albina Community Housing LLC,2401 NE Martin Luther King Jr. Blvd.,,Portland,OR,97212,,503-282-4696,,reed@stdairy.com,Mark Reed,MJP Management LLC,2401 NE Martin Luther King Jr. Blvd.,,Portland,OR,97212,,503-282-4696,,reed@stdairy.com,CYNTHIA E INGEBRETSON,Seattle,Portland
Standard Dairy,2808 Martin Luther King Jr Blvd,,Portland,OR,97212,Multnomah,,12611096,,223(f) Refi/ Purchase Apts,Insured-Unsubsidized,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,Seattle,Portland
STAR THISTLE APTS,1971 SISKIYOU BLVD,,ASHLAND,OR,97520,Jackson,541-552-1109,126HD021,OR16Q961001,811 Capital Advance for Disabled,202/811,Chronically Mentally Ill,Disabled,12,12,Michael Bianca,Ashland Housing Opportunities Inc.,1215 SW 'G' Street,,Grants Pass,OR,97526,,(541) 476-2373,,info@optionsonline.org,Kim  Miller,Options for Southern Oregon Inc.,1215  SW G  ST,,Grants Pass,OR,97526,2544,(541) 476-2373,(541)  476-1526,info@optionsonline.org,CYNTHIA E INGEBRETSON,Seattle,Portland
STAYTON MANOR,830 N 3RD ST,,STAYTON,OR,97383,Marion,,,OR16M000054,,Subsidized - Previously Insured,Elderly,Elderly,16,16,Terrence R. McDonald,Stayton Manor Limited Partnership,PO Box 24608,,Eugene,OR,97402,0440,(541)687-5820,,need_email@hud.gov,Amy Harwood,St.Vincent DePaul Society of Lane County,705 S. Seneca,,Eugene,OR,97402,,(541) 687-5820,,need_email@hud.gov,KRISTINE PETRILLO,Seattle,Portland
STEWART TERRACE,1000 N SHERWOOD BLVD,,SHERWOOD,OR,97140,Washington,(503) 625-7883,,OR16H029161,,"Subsidized, No HUD Financing",Elderly,Elderly,24,24,Raquel Guglielmetti,Stewart Terrace Apartment LLC,710 NW 14th  Second Floor,,Portland,OR,97209,,503-802-3681,503-914-1526,rhammock@guardian-mgmt.com,,Guardian Real Estate Services LLC,710 NW 14th Ave,,Portland,OR,97209,2701,503-802-3600,503-802-3648,thomas.brenneke@gres.com,MELISSA A SCHAFTE,Seattle,Portland
STRAWBERRY VILLAGE,142 E 11TH ST,,PRAIRIE CITY,OR,97869,Grant,,,OR16H029144,,"Subsidized, No HUD Financing",Indv. families - not eld/ handicap,Family,10,10,Leonard  Nelson,Strawberry Village Partnership,305 NW 5th Street,,John Day,OR,97845,1118,(541) 575-1758,,need_email@hud.gov,Maggie Lamont,Northeast Oregon Housing Authority,2608 May Lane,PO Box 3357,LaGrande,OR,97850,7357,(541) 963-5360,(541) 963-3682,dinslee@gmail.com,RICHARD OTIS,Seattle,Portland
SUMMER RUN APTS,7810 SE FOSTER RD,,PORTLAND,OR,97206,Multnomah,,126EH053,OR16T821012,202/8 Direct Loan/ Elderly-Handicapped,202/811,Wholly Elderly Housekeeping,Elderly,50,50,Dorothy  Ackerman,Kimiwa Inc.,5632 NW WILLBRIDGE AVE,,PORTLAND,OR,97210,3628,(503) 274-2320,,need_email@hud.gov,Patrick C. O'Toole,Manor Management Service,1625  SE LaFayette St.,,Portland,OR,97202,3862,(503) 231-4922,503 235 5915,wendy@manormanagement.com,RICHARD OTIS,Seattle,Portland
SUMMERLINN APARTMENTS,400 Springtree Lane,,West Linn,OR,97068,Clackamas,,,,,Insured-Unsubsidized,,,0,94,Steven Hanson,SUMMERLINN LUXURY APARTMENTS LLC,400 Springtree Lane,,WEST LINN,OR,97068,5173,5037236959,5037236958,lisa@summerlinn.com,Steven Hanson,SUMMERLINN LUXURY APARTMENTS LLC,400 Springtree Lane,,WEST LINN,OR,97068,5173,5037236959,5037236958,lisa@summerlinn.com,CYNTHIA E INGEBRETSON,Seattle,Portland
SUN VILLAGE,721 N. MAIN ST,,ASHLAND,OR,97520,Jackson,,,OR16H029154,,"Subsidized, No HUD Financing",Wholly physically disabled,Disabled,12,12,Linda J Nammanny,Linda Namanny,PO Box 793,,Ashland,OR,97520,0027,(541) 482-3451,(541) 482-7142,need_email@hud.gov,Linda J. Namanny,Linda Namanny,PO Box 793,,Ashland,OR,97520,0027,(541) 482-3451,(541) 482-7142,need_email@hud.gov,RICHARD OTIS,Seattle,Portland
SUNLAND PARK APARTMENTS,1630 W Sunland Ave,,Hermiston,OR,97838,Umatilla,,,OR16H029098,,"Subsidized, No HUD Financing",Indv. families - not eld/ handicap,Family,40,41,Noel Gill,Northwest Sunland LLC,210 W. Mallard Drive,Suite A,Boise,ID,83706,,208-947-7048,,raquel@nwrecc.org,Noel Gill,Northwest Real Estate Capital Corp,210 W Mallard Dr Ste A,,Boise,ID,83706,3992,(208) 947-7050,(208) 9477052,bradelg@nwrecc.org,STEPHANIE P SMITH,Seattle,Portland
SUNNYSLOPE MANOR,1000 CUNNINGHAM LN S,,SALEM,OR,97302,Marion,503-364-5065,12644017,OR16M000143,236(j)(1)/ Lower Income Families,Insured-Subsidized,Indv. families - not eld/ handicap,Family,31,50,Martha McLennan,Sunnyslope Manor Assoc Inc,2316 SE Willard St,,Portland,OR,97222,7740,503-654-1007,503-654-1319,need_email@hud.gov,Thomas Brenneke,Guardian Real Estate Services LLC,710 NW 14th Ave,,Portland,OR,97209,2701,503-802-3600,503-802-3648,thomas.brenneke@gres.com,MELISSA A SCHAFTE,Seattle,Portland
Sunset Crossing,17941 NW Evergreen Parkway,,Beaverton,OR,97006,Washington,,,,,Insured-Unsubsidized,,,0,102,Sean Keys,"Sunset Crossing SPE, LLC",17933 NW Evergreen Parkway Suite 300,,Beaverton,OR,97006,,503-597-7100,,Sean@steedgroup.com,Brad Schnell,"Riverstone Residential West, LLC",5575 DTC Parkway suite 250,Attn: Jim Kosiara,Greenwood Village,CO,80111,,303 386-8380,303 217-8401,jkosiara@riverstoneres.com,SUSANA MITCHELL,Seattle,Portland
SURFWOOD MANOR,4545 SW HIGHWAY 101,,LINCOLN CITY,OR,97367,Lincoln,,,OR16H029030,,"Subsidized, No HUD Financing",Elderly,Elderly,48,48,,surfwood manor oreg ltd,6107 sw murray blvd #106,,beaverton,OR,97008,,5036448802,5036448808,howlieb@aol.com,Cambridge Real Estate Services,Cambridge Real Estate Services,1107 NW 14th Ave,,Portland,OR,97209,2802,(503) 450-0230,(503) 450-0240,"info@cambridgeres,com",RICHARD OTIS,Seattle,Portland
TARKINGTON SQUARE,357 N First Avenue,,HILLSBORO,OR,97124,Washington,,,OR16H029112,,"Subsidized, No HUD Financing",Wholly Elderly Housekeeping,Elderly,48,48,Val Valfre,Housing Authority of Washington County,111 NE Lincoln Street,Suite 200-L,Hillsboro,OR,97127,3036,503-846-4784,503-846-4795,gary_calvert@co.washington.or.us,John Meyer,"Infinity Property Management, Inc.",14919 SW Brooke Ct.,,Sherwood,OR,97140,,503-625-6555,503-625-3604,jmeyer@infinitypropertymgmt.com,KRISTINE PETRILLO,Seattle,Portland
TAYLOR STREET APTS.,1330 SE TAYLOR ST,,PORTLAND,OR,97214,Multnomah,503-231-0682,,,,Use Restriction,Indv. families - not eld/ handicap,Family,0,10,Steven M. Rose,"Taylor Apartments, Inc.",1135 SE Salmon St.,,Portland,OR,97214,3628,(503) 231-0682,(503) 236-3429,need_email@hud.gov,Becky Crew,"REACH Community Development, Inc.",1135 SE Salmon St,,Portland,OR,97214,3628,503-231-0682,503-236-3429,mbaker@reachcdc.org,SUSANA MITCHELL,Seattle,Portland
TENINO TERRACE,2405-1 SE UMATILLA ST,,PORTLAND,OR,97202,Multnomah,503-234-6785,,OR16M000196,,Subsidized - Previously Insured,Indv. families - not eld/ handicap,Family,86,94,H. W. Walter (O.C.),Heartland Columbia - Tenino Terrace Limited Partnership,4802 Nicollet Ave,,Minneapolis,MN,55419,5511,612-823-6275,612-823-3210,sperkins@hrii.com,Steve Perkins (M.C.),"HEARTLAND REALTY  INVESTORS, INC.",4802 Nicollet Ave,,Minneapolis,MN,55419,,612 604-5302,612 823-3210,sperkins@hrii.com,KRISTINE PETRILLO,Seattle,Portland
TERWILLIGER PLAZA,245 SW 5TH ST,,PENDLETON,OR,97801,Umatilla,541-276-0416,126HH002,OR16Q891002,202 Direct Loan Converted to Cap Adv w/PRAC,202/811,Chronically Mentally Ill,Disabled,19,20,Eva Mabbott,"Umatilla Partnership Housing, Inc.",721  SE 3rd  ST,Suite D,Pendleton,OR,97801,3056,541-276-1926,,need_email@hud.gov,Dena Miller,Neel Management Team,P.O. Box 760,,Creswell,OR,97426,0760,(541)895-8801,,need_email@hud.gov,SUSANA MITCHELL,Seattle,Portland
The Parker Apartments,1415 Northwest 12th Avenue,,Portland,OR,97209,Multnomah,,12635305,,221d4 NC/SR,Insured-Unsubsidized,,,0,0,,,,,,,,,,,,,,,,,,,,,,,CAROL JAMISON,Seattle,Portland
THUNDERBIRD APARTMENTS,401-A 20TH ST,,LA GRANDE,OR,97850,Union,,12698044,OR16E000001,542(c) HFA Risk Sharing -- Existing,Insured-Subsidized,Indv. families - not eld/ handicap,Family,40,40,Anthony Chrisman,"Thunderbird Apartments, Inc.",301 W. Main,,Enterprise,OR,97828,,541-426-4964,541-426-4965,dchrisman@colemanandchrisman.com,,"Viridian Management, Inc.",200 E Main St,PO Box 490,Enterprise,OR,97828,,541-426-3820,541-426-5978,mark@viridianmgt.com,MELISSA A SCHAFTE,Seattle,Portland
TILLICUM COURT APARTMENTS,5135 SE 73RD AVE,,PORTLAND,OR,97206,Multnomah,,,OR16T831010,,Subsidized - Previously 202/811,Chronically Mentally Ill,Disabled,15,16,Jim Hlava,TILLICUM COURT LLC,P.O. BOX 9275,,PORTLAND,OR,97207,,503-238-0769,503-402-8119,jim.hlava@cascadiabhc.org,Jim Hlava,"Cascadia Behavioral Healthcare, Inc.",PO Box 9275,,Portland,OR,97207,,503-238-0769,503-402-8119,jim.hlava@cascadiabhc.org,MELISSA A SCHAFTE,Seattle,Portland
TIMBER RIDGE RETIREMENT CENTER,660 RANCH ROAD,,REEDSPORT,OR,97467,Douglas,541-271-0113,126EE014,OR16S941001,202 Capital Advance for Elderly,202/811,Wholly Elderly Housekeeping,Elderly,30,30,Frank C. Gimbolo,RVM Reedsport Housing Corporation,965 Ellendale Drive,,Medford,OR,97504,8557,(541) 857-7454,(541) 857-7889,dena@retirement.org,Michelle Brooks,PACIFIC RETIREMENT SERVICE,965 Ellendale Dr,,MEDFORD,OR,97504,8215,541-857-7472,541-857-7889,dena@retirement.org,SUSANA MITCHELL,Seattle,Portland
TRENTON TERRACE,4720 N Trenton St,,Portland,OR,97203,Multnomah,503-283-0966,126EE052,OR16S041003,202 Capital Advance for Elderly,202/811,,,61,62,Martha McLennan,Trenton Terrace Limited Partnership,2316 SE Willard St,,Milwaukie,OR,97222,7740,503.654.1007,503.654.1319,need_email@hud.gov,Dave Bachman,Cascade Management Corp.,8532 SW Saint Helens Dr,,Wilsonville,OR,97070,9639,503-682-7788,503-682-5656,dave@cascade-management.com,CAROL JAMISON,Seattle,Portland
TRIPLE J  APARTMENTS,247 LORRAINE AVE,,EAGLE POINT,OR,97524,Jackson,(541) 826-3548,,OR16H029008,,"Subsidized, No HUD Financing",Elderly,Elderly,8,8,EARL  KELLENBECK,Triple J Oregon Ltd,830 NE VICTORIA ST,,GRANTS PASS,OR,97526,2226,541 476 1141,541 471 8550,need_email@hud.gov,Cascade Management (Grants Pass),Cascade Management Corp.,8532 SW Saint Helens Dr,,Wilsonville,OR,97070,9639,503-682-7788,503-682-5656,dave@cascade-management.com,STEPHANIE P SMITH,Seattle,Portland
TROUTDALE TERRACE APARTMENTS,800-900 NE 257th Avenue,,TROUTDALE,OR,97060,Multnomah,503-618-1876,12698030,,542(c) HFA Risk Sharing -- NC/SR,Insured-Unsubsidized,,,0,228,James H. Winkler,Troutdale Terrace Limited Partnership,210 SW Morrison St Ste 600,,Portland,OR,97204,3150,503-225-0701,503-273-8591,jhw@winklercompanies.com,Gary O'Connell,Quantum Residential Services Inc.,601 East 16th St,,Vancouver,WA,98663,3416,360-696-9000,360-696-9609,garyo@qresinc.com,CAROL JAMISON,Seattle,Portland
TRYON MEWS,8453 SW 30TH AVE,,PORTLAND,OR,97219,Multnomah,503-238-0769,,OR16D901004,,Subsidized - Previously 202/811,Chronically Mentally Ill,Disabled,19,20,Jim Hlava,TRYON MEWS APARTMENTS LLC,P.O. BOX 9275,,PORTLAND,OR,97207,,503-238-0769,503-402-8119,jim.hlava@cascadiabhc.org,Jim Hlava,"Cascadia Behavioral Healthcare, Inc.",PO Box 9275,,Portland,OR,97207,,503-238-0769,503-402-8119,jim.hlava@cascadiabhc.org,SUSANA MITCHELL,Seattle,Portland
UHLHORN APARTMENTS,689 W 13TH AVE,,EUGENE,OR,97402,Lane,,126EH108,OR16T871003,202/8 Direct Loan/ Elderly-Handicapped,202/811,Wholly physically handicapped,Disabled,20,20,Melinda Grier,D.H. Inc.,499 West 4th Avenue,,Eugene,OR,97401,,541-686-1262,541- 686-0359,ebonner@sheltercare.org,Mele Tatton,Sheltercare,1790 West 11th Ave,Suite 290,Eugene,OR,97402,0427,(541) 686-1262,(541) 686-0359,dferdun@lunabridge.com,MELISSA A SCHAFTE,Seattle,Portland
UNTHANK PLAZA APARTMENTS,2500 N Williams AVE,,PORTLAND,OR,97227,Multnomah,,,OR160017005,,"Subsidized, No HUD Financing",Elderly,Elderly,80,80,Steve Rudman,Home Forward,135 SW Ash Street,,Portland,OR,97204,,503-802-8300,,webmaster@hapdx.org,Gary O'Connell,Quantum Residential Services Inc.,601 East 16th St,,Vancouver,WA,98663,3416,360-696-9000,360-696-9609,garyo@qresinc.com,STEPHANIE P SMITH,Seattle,Portland
UPSHUR HOUSE,2650-1 NW UPSHUR ST,,PORTLAND,OR,97210,Multnomah,(503) 226-3485,,OR16H029113,,"Subsidized, No HUD Financing",Indv. families - not eld/ handicap,Family,30,30,Ray Hackworth,Upshur Renewal Housing LP,2316 SE Willard St,,Milwaukie,OR,97222,,(503) 654-1007,,gillock@nwhousing.org,Dave Bachman,Cascade Management Corp.,8532 SW Saint Helens Dr,,Wilsonville,OR,97070,9639,503-682-7788,503-682-5656,dave@cascade-management.com,RICHARD OTIS,Seattle,Portland
UPTOWN TOWER,712 SW St. Clair,,PORTLAND,OR,97205,Multnomah,,,OR160039003,,"Subsidized, No HUD Financing",Wholly Elderly Housekeeping,Elderly,71,71,,"Uptown Tower Apts, LP",32600 Telegraph Rd,,Bingham Farms,MI,48371,,248-833-0550,248-833-0551,cbric@mhthousing.org,Thomas B. Brenneke,Guardian Real Estate Services LLC,710 NW 14th Ave,,Portland,OR,97209,2701,503-802-3600,503-802-3648,thomas.brenneke@gres.com,RICHARD OTIS,Seattle,Portland
VALLEY PINES APARTMENTS,645 Royal Avenue,,MEDFORD,OR,97501,Jackson,,12698022,,542(c) HFA Risk Sharing -- NC/SR,Insured-Unsubsidized,Indv. families - not eld/ handicap,Family,0,120,"Walter O. Grodahl, III",Valley Pines LIH Limited Partnership,2164 SW Park PL,,Portland,OR,97205,,,,need_email@hud.gov,"Walter Grodahl, III","GSL Properties, Inc.",2164 S.W. Park Place,,Portland,OR,97205,1125,(503)224-2554,(503)223-4463,sgrodahl@gslproperties.com,SUSANA MITCHELL,Seattle,Portland
VALLEY VIEW RETIREMENT CENTER,100 Cordelia Way,,MYRTLE CREEK,OR,97457,Douglas,,126EE002,OR16S911002,202 Capital Advance for Elderly,202/811,Wholly Elderly Housekeeping,Elderly,40,40,Frank C. Gimbolo,RVM Myrtle Creek Housing Corp.,965 Ellendale Drive,,Medford,OR,97504,8546,541-857-7454,,dena@retirement.org,Richard Calhoun,PACIFIC RETIREMENT SERVICE,965 Ellendale Dr,,MEDFORD,OR,97504,8215,541-857-7472,541-857-7889,dena@retirement.org,SUSANA MITCHELL,Seattle,Portland
VALLEY VILLAGE,510  W SCHUMACHER STREET,,CAVE JUNCTION,OR,97523,Josephine,,,OR16R000012,,"Subsidized, No HUD Financing",Elderly,Elderly,16,16,Mark Kellenbeck,"Southern Oregon Affordable Rentals II, LLC",830 NE Victoria St.,,Grants Pass,OR,97526,,541-476-1141,,mark@cascade-management.com,,Cascade Management Corp.,8532 SW Saint Helens Dr,,Wilsonville,OR,97070,9639,503-682-7788,503-682-5656,dave@cascade-management.com,RICHARD OTIS,Seattle,Portland
VERMONT SPRINGS,1825 SW VERMONT ST,,PORTLAND,OR,97219,Multnomah,,,OR16T871005,,Subsidized - Previously 202/811,Chronically Mentally Ill,Disabled,14,15,Neal Beroz,Vermont Springs Apartments LLC,P.O. Box 9275,,Portland,OR,97207,,503-998-3406,,jim.hlava@cascadiabhc.org,Jim Hlava,"Cascadia Behavioral Healthcare, Inc.",PO Box 9275,,Portland,OR,97207,,503-238-0769,503-402-8119,jim.hlava@cascadiabhc.org,MELISSA A SCHAFTE,Seattle,Portland
