Titel,Orginaltitel,År,Regissör,Ditt betyg,Datum,IMDB#
Bataille de boules de neige,Bataille de boules de neige,1896,Louis Lumière,,,41
The Barbershop,The Barbershop,1894,,,,229235
The Bad Boy and the Gardener,The sprinkler sprinkled,1896,,,,236005
Babies Quarrel,Querelle enfantine,1896,Louis Lumière,,,204861
A Frontier Flirtation,A Frontier Flirtation,1903,,,,308284
"Alphonse and Gaston, No. 3","Alphonse and Gaston, No. 3",1903,,,,331835
2 A.M. in the Subway ,2 A.M. in the Subway ,1905,,,,315105
A Ballroom Tragedy,A Ballroom Tragedy,1905,,,,331431
"Torro, Torro, Torro!","Torro, Torro, Torro!",1981,"Josh Becker, Scott Spiegel",,,
Admiral Cigarette,Admiral Cigarette,1897,,,,217234
Nibbles,Nibbles,2003,Christopher Hinton,,,392542
Absurda,Absurda,2007,David Lynch,,,
The Story of Little John Bailey,The Story of Little John Bailey,1970,Paul Driessen,,,
Spotting a Cow,Het Scheppen van een koe,1984,Paul Driessen,,,245416
Uncle & Aunts,Uncle & Aunts,1989,Paul Driessen,,,
Uncle & Aunts 3,Uncle & Aunts 3,1992,Paul Driessen,,,
Oh What a Knight ,La belle et la boîte,1982,Paul Driessen,,,282379
Oh What a Nico,Oh What a Nico,2004,Paul Driessen,,,
I Am Legend,I Am Legend,2007,Francis Lawrence,,,480249
Puce Moment ,Puce Moment ,1949,Kenneth Anger,,,41771
Thicker Than Water ,Thicker Than Water ,1935,James W Horne,,,27089
Mimzy,The Last Mimzy,2007,Robert Shaye,,,768212
Den nya människan,Den nya människan,2007,Klaus Härö,,,796236
Death Sentence,Death Sentence,2007,James Wan,,,804461
Sisyphus,Sisyphus,1974,Marcell Jankovics,,,73715
A Phantasy,A Phantasy,1952,Norman McLaren,,,45028
Vormittagsspuk,Vormittagsspuk,1928,Hans Richter,,,123318
Prärievargens klagan,The Legend of Coyote Rock,1945,Charles A Nichols,,,37868
Dickson Experimental Sound Film,Dickson Experimental Sound Film,1894,William K L Dickson,,,177707
'E','E',1981,Bretislav Pojar,,,132667
Pistache,Pistache,2005,Valérie Pirson,,,487937
Vision,Vízió,2000,Ferenc Cakó,,,237902
Song of the Sand,A Homok dala,1995,Ferenc Cakó,,,231069
Ab ovo,Ab ovo/homoknyomok,1987,Ferenc Cakó,,,147813
Ad astra,Ad astra,1982,Ferenc Cakó,,,194641
Ad Rem,Ad Rem,1989,Ferenc Cakó,,,96758
The Chair,A Szék,1978,Ferenc Cakó,,,195323
Ashes,Hamu,1994,Ferenc Cakó,,,194931
Secret,Titok,1996,Ferenc Cakó,,,
Trees,Fák,1996,Ferenc Cakó,,,
Letter,Levél,1996,Ferenc Cakó,,,
Poem,Vers,1996,Ferenc Cakó,,,
Nest,Fészek,1997,Ferenc Cakó,,,194908
Labyrinth,Labirintus,1999,Ferenc Cakó,,,195010
Nyckeln till frihet,The Shawshank Redemption,1994,Frank Darabont,,,111161
Chickens Come Home,Chickens Come Home,1931,James W Horne,,,21738
Unaccustomed As We Are ,Unaccustomed As We Are ,1929,"Lewis R Foster, Hal Roach",,,20531
Heartbreak Kid,The Heartbreak Kid,2007,"Bobby Farrelly, Peter Farrelly",,,408839
Från andra sidan,Frágiles,2005,Jaume Balagueró,,,422272
Shrek den tredje,Shrek the Third,2007,Chris Miller (I),,,413267
A Prairie Home Companion,A Prairie Home Companion,2006,Robert Altman,,,420087
Se upp för dårarna,Se upp för dårarna,2006,Helena Bergström,,,959342
Aliens vs. Predator: Requiem,AVPR: Aliens vs Predator - Requiem,2007,"Colin Strause, Greg Strause",,,758730
Kverulanten,The Critic,1963,Ernest Pintoff,,,56965
Producenterna,The Producers,1967,Mel Brooks,,,63462
Bomb,Bomb,2005,Alister Grierson,,,466435
Barbarian Queen II: The Empress Strikes Back ,Barbarian Queen II: The Empress Strikes Back ,1989,Joe Finley,,,103768
Barbarian Queen,Barbarian Queen,1985,Héctor Olivera,,,88771
Love Rules,Love Rules,2004,Steven Robman,,,404388
Karla,Karla,2006,Joel Bender,,,424938
Die Hard 4.0,Live Free or Die Hard,2007,Len Wiseman,,,337978
Evan den allsmäktige,Evan Almighty,2007,Tom Shadyac,,,413099
En obekväm sanning,An Inconvenient Truth,2006,Davis Guggenheim,,,497116
En förtrollad romans,Bewitched,2005,Nora Ephron,,,374536
Breaking the Cycle,Breaking the Cycle,2002,Dominick Brascia,,,363485
The Planet,The Planet,2006,"Michael Stenberg, Linus Torell, Johan Söderberg",,,950758
SSI: Sex Squad Investigation,SSI: Sex Squad Investigation,2006,Thomas J Moose,,,494270
Vampire Vixens,Vampire Vixens,2003,John Bacchus,,,350279
TMNT,TMNT,2007,Kevin Munroe,,,453556
Sista sommaren,On Golden Pond,1981,Mark Rydell,,,82846
Twisted,Twisted,2004,Philip Kaufman,,,315297
Josie and the Pussycats,Josie and the Pussycats,2001,"Deborah Kaplan, Harry Elfont",,,236348
Black Sheep,Black Sheep,2006,Jonathan King,,,779982
Attack Force,Attack Force,2006,Michael Keusch,,,493424
Heroic Duo,Shuang xiong,2003,Benny Chan Muk-sing,,,379985
Den galna professorn 2,The Nutty Professor II - The Klumps,2000,Peter Segal,,,144528
Häftig och begeistrad,Heftig & Begeistret,2001,Knut Erik Jensen,,,276189
The Other Side,Drugaya storona,1994,Michail Aldasjin,,,478361
Vagabonden,The Vagabond,1916,Charles Chaplin,,,7507
Marie Antoinette,Marie Antoinette,2006,Sofia Coppola,,,422720
Arn - Tempelriddaren,Arn - Tempelriddaren,2007,Peter Flinth,,,837106
Gone,Gone,2007,Ringan Ledwidge,,,482374
Ha en SHREKtigt god jul,Shrek the Halls,2007,Gary Trousdale,,,897387
Dead or Alive,DOA: Dead or Alive,2006,Corey Yuen,,,398913
Rise of the Undead,Rise of the Undead,2005,"Jason Horton, Shannon Hubbell",,,453540
Children Shouldn't Play with Dead Things,Children Shouldn't Play with Dead Things,1972,Bob Clark,,,68370
Jag - ett monster,Countess Dracula,1971,Peter Sasdy,,,65580
Dracula's Widow,Dracula's Widow,1989,Christopher Coppola,,,97230
Ondska bortom alla gränser,Deranged,1974,"Jeff Gillen, Alan Ormsby",,,71408
12 Days of Terror,12 Days of Terror,2004,Jack Sholder,,,373653
Hairspray,Hairspray,2007,Adam Shankman,,,427327
Harsh Times,Harsh Times,2005,David Ayer,,,433387
Supersugen,Superbad,2007,Greg Mottola,,,829482
The Tale of How,The Tale of How,2006,The Black Heart Gang,,,
The Black Glove,The Black Glove,1997,Maria Beatty,,,305306
Enigma,Enigma,2001,Michael Apted,,,157583
På smällen,Knocked Up,2007,Judd Apatow,,,478311
The Number 23,The Number 23,2007,Joel Schumacher,,,481369
Harry Potter och Fenixorden,Harry Potter and the Order of the Phoenix,2007,David Yates,,,373889
Zodiac,Zodiac,2007,David Fincher,,,443706
Jan Långben bland indianer,Californy 'er Bust,1945,Jack Kinney,,,37569
Jan Långben lär sig boxas,The Art of Self Defense,1941,Jack Kinney,,,33355
Jan Långben på safari,African Diary,1945,Jack Kinney,,,37500
Hotel Chevalier,Hotel Chevalier,2007,Wes Anderson,,,1094249
Törnen,Thorns,2004,Toby Angwin,,,
Palace Hotell,Palace Hotell,2007,Ulric Bellman,,,
Babel,Babel,2006,Alejandro González Iñárritu,,,449467
Skinwalkers,Skinwalkers,2006,James Isaac,,,461703
Bigfoot och Hendersons,Harry and the Hendersons,1987,William Dear,,,93148
Dödlig skörd,The Wicker Man,1973,Robin Hardy,,,70917
Vegas Baby,Bachelor Party Vegas,2006,Eric Bernt,,,432373
The Queen,The Queen,2006,Stephen Frears,,,436697
See No Evil,See No Evil,2006,Gregory Dark,,,437179
Bio-Zombie,Sun faa sau si,1998,Wilson Yip,,,277605
Dead Meat,Dead Meat,2004,Conor McMahon,,,369359
Stardust,Stardust,2007,Matthew Vaughn,,,486655
Musse Pigg och hans vänner firar jul,Mickey's Once Upon a Christmas,1999,"Alex Mann, Jun Falkenstein, Bradley Raymond, Toby Shelton, Bill Speers",,,238414
Familjen Robinson,Meet the Robinsons,2007,Stephen J Anderson,,,396555
Häxor,The Witches,1990,Nicolas Roeg,,,100944
Sexy American Idle,Sexy American Idle,2003,John Paul Fedele,,,365743
City of Rott,City of Rott,2006,Frank Sudol,,,839762
X Is Y,X Is Y,1990,Richard Kern,,,100965
1408,1408,2007,Mikael Håfström,,,450385
The Pet,The Pet,2006,D Stevens,,,825728
Blazing Stewardesses,Blazing Stewardesses,1975,Al Adamson,,,71231
Råttatouille,Ratatouille,2007,"Brad Bird, Jan Pinkava",,,382932
Peluca,Peluca,2003,Jared Hess,,,398259
Nacho Libre,Nacho Libre,2006,Jared Hess,,,457510
Hans hemliga liv på nätet,Cyber Seduction: His Secret Life,2005,Tom McLoughlin,,,457270
Astronauter,Astronauts,2005,Matthew Walker,,,
Planet Terror,Planet Terror,2007,Robert Rodriguez,,,1077258
Vänskap till döds,Carolina Moon,2007,Stephen Tolkin,,,840787
Hostel 2,Hostel: Part II,2007,Eli Roth,,,498353
Interstella 5555,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem,2003,"Leiji Matsumoto, Kazuhisa Takenôchi",,,368667
Disturbia,Disturbia,2007,D J Caruso,,,486822
The Marine,The Marine,2006,John Bonito,,,419946
Simpsons - Filmen,The Simpsons Movie,2007,David Silverman,,,462538
The Holiday,The Holiday,2006,Nancy Meyers,,,457939
Biocrisis,Biocrisis,2002,Tomas Moren,,,
This Is England,This Is England,2006,Shane Meadows,,,480025
Unrest,Unrest,2006,Jason Todd Ipson,,,453533
Pappa Bom,Pappa Bom,1949,Lars-Eric Kjellgren,,,41730
Trubbel i Sagoland,Happily N'Ever After,2007,Paul J Bolger,,,308353
Death Proof,Death Proof,2007,Quentin Tarantino,,,1028528
Gladiator Eroticvs: The Lesbian Warriors,Gladiator Eroticvs: The Lesbian Warriors,2001,John Bacchus,,,256056
Bikini Girls on Dinosaur Planet,Bikini Girls on Dinosaur Planet,2005,William Hellfire,,,447606
Emanuelle and the Last Cannibals,Emanuelle e gli ultimi cannibali,1977,Joe D\'Amato,,,75984
Inte alla hästar i stallet,Inte alla hästar i stallet,2007,"Richard Jarnhed, Jamal Aboudrar",,,
Skjut mig,Skjut mig,2006,Anna Hylander,,,-1
Djävulsmasken,La maschera del demonio,1960,Mario Bava,,,54067
Djävulen bär Prada,The Devil Wears Prada,2006,David Frankel,,,458352
Tomatkriget,Attack of the Killer Tomatoes,1978,John De Bello,,,80391
Tull och tyll,The Toll Collector,2003,Rachel Johnson,,,351852
Pip,Birdcalls,2006,Malcolm Sutherland,,,
Sunshine,Sunshine,2007,Danny Boyle,,,448134
Canhead,Canhead,1996,Timothy Hittle,,,115817
Adam,Adam,1991,Peter Lord,,,101270
Creature Comforts,Creature Comforts,1989,Nick Park,,,99317
The Host,Gwoemul,2006,Bong Joon-ho,,,468492
Evil Toons,Evil Toons,1992,Fred Olen Ray,,,99524
Darling,Darling,2007,Johan Kling,,,875581
Linas kvällsbok,Linas kvällsbok,2007,Hella Joof,,,982893
Stolen Hearts,Two if by Sea,1996,Bill Bennet,,,118002
Free Jimmy,Slipp Jimmy fri,2006,Christopher Nielsen,,,298337
28 veckor senare,28 Weeks Later,2007,Juan Carlos Fresnadillo,,,463854
The Tripper,The Tripper,2006,David Arquette,,,760187
Blades of Glory,Blades of Glory,2007,"Josh Gordon, Will Speck",,,445934
Lady in the Water,Lady in the Water,2006,M Night Shyamalan,,,452637
Ghost Rider,Ghost Rider,2007,Mark Steven Johnson,,,259324
Letters from Iwo Jima,Letters from Iwo Jima,2006,Clint Eastwood,,,498380
Fantastiska fyran och silversurfaren,4: Rise of the Silver Surfer,2007,Tim Story,,,486576
Rosa - The Movie,Rosa - The Movie,2007,Manne Lindwall,,,997260
Shooter,Shooter,2007,Antoine Fuqua,,,822854
American Pie 2,American Pie 2,2001,James B Rogers,,,252866
Pathfinder,Pathfinder,2007,Marcus Nispel,,,446013
Spider-Man 3,Spider-Man 3,2007,Sam Raimi,,,413300
Hot Fuzz,Hot Fuzz,2007,Edgar Wright,,,425112
Trollkarlen från Oz,The Wizard of Oz,1939,Victor Fleming,,,32138
Les petits hommes vieux,Les petits hommes vieux,2005,Yann Chayia,,,450478
Transformers,Transformers,2007,Michael Bay,,,418279
Underbara älskade,Underbara älskade,2006,Johan Brisinger,,,836710
Erotic Survivor,Erotic Survivor,2001,John Bacchus,,,259297
Allt om min buske,Allt om min buske,2007,Martina Bigert,,,
Jag är Dina,I Am Dina,2002,Ole Bornedal,,,281924
Ond aning,Premonition,2007,Mennan Yapo,,,477071
25th Hour,25th Hour,2002,Spike Lee,,,307901
Det man lovar,Promis juré,2004,"Tanoa Despland, Pauline Karli Gygax",,,796831
Wishmaster,Wishmaster,1997,Robert Kurtzman,,,120524
Spolad baklänges,Flowers for the Lady,2000,Sven Hain,,,
Pirates of the Caribbean - Vid världens ände,Pirates of the Caribbean: At Worlds End,2007,Gore Verbinski,,,449088
Blade II,Blade II,2002,Guillermo del Toro,,,187738
"Exhausted: John C. Holmes, the Real Story","Exhausted: John C. Holmes, the Real Story",1981,Julia St Vincent,,,130671
Thinking XXX,Thinking XXX,2004,Timothy Greenfield-Sanders,,,438492
Arthur och Minimojerna,Arthur et les Minimoys,2006,Luc Besson,,,344854
Dorotea i dödsriket,Dorotea i dödsriket,2006,Kati Mets,,,
Maskinen,The Mangler,1995,Tobe Hooper,,,113762
Stone Cold,Stone Cold,1991,Craig R Baxley,,,102984
Nattsim,Nightswimming ,2003,Manuela Mancini,,,450465
Spindlarna,The Giant Spider Invasion,1975,Bill Rebane,,,73043
Krypande hot,"Slugs, muerte viscosa",1988,Juan Piquer Simón,,,93995
Bachi: The Curse,Bachi: The Curse,2004,Hank Braxtan,,,
Artsy Fartsy,Artsy Fartsy,2004,Hank Braxtan,,,
Game Over!,Game Over!,2004,Hank Braxtan,,,
CPT Wedley: BN Disciplinator,CPT Wedley: BN Disciplinator,2004,Hank Braxtan,,,
Avalanche VS. Red Wings,Avalanche VS. Red Wings,2004,Hank Braxtan,,,-1
SuicideGirls: The First Tour,SuicideGirls: The First Tour,2005,Mike Marshall,,,481630
SuicideGirls: Italian Villa,SuicideGirls: Italian Villa,2006,Mike Marshall,,,955841
Net Stab 2.0,Net Stab 2.0,2004,Hank Braxtan,,,
A Real Hero,A Real Hero,2003,Hank Braxtan,,,
Epic Movie,Epic Movie,2007,"Jason Friedberg, Aaron Seltzer",,,799949
Irresistible,Irresistible,2006,Ann Turner,,,448564
Stranger Than Fiction,Stranger Than Fiction,2006,Marc Forster,,,420223
Efter bröllopet,Efter brylluppet,2006,Susanne Bier,,,457655
7:35 in the Morning,7:35 de la Mañana,2003,Nacho Vigalondo,,,406501
Pulse,Kaïro,2001,Kiyoshi Kurosawa,,,286751
Pingvinresan,La Marche de l'empereur,2005,Luc Jacquet,,,428803
Mr Beans semester,Mr. Bean's Holiday,2007,Steve Bendelack,,,453451
Felicia,Felicia,2006,Alain Darborg,,,
Göta Kanal 2 - Kanalkampen,Göta Kanal 2 - Kanalkampen,2006,Pelle Seth,,,756654
Elina - Som om jag inte fanns,Elina - Som om jag inte fanns,2002,Klaus Härö,,,330911
Out of Time,Out of Time,2003,Carl Franklin,,,313443
Legally Blonde 2,"Legally Blonde 2: Red, White & Blonde",2003,Charles Herman-Wurmfeld,,,333780
Alpha Dog,Alpha Dog,2006,Nick Cassavetes,,,426883
Habitat,Habitat,2006,"Lars Arrhenius, Johannes Müntzing",,,
Människorna,Människorna,2007,Jesper Klevenås,,,
Byhövdingen och jag,Byhövdingen och jag,2007,Per-Åke Holmquist,,,
Fröken Sverige,Fröken Sverige,2004,Tova Magnusson-Norling,,,387233
Tårar blir musik,Tårar blir musik,2007,Elin Övegaard,,,
Den stora människans storhet,Den stora människans storhet,2003,"Stefan Hill, Tommy Forsberg, Samuel Palmqvist, Gustav Thorén, Mika Wiborgh",,,
Illegal Aliens VS Predator,Illegal Aliens VS Predator,2006,Hank Braxtan,,,
Housing Shortage,Housing Shortage,2007,Patrik Forssel,,,
Lyfta skrot,Pumping Iron,1977,"Robert Fiore, George Butler",,,76578
Stand Tall,Stand Tall,1997,Mark Nalley,,,120195
Seraphim Falls,Seraphim Falls,2006,David Von Ancken,,,479537
Eye Myth,Eye Myth,1967,Stan Brakhage,,,68560
Allegretto,Allegretto,1936,Oskar Fischinger,,,27275
Delivery,Delivery,2005,Till Nowak,,,756639
Barcode,Barcode,2002,Adriaan Lokman,,,209930
En berättelse från Stormen Gudrun,En berättelse från Stormen Gudrun,2006,"Nils Kim Gustafsson, Martin Klevegård",,,
Elf,Elf,2003,Jon Favreau,,,319343
Bron till Terabitia,Bridge to Terabithia,2007,Gabor Csupo,,,398808
The Fountain,The Fountain,2006,Darren Aronofsky,,,414993
Dragon X,Dragon X,2006,Jenny Jansdotter,,,
Hästmannen,Hästmannen,2006,"Peter Gerdehag, Tell Aulin",,,1571575
Parfymen: Berättelsen om en mördare,Perfume: The Story of a Murderer,2006,Tom Tykwer,,,396171
Ett anständigt liv,Ett anständigt liv,1979,Stefan Jarl,,,78784
John Tucker Must Die,John Tucker Must Die,2006,Betty Thomas,,,455967
När mörkret faller,När mörkret faller,2006,Anders Nilsson,,,
Half Nelson,Half Nelson,2006,Ryan Fleck,,,468489
Rasmus på luffen,Rasmus på luffen,1981,Olle Hellbom,,,82973
Sublime,Sublime,2007,Tony Krantz,,,822858
Bortspolad,Flushed Away,2006,"David Bowers, Sam Fell",,,424095
Cronos,Cronos,1993,Guillermo del Toro,,,104029
Rocky Balboa,Rocky Balboa,2006,Sylvester Stallone,,,479143
300,300,2006,Zack Snyder,,,416449
Eragon,Eragon,2006,Stefen Fangmeier,,,449010
Little Miss Sunshine,Little Miss Sunshine,2006,"Jonathan Dayton, Valerie Faris",,,449059
Förortsungar,Förortsungar,2006,"Catti Edfeldt, Ylva Gustavsson",,,882771
Natt på museet,Night at the Museum,2006,Shawn Levy,,,477347
Min hemlighets blomma,La Flor de mi secreto,1995,Pedro Almodóvar,,,113083
The Guardian,The Guardian,2006,Andrew Davis,,,406816
Ett stycke Sverige,Ett stycke Sverige,2007,Bengt Jägerskog,,,
Säg att du älskar mig,Säg att du älskar mig,2006,Daniel Fridell,,,803080
Hotel Rwanda,Hotel Rwanda,2004,Terry George,,,395169
Tala med henne,Hable con ella,2002,Pedro Almodóvar,,,287467
Paradiset,Paradiset,2007,Jerzy Sladkowski,,,
Thank You for Smoking,Thank You for Smoking,2005,Jason Reitman,,,427944
"Bind mig, älska mig",¡Atamé!,1990,Pedro Almodóvar,,,101026
The Devil's Backbone,El Espinazo del Diablo,2001,Guillermo del Toro,,,256009
Flags of Our Fathers,Flags of Our Fathers,2006,Clint Eastwood,,,418689
Sherrybaby,Sherrybaby,2006,Laurie Collyer,,,423169
Blood Diamond,Blood Diamond,2006,Edward Zwick,,,450259
Mission to Mars,Mission to Mars,2000,Brian De Palma,,,183523
Tenacious D - världens bästa rockband,Tenacious D in 'The Pick of Destiny',2006,Liam Lynch,,,365830
Waterloo,Waterloo,1970,Sergej Bondartjuk,,,66549
Farväl Falkenberg,Farväl Falkenberg,2006,Jesper Ganslandt,,,855805
Dagboken  Jag sökte dig och fann mitt hjärta,The Notebook,2004,Nick Cassavetes,,,332280
Köttets lustar,Carne trémula,1997,Pedro Almodóvar,,,118819
Gladiatress,Gladiatress,2004,Brian Grant,,,339072
"The Execution of Mary, Queen of Scots","The Execution of Mary, Queen of Scots",1895,Alfred Clark,,,132134
Airheads,Airheads,1994,Michael Lehmann,,,109068
Kuolleiden talvi,Kuolleiden talvi,2005,Markus Heiskanen,,,477748
Zombie Movie,Zombie Movie,2005,"Michael J Asquith, Ben Stenbeck",,,
The Silent City,The Silent City,2006,Ruairi Robinson,,,947076
Happy Feet,Happy Feet,2006,George Miller (II),,,366548
Svensson Svensson - filmen,Svensson Svensson - filmen,1997,Björn Gunnarsson,,,120253
Jesus Camp,Jesus Camp,2006,"Heidi Ewing, Rachel Grady",,,486358
Bergets grymma hemlighet,La Montagna del dio cannibale,1978,Sergio Martino,,,77945
Pieces of April,Pieces of April,2003,Peter Hedges,,,311648
Rymdens vampyrer,Lifeforce,1985,Tobe Hooper,,,89489
Shaft,Shaft,2000,John Singleton,,,162650
Children of Men,Children of Men,2006,Alfonso Cuarón,,,206634
Adrift,Open Water 2,2006,Hans Horn,,,470055
Pans labyrint,El Laberinto del Fauno,2006,Guillermo del Toro,,,457430
Crank,Crank,2006,"Mark Neveldine, Brian Taylor",,,479884
Minnie the Moocher,Minnie the Moocher,1932,Dave Fleischer,,,23227
Plankan,The Plank,1979,Eric Sykes,,,79722
Girl Next Door,The Girl Next Door,2004,Luke Greenfield,,,265208
Apocalypto,Apocalypto,2006,Mel Gibson,,,472043
Primiti Too Taa,Primiti Too Taa,1988,"Ed Ackerman, Collin Morton",,,95901
Humorous Phases of Funny Faces ,Humorous Phases of Funny Faces ,1906,J Stuart Blackton,,,554
The Killing of an Egg,The Killing of an Egg,1977,Paul Driessen,,,
Mona Lisa Descending a Staircase ,Mona Lisa Descending a Staircase ,1992,Joan C Gratz,,,104908
Poumse,Poumse,1990,Michail Aldasjin,,,
The Bead Game,The Bead Game,1977,Ishu Patel,,,75732
Strings,Strings,1991,Wendy Tilby,,,102997
A Is for Autism,A Is for Autism,1992,Tim Webb,,,205719
The End of the World in Four Seasons,The End of the World in Four Seasons,1995,Paul Driessen,,,112957
Anchorman,Anchorman: The Legend of Ron Burgundy,2004,Adam McKay,,,357413
The Departed,The Departed,2006,Martin Scorsese,,,407887
Salome,Salome,1973,Clive Barker,,,70624
Stay Alive,Stay Alive,2006,William Brent Bell,,,441796
Myrmobbaren,The Ant Bully,2006,John A Davis,,,429589
The Prestige,The Prestige,2006,Christopher Nolan,,,482571
Illusionisten,The Illusionist,2006,Neil Burger,,,443543
Goodnight Norma... Goodnight Milton...,Goodnight Norma... Goodnight Milton...,1988,John Schnall,,,422337
The Three Blind Mice,The Three Blind Mice,1945,"George Dunning, Bob Verrall, Grant Munro",,,270693
Jolly Roger,Jolly Roger,1998,Mark Baker,,,188723
Ex Libris,Ex Libris,1982,Garik Seko,,,97310
"Tut, Pip, Plong och Bom",Toot Whistle Plunk and Boom,1953,"Ward Kimball, Charles A Nichols",,,46442
Self Service,Self Service,1975,Bruno Bozzetto,,,454633
The Evil Cameraman,The Evil Cameraman,1990,Richard Kern,,,99522
Fingered,Fingered,1986,Richard Kern,,,91052
Pierce,Pierce,1990,Richard Kern,,,100364
Anfall från Mars,Invaders from Mars ,1953,William Cameron Menzies,,,45917
Sanningen om Långt ner i halsen,Inside Deep Throat,2005,"Fenton Bailey, Randy Barbato",,,418753
Talladega Nights,Talladega Nights: The Ballad of Ricky Bobby,2006,Adam McKay,,,415306
Boog & Elliott - Vilda vänner,Open Season,2006,"Roger Allers, Jill Culton, Anthony Stacchi",,,400717
7 Miljonärer,7 Miljonärer,2006,Michael Hjorth,,,464784
Click,Click,2006,Frank Coraci,,,389860
Offside,Offside,2006,Mårten Klingberg,,,774755
Järn 3:an,Bin-Jip,2004,Kim Ki-duk,,,423866
Thriller  en grym film,Thriller  en grym film,1974,Bo Arne Vibenius,,,72285
Dick Tracy,Dick Tracy,1990,Warren Beatty,,,99422
The New World,The New World,2005,Terrence Malick,,,402399
Fearless,Hua Yuan Jia,2006,Ronny Yu,,,446059
"Elvira, mörkrets härskarinna","Elvira, Mistress of the Dark",1988,James Signorelli,,,95088
Snakes on a Plane,Snakes on a Plane,2006,David R Ellis,,,417148
Ultraviolet,Ultraviolet,2006,Kurt Wimmer,,,370032
Open Range,Open Range,2003,Kevin Costner,,,316356
Severance - Teambuilding,Severance,2006,Christopher Smith,,,464196
Pervert!,Pervert!,2005,Jonathan Yudis,,,460898
Asterix och Vikingarna,Asterix and the Vikings,2006,"Stefan Fjeldmark, Jesper Møller",,,478557
Asterix & Obelix möter Caesar,Astérix et Obélix contre César,1999,Claude Zidi,,,133385
Moulin Rouge,Moulin Rouge!,2001,Baz Luhrmann,,,203009
Bilar,Cars,2006,"John Lasseter, Joe Ranft",,,317219
Åter till Cold Mountain,Cold Mountain,2003,Anthony Minghella,,,159365
Blödaren,Blödaren,1983,Hans Hatwig,,,302356
Armbryterskan från Ensamheten,Armbryterskan från Ensamheten,2004,"Lisa Munthe, Helen Ahlsson",,,443723
Dom kallar oss mods,Dom kallar oss mods,1968,"Stefan Jarl, Jan Lindkvist",,,62900
No Time For Nuts,No Time For Nuts,2006,"Chris Renaud, Mike Thurmeier",,,902999
The Do-It-Yourself Cartoon Kit,The Do-It-Yourself Cartoon Kit,1961,Bob Godfrey,,,145744
The Man with the Beautiful Eyes,The Man with the Beautiful Eyes,1999,Jonathan Hodgson,,,247500
Dog,Dog,2001,Suzie Templeton,,,296593
Anna & Bella,Anna & Bella,1984,Børge Ring,,,88725
The Apprentice,The Apprentice,1991,Richard Condie,,,203310
Chromophobia,Chromophobia,1966,Raoul Servais,,,208049
Estória do Gato e da Lua ,Estória do Gato e da Lua,1994,Pedro Serrazina,,,109748
Neighbours,Neighbours,1952,Norman McLaren,,,44958
Wunderwerk,Wunderwerk,2002,Michael Siebel,,,
Charade,Charade,1984,John Minnis,,,87040
Bob's Birthday,Bob's Birthday,1993,"David Fine, Alison Snowden",,,106446
Exciting Life of a Tree,Exciting Life of a Tree,1999,Bill Plympton,,,206728
Annie & Boo,Annie & Boo,2003,Johannes Weiland,,,428229
9,9,2005,Shane Acker,,,443424
The Chain,The Chain,1997,Phil Mulloy,,,356461
The Metamorphosis of Mr Samsa,The Metamorphosis of Mr Samsa,1977,Caroline Leaf,,,76389
Beerfest,Beerfest,2006,Jay Chandrasekhar,,,486551
Höga klackar,Tacones Lejanos,1991,Pedro Almodóvar,,,103030
Det sociala arvet,Det sociala arvet,1993,Stefan Jarl,,,108175
Fast eller flytande,Fast eller flytande,2006,"Ewa Cederstam, Åsa Maria Bengtsson",,,
Undervattensforskarens hemlighet,Undervattensforskarens hemlighet,2006,Martin Eriksson,,,
Bondens tid på jorden,Bondens tid på jorden,2003,Peter Gerdehag,,,
Bland annat rosor,Bland annat rosor,2004,"Malin Skjöld, Mårten Nilsson",,,
Snapphanarnas krig,Snapphanarnas krig,2006,Mikael Agaton,,,
Big Mike,Big Mike,2004,"Hanna Heilborn, Håkan Berthas",,,
Älvens röst,Älvens röst,2006,"Johan Bergström, Bo Harringer",,,
Moderna tider,Modern Times,1936,Charles Chaplin,,,27977
Falla vackert,Falla vackert,2004,Lena Hanno Clyne,,,400425
Drowning Mona ,Drowning Mona ,2000,Nick Gomez (I),,,186045
Beck - Pensionat Pärlan,Beck - Pensionat Pärlan,1998,Kjell Sundvall,,,147878
Bring It On,Bring It On,2000,Peyton Reed,,,204946
Swordfish,Swordfish,2001,Dominic Sena,,,244244
Fisher King,The Fisher King,1991,Terry Gilliam,,,101889
V - Miniserien,V,1983,Kenneth Johnson,,,85106
V - Den sista striden,V: The Final Battle,1984,Richard T Heffron,,,86823
Herrefolket,Education for Death,1943,Clyde Geronimi,,,35836
You Killed Me First,You Killed Me First,1985,Richard Kern,,,190157
Stray Dogs,Stray Dogs,1985,Richard Kern,,,90087
Kung Pow: Enter the Fist,Kung Pow: Enter the Fist,2002,Steve Oedekerk,,,240468
Leksakernas julafton,The Christmas Toy,1986,Eric Till,,,99263
Slither,Slither,2006,James Gunn (II),,,439815
Pump Up the Volume ,Pump Up the Volume ,1990,Allan Moyle,,,100436
Casino Royale,Casino Royale,2006,Martin Campbell,,,381061
Stewie Griffin: The Untold Story!,Stewie Griffin: The Untold Story!,2005,Pete Michels,,,385690
Stuff,Stuff,1992,"Johnny Depp, Gibson Haynes",,,811090
Glappet,Glappet,1997,Peter Schildt,,,123347
