RSH - RadioShack Corp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annual Data,,,,,,,,,,,,,,,,,Quarterly Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiscal Period,Dec99,Dec00,Dec01,Dec02,Dec03,Dec04,Dec05,Dec06,Dec07,Dec08,Dec09,Dec10,Dec11,Dec12,Dec13,TTM/current,	,Mar99,Jun99,Sep99,Dec99,Mar00,Jun00,Sep00,Dec00,Mar01,Jun01,Sep01,Dec01,Mar02,Jun02,Sep02,Dec02,Mar03,Jun03,Sep03,Dec03,Mar04,Jun04,Sep04,Dec04,Mar05,Jun05,Sep05,Dec05,Mar06,Jun06,Sep06,Dec06,Mar07,Jun07,Sep07,Dec07,Mar08,Jun08,Sep08,Dec08,Mar09,Jun09,Sep09,Dec09,Mar10,Jun10,Sep10,Dec10,Mar11,Jun11,Sep11,Dec11,Mar12,Jun12,Sep12,Dec12,Mar13,Jun13,Sep13,Dec13
Accumulated other comprehensive income (loss),-21.3,-12.5,-5,-0.5,-0.3,-0.3,0.3,-1.6,-5.3,-7,-6.5,-4.3,-11.9,-7.5,-6.1,-6.1,		,0,0,-27.3,-21.3,-19.3,-16.9,-14.6,-12.5,-10.4,-8.1,-6.4,-5,-3.5,-2.4,-1.5,-0.5,-0.5,-0.6,-0.4,-0.3,-0.3,-0.4,-0.5,-0.3,-0.9,0,0.1,0.3,-0.4,-0.4,-1.2,-1.6,-2,-1.9,-1516.7,-5.3,-5.3,-5.5,-5.5,-7,-7,-4.5,-6.9,-6.5,-3,-6.3,-5,-4.3,-2.3,-0.9,-11.1,-11.9,-6.3,-9.2,-6.7,-7.5,-3.2,-6.8,-7.6,-6.1
Additional Paid-In Capital,82.4,116.1,138.8,70,75.2,82.7,87.7,92.6,108.4,152.5,161.8,147.3,137.1,133.3,123.6,123.6,		,0,0,63.2,82.4,95.9,102.9,111.5,116.1,125.8,129.7,143,138.8,139,140.4,139.8,70,68.4,67.8,68.5,75.2,80.5,80.2,80.2,82.7,85.6,83,82.6,87.7,92.9,89.9,90.8,92.6,98.3,103.4,105.4,108.4,110.9,114.1,103.7,152.5,153.8,156.5,159.3,161.8,163.7,165.4,75.7,147.3,142.9,142,142.1,137.1,134.6,135.5,137.5,133.3,132.8,134.2,124.4,123.6
Treasury Stock,-892.3,-1189.6,-1443.5,-1579.9,-707.2,-859.4,-1431.6,-1409.1,-1516.5,-1625.9,-1621.9,-949,-1043,-1033.9,-1017.7,-1017.7,		,0,0,-716.5,-892.3,-1097.5,-1147,-1149.8,-1189.6,-1198.4,-1252.4,-1347.9,-1443.5,-1497.1,-1570.9,-1644.3,-1579.9,-1630,-1687.8,-1751.1,-707.2,-742.3,-789.6,-834.8,-859.4,-922.6,-966.6,-1462.3,-1431.6,-1422.2,-1412.7,-1410,-1409.1,-1418.4,-1358.9,-1.9,-1516.5,-1515.9,-1515.3,-1626.3,-1625.9,-1624.6,-1623.4,-1622.9,-1621.9,-1617.9,-1617.6,-1825.1,-949,-942.3,-1041.6,-1040.3,-1043,-1039.3,-1038.9,-1038.5,-1033.9,-1031.7,-1031.2,-1020.8,-1017.7
Total Equity,830.7,880.3,778.0999999999999,728.1000000000001,769.3000000000002,922.0999999999999,588.8,653.8,769.6999999999998,860.8,1048.3000000000002,842.5,753.3,598.6999999999998,206.4000000000001,206.4000000000001,		,839.5,860.8999999999999,876.2999999999997,830.7,696.4000000000001,716.3000000000002,783.3000000000002,880.3,916.1000000000001,895.4999999999998,844.7999999999997,778.0999999999999,779.5,754.4000000000001,722.0999999999999,728.1000000000001,732.9999999999998,732.0000000000002,726.7000000000003,769.3000000000002,807.8,828.4000000000001,813.5000000000002,922.0999999999999,916.1999999999998,922.8,501.5000000000002,588.8,611.0999999999999,614.4000000000001,600.9000000000001,653.8,699.5,811.2,701.5999999999999,769.6999999999998,811.5999999999999,856.5999999999999,785.4000000000001,860.8,906.5,961.7,1000,1048.3000000000002,1107.8,1159.4999999999998,909.5999999999999,842.5,881.9000000000001,808.0000000000002,799.5,753.3,739.7,704.5999999999999,662.4000000000001,598.6999999999998,561.4000000000001,506.5999999999999,394,206.4000000000001
  Net Income,297.9,368,166.7,263.4,298.5,337.2,267,73.4,236.8,189.4,205,206.1,72.2,-139.4,-400.2,-400.20000000000005,		,55.9,61.6,59.8,120.6,69.7,75.4,77.1,145.8,46.5,41.2,43.8,35.2,57.6,51.8,44.9,109.1,56.6,57.5,57.1,127.3,68.3,68.3,69.7,130.9,55,52.3,108.5,51.2,8.4,-3.2,-16.3,84.5,42.5,47,46.3,101,38.8,41.4,50.2,59,43.1,48.8,37.4,75.7,50.1,53,46,57,35.1,24.9,0.3,11.9,-8,-21,-47.1,-63.3,-43.3,-53.1,-112.4,-191.4
  Cumulative Effect Of Accounting Change,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Net Foreign Currency Exchange Gain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Income From Continuing Operations,297.9,368,166.7,263.4,298.5,337.2,267,73.4,236.8,189.4,205,206.1,72.2,-139.4,-400.2,-400.20000000000005,		,55.9,61.6,59.8,120.6,69.7,75.4,77.1,145.8,46.5,41.2,43.8,35.2,57.6,51.8,44.9,109.1,56.6,57.5,57.1,127.3,68.3,68.3,69.7,130.9,55,52.3,108.5,51.2,8.4,-3.2,-16.3,84.5,42.5,47,46.3,101,38.8,41.4,50.2,59,43.1,48.8,37.4,75.7,50.1,53,46,155.9,35.1,24.9,0.3,72.2,-8,-21,-47.1,-63.3,-43.3,-53.1,-112.4,-191.4
"Depreciation, Depletion and Amortization",90.2,107.3,108.3,94.7,92,101.4,123.8,128.2,112.7,99.1,92.9,84.2,83.1,80.7,71.6,71.60000000000001,		,21,21.3,23.1,24.8,25.7,26.2,26.7,28.7,27.7,27.5,27.4,25.7,24.6,24.3,23,22.8,22.6,22.9,23.3,23.2,24.1,24.8,24.4,28.1,29.5,30.4,31.7,32.2,32,33.6,31.9,30.7,29.2,29.1,27.8,26.6,25,24.6,24.6,24.9,24.1,23.3,22.9,22.6,22.1,21.3,20.4,20.4,20.2,20.4,21.1,21.4,20.9,20.1,19.7,20,20,17.7,17.2,16.7
  Change In Receivables,-29.3,-149,165.8,68.2,17.2,-53,-68.2,61.8,-0.7,15.2,-79.6,-39.9,15.6,-93.9,241.9,241.89999999999998,		,28,-17.9,-11.4,-28,58.3,11.8,-84.7,-134.4,113.4,39.3,-8.8,21.9,59.3,64.6,-54.9,-0.8,41.6,27.1,8.9,-60.4,40.5,-19.8,4,-77.7,48.8,27.5,-63.1,-81.4,43.8,26.2,27.6,-35.8,79.1,0.2,-29.1,-50.9,72.8,-8.9,0.8,-49.5,38.5,-0.1,-24.4,-93.6,42.4,-31.4,54.5,-105.4,132,-32.5,27.4,-111.3,124.8,-14.7,-7.3,-196.7,174.7,59.4,18.1,-10.3
  Change In Inventory,52.6,-302.9,213.9,-21.4,202.3,-234.2,38.8,212.8,46.8,93.6,-34.7,-60.4,-24.1,-161.6,105.9,105.9,		,33.3,22.9,-120.7,117.1,-106.2,-79.7,-160.7,43.7,103.3,86.9,-129.5,153.2,118.7,0.5,-288.2,147.6,126.9,33.2,-105.9,148.1,-3.4,-86.1,-176,31.3,47.2,-15.1,-190.9,197.6,4.9,165.2,-83.9,126.6,101.4,38.4,-81.2,-11.8,41.9,32.5,-66.1,85.3,71.2,-7,-153.3,54.4,-8,46.6,-117.7,18.7,-3.9,1.8,-67.3,45.3,16.8,-100,-20.8,-57.6,-16.2,98.7,117.8,-94.4
  Change In Prepaid Assets,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  Change In Payables And Accrued Expense,75.6,63.6,-12.7,71.4,-5,158.7,45.1,-193,-31.3,-165,29.2,-79.8,23,34.7,-4.1,-4.099999999999994,		,-156.5,31.6,116.4,84.1,-51.5,-44.5,69.1,90.5,-161,-35,186.1,-2.8,-103.2,9.9,251.6,-86.9,-146.5,25.2,155,-38.7,-114.2,-5,162.8,115.1,-242.9,-72,180.6,179.4,-358,-60.4,127.1,98.3,-196.9,-6.3,146.3,25.6,-172.3,8.6,45.4,-46.7,-108.3,-20.5,92.5,65.5,-134.6,-38.8,100.9,-7.3,-136.7,16.4,172.8,-29.5,-128.3,98.3,66.4,-1.7,-128.1,-85,77,132
Change In Working Capital,114,-394.5,368.7,120.1,209.3,-136,44.2,84.1,20.1,-64.9,-87.9,-187.3,2.5,-102.9,286.4,286.4,		,-98.7,49.5,-18.8,182,-101.4,-119.4,-193.2,19.5,44.5,91,52.8,180.4,73,77.6,-97.7,67.2,20.9,78.7,54.2,55.5,-82.2,-114.1,-10.6,70.9,-152.8,-48.4,-86.7,332.1,-336,158.9,67.5,193.7,-26.4,36.8,37.4,-27.7,-59.1,30.9,-25.6,-11.1,8.8,-25.4,-93,21.7,-97.2,-30.8,39.7,-99,-1.2,-15.4,132.3,-113.2,26.7,-32.8,6,-102.8,33.4,71.2,201.1,-19.3
Change In DeferredTax,58.6,32.1,-9.4,30.6,51.7,50.2,-76.9,-27.6,16.5,11.7,7.6,12,35.2,68.9,3.9,3.9,		,0,0,0,58.6,0,0,0,32.1,0,0,0,-9.4,0,0,0,30.6,0,0,0,51.7,0,0,0,50.2,0,0,0,-76.9,0,0,0,-27.6,0,0,0,16.5,0.3,0.4,-0.1,11.1,0,-7.4,0,3.9,0,0,0,12,0,0,0,35.2,0,0,0,68.9,0,0,0,3.9
Cash Flow from Discontinued Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash Flow from Others,0.9000000000000554,3.599999999999987,141.50000000000003,12.800000000000061,0.39999999999996305,-0.29999999999999716,4.799999999999969,56.700000000000024,-7.100000000000001,39.300000000000026,28.20000000000001,40,24.900000000000006,49.7,74.1,74.10000000000002,		,1.5000000000000142,7.900000000000013,5.199999999999999,-13.699999999999996,5.700000000000003,7.299999999999997,9.300000000000011,-18.699999999999996,35.8,24.700000000000003,8.199999999999989,72.80000000000001,3.200000000000017,3.299999999999997,9.700000000000003,-3.3999999999999986,3.1999999999999886,6.200000000000003,6.499999999999993,-15.5,6.1000000000000085,3,2.200000000000001,-11.600000000000009,1.700000000000017,1.4000000000000057,0.20000000000000284,1.5000000000000284,13,2.6999999999999886,36.3,4.700000000000024,2.4999999999999964,-6.499999999999986,-0.4999999999999929,-2.600000000000012,2.400000000000003,16.4,5.1,15.400000000000007,10.09999999999999,18,12.900000000000006,-1.7000000000000077,10.399999999999991,13.099999999999998,8.700000000000003,-91.1,6.699999999999993,10.800000000000006,7.799999999999983,-60.69999999999999,8.900000000000002,8.099999999999994,30.900000000000006,1.799999999999983,6.799999999999997,10.299999999999997,6.700000000000017,50.300000000000004
Cash Flow from Operations,561.6,116.5,775.8,521.6,651.9,352.5,362.9,314.8,379,274.6,245.8,155,217.9,-43,35.8,35.79999999999998,		,-20.3,140.3,69.3,372.3,-0.3,-10.5,-80.1,207.4,154.5,184.4,132.2,304.7,158.4,157,-20.1,226.3,103.3,165.3,141.1,242.2,16.3,-18,85.7,268.5,-66.6,35.7,53.7,340.1,-282.6,192,119.4,286,47.8,106.4,111,113.8,7.4,113.7,54.2,99.3,86.1,57.3,-19.8,122.2,-14.6,56.6,114.8,-1.8,60.8,40.7,161.5,-45.1,48.5,-25.6,9.5,-75.4,16.9,46.1,112.6,-139.8
"Purchase Of Property, Plant, Equipment",-102.4,-119.6,-139.2,-106.8,-189.6,-229.4,-170.7,-91,-45.3,-85.6,-81,-80.1,-82.1,-67.8,-42.3,-42.3,		,-21.7,-22.7,-26.8,-31.2,-29.8,-29.4,-32.3,-28.1,-24.4,-37.7,-35.6,-41.5,-16,-18,-42.2,-30.6,-21.4,-26.3,-40.9,-101,-41.3,-61.9,-60.9,-65.3,-38.6,-40.5,-45.4,-46.2,-27.2,-20.2,-25.9,-17.7,-10.7,-11.2,-12.7,-10.7,-14.1,-11.3,-19.6,-40.6,-26.2,-17.7,-18.2,-18.9,-12.3,-13.4,-21,-33.4,-14.5,-27,-21.4,-19.2,-11.2,-16.5,-16.8,-23.3,-5.1,-6.6,-14.9,-15.7
"Sale Of Property, Plant, Equipment",5.6,1.5,17.4,8.6,6.7,2.5,226,11.1,1.5,0.9,0,0,0,0,6.5,6.5,		,0.8,1.8,0.3,2.7,0.5,0.5,0.2,0.3,0.2,2.9,2.3,12,1,3.1,4.2,0.3,0.1,0,0.2,6.4,0.2,2,0.2,0.1,2.1,0.6,0.1,223.2,0.8,8.6,1.5,0.2,1.3,0,0.1,0.1,0.1,0.2,0.2,0.4,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,0.3,0,0
Purchase Of Business,0,0,0,0,0,0,0,0,0,-42,-0.2,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-42,0,0,0,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sale Of Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Purchase Of Investment,-20,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,67.3,0,-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sale Of Investment,0,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,17.4,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Intangibles Purchase And Sale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash From Discontinued Investing Activities,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash Flow from Investing,-121,-134,-2.3,-99,-188.9,-290.2,39.3,-79.3,-42,-124.3,-80.8,-80,-80.1,-94.2,-78.2,-78.19999999999999,		,-25.6,-41.2,-25.8,-28.4,85.6,-58.9,-32.2,-128.5,-28.3,88.7,-121.2,58.5,-15,-15.7,-37.3,-31,-21.4,-26.4,-38.3,-102.8,-44.6,-60.3,-68.2,-117.1,-40.9,-45.1,-45.6,170.9,-26.6,-11.6,-23.4,-17.7,-9.7,-9.1,-12.5,-10.7,-13.1,-11,-19.4,-80.8,-26.1,-17.7,-18.1,-18.9,-12.3,-13.3,-21,-33.4,-14.5,-27,-21.3,-17.3,-39.2,-14.9,-16.8,-23.3,-1.8,-12.6,-15.5,-48.3
Net Issuance of Stock,-336.3,-342.4,-256.4,-280.3,-234.7,-165.3,47.5,12.2,-127.2,-71.4,0,-398.8,-113.3,0,0,0,		,-48.9,-33.8,-102,-151.6,-229.5,-58.2,-18.6,-36.1,-6.7,-47.6,-98.4,-103.7,-56.2,-107.2,-45.9,-71,-51.7,-55.3,-68.9,-58.8,-39.1,-50.7,-47.5,-28,-55.7,-53.4,-498.9,655.5,7.6,3,1.2,0.4,-25.3,55.9,-157.9,0.1,0,0,-71.6,0.1,0,0,-0.1,0,0,0,0,-398.8,0,-101.4,0,-11.9,0,11.9,0,0,0,0,0,0
Net Issuance of Preferred Stock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,		,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Net Issuance of Debt,38.3,270.7,-114.7,-89.7,0.7,-54.1,-629.9,34.2,-139.3,266.9,-41,7.5,48.5,113.4,-281,-281,		,95,-65,80.1,-71.8,78.2,137.5,130.9,-75.9,-125.3,7.8,8.3,-5.5,-53.4,61.3,-59.7,-37.9,-20,-16,0,36.7,9.7,-8.3,-24.9,-30.6,18.3,24.6,283.4,-956.2,123,-58.5,8.9,-39.2,-21.6,14,-154.3,22.6,-34.7,5.8,378.7,-82.9,-1.6,18,-36.2,-21.2,-10.6,15.8,-5.7,8,-290.1,318.4,-24.2,44.4,-22.2,4.3,41.6,89.7,-115.9,-36.4,-212.7,84
Cash Flow for Dividends,-42.5,-44.7,-43.7,-39.8,-40.8,-39.7,-33.7,-33.9,-32.8,-31.3,-31.3,-26.5,-49.6,-24.9,0,0,		,-10.8,-10.5,-11,-10.2,-11.4,-11.2,-11,-11.1,-11,-11.1,-10.7,-10.9,-0.8,-0.7,-0.7,-37.6,0,0,0,-3.2,0,0,0,-39.7,0,0,0,-33.7,0,0,0,-33.9,0,0,0,-32.8,0,0,0,-31.3,0,0,0,-31.3,0,0,0,-26.5,0,0,0,-49.6,-12.4,-12.5,0,0,0,0,0,0
Other Financing,0,100.00000000000001,-88.00000000000004,32.3,-1.4210854715202004e-14,-1.4210854715202004e-14,-4.263256414560601e-14,-7.105427357601002e-15,0,-9.39999999999996,0.7000000000000064,4,-1.1000000000000014,-7.300000000000004,-32.5,-32.5,		,-3.552713678800501e-15,0,0,-1.7763568394002505e-14,2.3092638912203256e-14,-3.552713678800501e-15,-7.105427357601002e-15,100,-3.552713678800501e-15,5.329070518200751e-15,1.0658141036401503e-14,-87.99999999999999,-4.218847493575595e-15,-2.886579864025407e-15,4.218847493575595e-15,32.29999999999999,0,0,0,-37.599999999999994,7.105427357601002e-15,0,-7.105427357601002e-15,1.4210854715202004e-14,0,-7.105427357601002e-15,0,7.105427357601002e-14,-5.329070518200751e-15,0,-6.661338147750939e-16,0,3.552713678800501e-15,7.105427357601002e-15,2.842170943040401e-14,-7.105427357601002e-15,0,0,-95.6,86.30000000000001,0,0,0.1,0.7000000000000028,1.0999999999999996,0.1999999999999993,-298.90000000000003,301.6,0.6000000000000227,-4.69999999999996,-0.5,3.5,-1.7763568394002505e-15,-11.899999999999999,-5.899999999999999,-1.4000000000000057,0,0,0,-32.5
Cash Flow from Financing,-340.5,-16.4,-502.8,-377.5,-274.8,-259.1,-616.1,12.5,-299.3,154.8,-71.6,-413.8,-115.5,81.2,-313.5,-313.5,		,35.3,-109.3,-32.9,-233.6,-162.7,68.1,101.3,-23.1,-143,-50.9,-100.8,-208.1,-110.4,-46.6,-106.3,-114.2,-71.7,-71.3,-68.9,-62.9,-29.4,-59,-72.4,-98.3,-37.4,-28.8,-215.5,-334.4,130.6,-55.5,10.1,-72.7,-46.9,69.9,-312.2,-10.1,-34.7,5.8,211.5,-27.8,-1.6,18,-36.2,-51.8,-9.5,16,-304.6,-115.7,-289.5,212.3,-24.7,-13.6,-34.6,-8.2,35.7,88.3,-115.9,-36.4,-212.7,51.5
Net Change in Cash,100.1,-33.9,270.7,45.1,188.2,-196.8,-213.9,248,37.7,305.1,93.4,-338.8,22.3,-56,-355.9,-355.9,		,-10.6,-10.2,10.6,110.3,-77.4,-1.3,-11,55.8,-16.8,222.2,-89.8,155.1,33,94.7,-163.7,81.1,10.2,67.6,33.9,76.5,-57.7,-137.3,-54.9,53.1,-144.9,-38.2,-207.4,176.6,-178.6,124.9,106.1,195.6,-8.8,167.2,-213.7,93,-40.4,108.5,246.3,-9.3,58.4,57.6,-74.1,51.5,-36.4,59.3,-210.8,-150.9,-243.2,226,115.5,-76,-25.3,-48.7,28.4,-10.4,-100.8,-2.9,-115.6,-136.6
Free Cash Flow,464.8,-1.5999999999999943,654,423.40000000000003,469,125.6,418.2,234.9,335.2,189.90000000000003,164.8,74.9,135.8,-110.8,0,0,		,-41.2,119.4,42.8,343.8,-29.6,-39.4,-112.19999999999999,179.6,130.3,149.60000000000002,98.89999999999999,275.2,143.4,142.1,-58.1,196,82,139,100.39999999999999,147.6,-24.8,-77.9,25,203.3,-103.1,-4.199999999999996,8.400000000000006,517.1,-309,180.4,95,268.5,38.4,95.2,98.4,103.2,-6.6,102.60000000000001,34.800000000000004,59.099999999999994,59.99999999999999,39.599999999999994,-37.900000000000006,103.1,-26.9,43.3,93.8,-35.3,46.3,13.700000000000003,140.1,-64.3,37.3,-42.1,-7.300000000000001,-98.7,18,39.800000000000004,97.69999999999999,-155.5
PE Ratio(ttm),34.37,23.09,35.92,12.84,17.33,15.85,11.7,31.13,9.6,7.93,11.99,11,14.11,0,0,0,		,89.63,63.81,47.59,34.37,33.59,29.78,38.22,23.09,21.16,19.5,17.27,35.92,32.23,30,19.63,12.84,15.06,17.08,17.43,17.33,17.92,14.83,14.18,15.85,12.22,12.1,11.1,11.7,12.67,11.99,64.77,31.13,34.26,28.84,12.84,9.6,9.3,7.1,9.72,7.93,5.55,8.64,10.87,11.99,13.5,11.5,12.08,11,9.26,9.17,10.75,14.11,22.37,0,0,0,0,0,0,0
Price to Tangible Book,0,9.07,7.07,4.35,6.56,5.68,4.82,3.55,2.89,1.91,2.42,2.53,1.35,0.38,0,1.12,		,0,0,0,0,13.75,12.37,15.39,9.07,7.47,6.33,5.26,7.07,6.81,6.94,4.78,4.35,5.21,6.08,6.49,6.56,6.69,5.59,5.64,5.68,4.23,3.91,7.09,4.82,4.27,3.1,4.39,3.55,5.26,5.59,3.96,2.89,2.63,1.88,2.82,1.91,1.19,1.82,2.08,2.42,2.67,2.19,2.97,2.53,1.9,1.81,1.53,1.35,0.89,0.58,0.38,0.38,0,0,0,0
Price-to-Free-Cash-Flow ratio,21.86,0,8.9,7.94,11.04,41.1,6.59,9.81,6.85,8.12,15,32.44,7.41,0,260,216,		,23.81,26.71,29.88,21.86,22.07,31.58,89.76,0,45.3,17.13,8.45,8.9,8.46,8.44,7.4,7.94,10.82,12.53,9.38,11.04,15.42,33.68,69.85,41.1,81.67,30.89,38.15,6.59,12.33,4.81,5.44,9.81,6.33,9.13,5.66,6.85,7.63,5.5,9.71,8.12,4.29,9.12,17.26,15,37.1,30.48,12.55,32.44,12.4,13.31,7.13,7.41,4.98,5.49,0,0,0,0,6.09,260
PS Ratio,2.43,1.76,1.22,0.73,1.11,1.1,0.61,0.48,0.54,0.36,0.58,0.52,0.23,0.06,0.08,0.06,		,1.43,2.36,2.66,2.43,2.41,2.17,2.83,1.76,1.48,1.22,0.97,1.22,1.21,1.2,0.8,0.73,0.85,0.98,1.04,1.11,1.19,1.01,0.99,1.1,0.81,0.75,0.77,0.61,0.53,0.38,0.53,0.48,0.8,1.02,0.65,0.54,0.52,0.38,0.52,0.36,0.26,0.41,0.49,0.58,0.66,0.58,0.62,0.52,0.41,0.35,0.29,0.23,0.15,0.09,0.06,0.06,0.09,0.08,0.09,0.08
EV-to-Revenue,2.59,1.83,1.22,0.73,1.08,1.1,0.62,0.49,0.5,0.33,0.51,0.47,0.24,0.12,0.2,0.2,		,1.54,2.43,2.79,2.59,2.37,2.17,2.82,1.83,1.53,1.24,1,1.22,1.18,1.15,0.81,0.73,0.85,0.95,1.01,1.08,1.16,1.01,1,1.1,0.85,0.8,0.83,0.62,0.63,0.45,0.59,0.49,0.81,1.01,0.62,0.5,0.49,0.33,0.48,0.33,0.21,0.36,0.45,0.51,0.61,0.51,0.55,0.47,0.37,0.34,0.27,0.24,0.17,0.13,0.11,0.12,0.16,0.16,0.14,0.2
EV-to-EBITDA,17.6,11.63,12.91,5.93,8.36,7.93,6.42,8.27,4.07,3.18,4.64,4.55,4.4,7.95,0,-2.31,		,25.3,25.33,22.25,17.6,16,14.5,18.56,11.63,10.35,9.09,7.88,12.91,11.89,11.23,7.87,5.93,7.04,7.86,8.11,8.36,8.77,7.44,7.21,7.93,6.3,6.12,6.73,6.42,7.68,7.08,13.2,8.27,11.04,11.13,5.37,4.07,4.08,2.83,4.2,3.18,2.01,3.33,4.33,4.64,5.55,4.64,4.94,4.55,3.88,3.89,3.83,4.4,3.95,4.5,6.01,7.95,20.33,1489.38,0,0
EV-to-EBIT,21.11,13.96,16.19,7.84,10.38,9.56,8.98,14.96,5.52,4.27,5.85,5.66,6.73,0,0,52.6,		,19.61,24.9,23.36,21.11,19.06,17.26,22,13.96,11.96,10.65,9.36,16.19,15.84,15.82,11.07,7.84,9.34,9.88,10.26,10.38,10.8,9.06,8.59,9.56,7.85,7.72,8.7,8.98,11.16,11.79,31.6,14.96,17.93,16.54,7.38,5.52,5.49,3.74,5.44,4.27,2.66,4.34,5.62,5.85,6.91,5.73,6.06,5.66,4.82,4.95,5.23,6.73,7.49,15.94,0,0,0,0,0,0
Earnings Yield (Joel Greenblatt),4.74,7.16,6.18,12.76,9.63,10.46,11.14,6.68,18.12,23.42,17.09,17.67,14.86,0,0,1.9,		,5.1,4.02,4.28,4.74,5.25,5.79,4.55,7.16,8.36,9.39,10.68,6.18,6.31,6.32,9.03,12.76,10.71,10.12,9.75,9.63,9.26,11.04,11.64,10.46,12.74,12.95,11.49,11.14,8.96,8.48,3.16,6.68,5.58,6.05,13.55,18.12,18.21,26.74,18.38,23.42,37.59,23.04,17.79,17.09,14.47,17.45,16.5,17.67,20.75,20.2,19.12,14.86,13.35,6.27,0,0,0,0,0,0
Forward Rate of Return,3.02,2.46,75.2,21.11,16.96,10.22,15.06,7.44,1.41,9.65,27.43,21.33,12.3,-2.04,22.44,28.96,		,17.18,2.93,6.39,3.02,2.23,2.2,2.95,2.46,2.53,1.82,2.51,75.2,48.89,34.29,20.2,21.11,21.94,23.61,22.3,16.96,12.46,10.62,9.69,10.22,11.54,12.58,12.79,15.06,15.4,13.59,13.52,7.44,9.26,3.97,5.79,1.41,0.63,6.17,9.24,9.65,14.83,11.13,17.3,27.43,21.75,21.11,21.32,21.33,23.08,20.7,12.23,12.3,6.84,3.93,-4.59,-2.04,-0.73,-2.49,33.4,22.44
