Table Number,Table Name,Code,Shortened Description
Table 7.01,Mental Disorders,309.4,ADJ DIS-EMOTION/CONDUCT
Table 7.01,Mental Disorders,309.81,POSTTRAUMATIC STRESS DIS
Table 7.01,Mental Disorders,309.82,ADJUST REACT-PHYS SYMPT
Table 7.01,Mental Disorders,309.83,ADJUST REACT-WITHDRAWAL
Table 7.01,Mental Disorders,309.89,ADJUSTMENT REACTION NEC
Table 7.01,Mental Disorders,309.9,ADJUSTMENT REACTION NOS
Table 7.01,Mental Disorders,310.0,FRONTAL LOBE SYNDROME
Table 7.01,Mental Disorders,310.1,PERSONALITY CHG OTH DIS
Table 7.01,Mental Disorders,310.2,POSTCONCUSSION SYNDROME
Table 7.01,Mental Disorders,310.81,PSEUDOBULBAR AFFECT
Table 7.01,Mental Disorders,310.89,NONPSYCH MNTL DISORD NED
Table 7.01,Mental Disorders,310.9,NONPSYCHOT BRAIN SYN NOS
Table 7.01,Mental Disorders,311,DEPRESSIVE DISORDER NEC
Table 7.01,Mental Disorders,312.00,UNSOCIAL AGGRESS-UNSPEC
Table 7.01,Mental Disorders,312.01,UNSOCIAL AGGRESSION-MILD
Table 7.01,Mental Disorders,312.02,UNSOCIAL AGGRESSION-MOD
Table 7.01,Mental Disorders,312.03,UNSOCIAL AGGRESS-SEVERE
Table 7.01,Mental Disorders,312.10,UNSOCIAL UNAGGRESS-UNSP
Table 7.01,Mental Disorders,312.11,UNSOCIAL UNAGGRESS-MILD
Table 7.01,Mental Disorders,312.12,UNSOCIAL UNAGGRESS-MOD
Table 7.01,Mental Disorders,312.13,UNSOCIAL UNAGGR-SEVERE
Table 7.01,Mental Disorders,312.20,SOCIAL CONDUCT DIS-UNSP
Table 7.01,Mental Disorders,312.21,SOCIAL CONDUCT DIS-MILD
Table 7.01,Mental Disorders,312.22,SOCIAL CONDUCT DIS-MOD
Table 7.01,Mental Disorders,312.23,SOCIAL CONDUCT DIS-SEV
Table 7.01,Mental Disorders,312.30,IMPULSE CONTROL DIS NOS
Table 7.01,Mental Disorders,312.31,PATHOLOGICAL GAMBLING
Table 7.01,Mental Disorders,312.32,KLEPTOMANIA
Table 7.01,Mental Disorders,312.33,PYROMANIA
Table 7.01,Mental Disorders,312.34,INTERMITT EXPLOSIVE DIS
Table 7.01,Mental Disorders,312.35,ISOLATED EXPLOSIVE DIS
Table 7.01,Mental Disorders,312.39,IMPULSE CONTROL DIS NEC
Table 7.01,Mental Disorders,312.4,MIX DIS CONDUCT/EMOTION
Table 7.01,Mental Disorders,312.81,CNDCT DSRDR CHLDHD ONST
Table 7.01,Mental Disorders,312.82,CNDCT DSRDR ADLSCNT ONST
Table 7.01,Mental Disorders,312.89,OTHER CONDUCT DISORDER
Table 7.01,Mental Disorders,312.9,CONDUCT DISTURBANCE NOS
Table 7.01,Mental Disorders,313.0,OVERANXIOUS DISORDER
Table 7.01,Mental Disorders,313.1,MISERY & UNHAPPINESS DIS
Table 7.01,Mental Disorders,313.21,SHYNESS DISORDER-CHILD
Table 7.01,Mental Disorders,313.22,INTROVERTED DIS-CHILD
Table 7.01,Mental Disorders,313.23,SELECTIVE MUTISM
Table 7.01,Mental Disorders,313.3,RELATIONSHIP PROBLEMS
Table 7.01,Mental Disorders,313.81,OPPOSITION DEFIANT DISOR
Table 7.01,Mental Disorders,313.82,IDENTITY DISORDER
Table 7.01,Mental Disorders,313.83,ACADEMIC UNDERACHIEVMENT
Table 7.01,Mental Disorders,313.89,EMOTIONAL DIS CHILD NEC
Table 7.01,Mental Disorders,313.9,EMOTIONAL DIS CHILD NOS
Table 7.01,Mental Disorders,314.00,ATTN DEFIC NONHYPERACT
Table 7.01,Mental Disorders,314.01,ATTN DEFICIT W HYPERACT
Table 7.01,Mental Disorders,314.1,HYPERKINET W DEVEL DELAY
Table 7.01,Mental Disorders,314.2,HYPERKINETIC CONDUCT DIS
Table 7.01,Mental Disorders,314.8,OTHER HYPERKINETIC SYND
Table 7.01,Mental Disorders,314.9,HYPERKINETIC SYND NOS
Table 7.01,Mental Disorders,315.00,READING DISORDER NOS
Table 7.01,Mental Disorders,315.01,ALEXIA
Table 7.01,Mental Disorders,315.02,DEVELOPMENTAL DYSLEXIA
Table 7.01,Mental Disorders,315.09,READING DISORDER NEC
Table 7.01,Mental Disorders,315.1,MATHEMATICS DISORDER
Table 7.01,Mental Disorders,315.2,OTH LEARNING DIFFICULTY
Table 7.01,Mental Disorders,315.31,EXPRESSIVE LANGUAGE DIS
Table 7.01,Mental Disorders,315.32,RECP-EXPRES LANGUAGE DIS
Table 7.01,Mental Disorders,315.34,SPEECH DEL D/T HEAR LOSS
Table 7.01,Mental Disorders,315.35,CHLDHD ONSET FLNCY DISOR
Table 7.01,Mental Disorders,315.39,SPEECH/LANGUAGE DIS NEC
Table 7.01,Mental Disorders,315.4,DEVEL COORDINATION DIS
Table 7.01,Mental Disorders,315.5,MIXED DEVELOPMENT DIS
Table 7.01,Mental Disorders,315.8,DEVELOPMENT DELAYS NEC
Table 7.01,Mental Disorders,315.9,DEVELOPMENT DELAY NOS
Table 7.01,Mental Disorders,316,PSYCHIC FACTOR W OTH DIS
Table 7.01,Mental Disorders,317,MILD MENTAL RETARDATION
Table 7.01,Mental Disorders,318.0,MOD MENTAL RETARDATION
Table 7.01,Mental Disorders,318.1,SEVERE MENTAL RETARDAT
Table 7.01,Mental Disorders,318.2,PROFOUND MENTAL RETARDAT
Table 7.01,Mental Disorders,319,MENTAL RETARDATION NOS
Table 8.0,Ischemic and Hemorrhagic Stroke,430,SUBARACHNOID HEMORRHAGE 
Table 8.0,Ischemic and Hemorrhagic Stroke,431,INTRACEREBRAL HEMORRHAGE 
Table 8.0,Ischemic and Hemorrhagic Stroke,432.9,INTRACRANIAL HEMORR NOS 
Table 8.0,Ischemic and Hemorrhagic Stroke,433.01,OCL BSLR ART W INFRCT 
Table 8.0,Ischemic and Hemorrhagic Stroke,433.10,OCL CRTD ART WO INFRCT 
Table 8.0,Ischemic and Hemorrhagic Stroke,433.11,OCL CRTD ART W INFRCT 
Table 8.0,Ischemic and Hemorrhagic Stroke,433.21,OCL VRTB ART W INFRCT 
Table 8.0,Ischemic and Hemorrhagic Stroke,433.31,OCL MLT BI ART W INFRCT 
Table 8.0,Ischemic and Hemorrhagic Stroke,433.81,OCL SPCF ART W INFRCT 
Table 8.0,Ischemic and Hemorrhagic Stroke,433.91,OCL ART NOS W INFCT
Table 8.0,Ischemic and Hemorrhagic Stroke,434.00,CRBL THRMBS WO INFRCT 
Table 8.0,Ischemic and Hemorrhagic Stroke,434.01,CRBL THRMBS W INFRCT 
Table 8.0,Ischemic and Hemorrhagic Stroke,434.11,CRBL EMBLSM W INFRCT 
Table 8.0,Ischemic and Hemorrhagic Stroke,434.91,CRBL ART OCL NOS W INFRC 
Table 8.0,Ischemic and Hemorrhagic Stroke,436,CVA 
Table 9.0,Long Bone Fracture,812.00,FX END HUMERUS NOS-CL
Table 9.0,Long Bone Fracture,812.01,FX SURG NCK HUMERUS-CLOS
Table 9.0,Long Bone Fracture,812.02,FX ANATOM NCK HUMERUS-CL
Table 9.0,Long Bone Fracture,812.09,FX UPPER HUMERUS NEC-CL
Table 9.0,Long Bone Fracture,812.10,FX UPPER HUMERUS NOS-OPN
Table 9.0,Long Bone Fracture,812.11,FX SURG NECK HUMERUS-OPN
Table 9.0,Long Bone Fracture,812.12,FX ANAT NECK HUMERUS-OPN
Table 9.0,Long Bone Fracture,812.19,FX UPPER HUMERUS NEC-OPN
Table 9.0,Long Bone Fracture,812.20,FX HUMERUS NOS-CLOSED
Table 9.0,Long Bone Fracture,812.21,FX HUMERUS SHAFT-CLOSED
Table 9.0,Long Bone Fracture,812.30,FX HUMERUS NOS-OPEN
Table 9.0,Long Bone Fracture,812.31,FX HUMERUS SHAFT-OPEN
Table 9.0,Long Bone Fracture,812.40,FX LOWER HUMERUS NOS-CL
Table 9.0,Long Bone Fracture,812.41,SUPRCONDYL FX HUMERUS-CL
Table 9.0,Long Bone Fracture,812.49,FX LOWER HUMERUS NEC-CL
Table 9.0,Long Bone Fracture,812.50,FX LOWER HUMER NOS-OPEN
Table 9.0,Long Bone Fracture,812.51,SUPRACONDYL FX HUMER-OPN
Table 9.0,Long Bone Fracture,812.59,FX LOWER HUMER NEC-OPN
Table 9.0,Long Bone Fracture,813.00,FX UPPER FOREARM NOS-CL
Table 9.0,Long Bone Fracture,813.03,MONTEGGIA’S FX-CLOSED
Table 9.0,Long Bone Fracture,813.04,FX UPPER ULNA NEC/NOS-CL
Table 9.0,Long Bone Fracture,813.05,FX RADIUS HEAD-CLOSED
Table 9.0,Long Bone Fracture,813.06,FX RADIUS NECK-CLOSED
Table 9.0,Long Bone Fracture,813.07,FX UP RADIUS NEC/NOS-CL
Table 9.0,Long Bone Fracture,813.08,FX UP RADIUS W ULNA-CLOS
Table 9.0,Long Bone Fracture,813.10,FX UPPER FOREARM NOS-OPN
Table 9.0,Long Bone Fracture,813.13,MONTEGGIA’S FX-OPEN
Table 9.0,Long Bone Fracture,813.14,FX UP ULNA NEC/NOS-OPEN
Table 9.0,Long Bone Fracture,813.16,FX RADIUS NECK-OPEN
Table 9.0,Long Bone Fracture,813.17,FX UP RADIUS NEC/NOS-OPN
Table 9.0,Long Bone Fracture,813.18,FX UP RADIUS W ULNA-OPEN
Table 9.0,Long Bone Fracture,813.20,FX SHAFT FOREARM NOS-CL
Table 9.0,Long Bone Fracture,813.21,FX RADIUS SHAFT-CLOSED
Table 9.0,Long Bone Fracture,813.22,FX ULNA SHAFT-CLOSED
Table 9.0,Long Bone Fracture,813.23,FX SHAFT RAD W ULNA-CLOS
Table 9.0,Long Bone Fracture,813.30,FX SHAFT FOREARM NOS-OPN
Table 9.0,Long Bone Fracture,813.31,FX RADIUS SHAFT-OPE N
Table 9.0,Long Bone Fracture,813.32,FX ULNA SHAFT-OPEN
Table 9.0,Long Bone Fracture,813.33,FX SHAFT RAD W  ULNA-OPEN
Table 9.0,Long Bone Fracture,813.40,FX LOWER FOREARM NOS-CL
Table 9.0,Long Bone Fracture,813.41,COLLES’ FRACTURE-CLOSED
Table 9.0,Long Bone Fracture,813.42,FX DISTAL RADIUS NEC-CL
Table 9.0,Long Bone Fracture,813.43,FX  DISTAL ULNA-CLOSED
Table 9.0,Long Bone Fracture,813.44,FX LOW RADIUS W ULNA-CL
Table 9.0,Long Bone Fracture,813.45,TORUS FX  RADIUS-CL/ALONE
Table 9.0,Long Bone Fracture,813.46,TORUS FX ULNA-CLOSED
Table 9.0,Long Bone Fracture,813.47,TORUS FX RADIUS/ULNA-CLO
Table 9.0,Long Bone Fracture,813.50,FX LOWER FOREARM NOS-OPN
Table 9.0,Long Bone Fracture,813.51,COLLES’ FRACTURE-OPEN
Table 9.0,Long Bone Fracture,813.52,FX DISTAL RADIUS NEC-OPN
Table 9.0,Long Bone Fracture,813.53,FX DISTAL ULNA-OPEN
Table 9.0,Long Bone Fracture,813.54,FX LOW RADIUS W ULNA-OPN
Table 9.0,Long Bone Fracture,813.80,FX FOREARM NOS-CLOSED
Table 9.0,Long Bone Fracture,813.81,FX RADIUS NOS-CLOSED
Table 9.0,Long Bone Fracture,813.82,FRACTURE ULNA NOS-CLOSED
Table 9.0,Long Bone Fracture,813.83,FX RADIUS W ULNA NOS-CL
Table 9.0,Long Bone Fracture,813.90,FX FOREARM NOS-OPEN
Table 9.0,Long Bone Fracture,813.91,FRACTURE RADIUS NOS-OPEN
Table 9.0,Long Bone Fracture,813.92,FRACTURE ULNA NOS-OPEN
Table 9.0,Long Bone Fracture,813.93,FX RADIUS W ULNA NOS-OPN
Table 9.0,Long Bone Fracture,821.00,FX FEMUR NOS-CLOSED
Table 9.0,Long Bone Fracture,821.01,FX FEMUR SHAFT-CLOSED
Table 9.0,Long Bone Fracture,821.10,FX FEMUR NOS-OPEN
Table 9.0,Long Bone Fracture,821.11,FX FEMUR SHAFT-OPEN
Table 9.0,Long Bone Fracture,821.20,FX LOW END FEMUR NOS-CL
Table 9.0,Long Bone Fracture,821.22,FX LOW FEMUR EPIPHY-CLOS
Table 9.0,Long Bone Fracture,821.23,SUPRACONDYL FX FEMUR-CL
Table 9.0,Long Bone Fracture,821.29,FX LOW END FEMUR NEC-CL
Table 9.0,Long Bone Fracture,821.30,FX LOW END FEMUR NOS-OPN
Table 9.0,Long Bone Fracture,821.33,SUPRACONDYL FX FEMUR-OPN
Table 9.0,Long Bone Fracture,821.39,FX LOW END FEMUR NEC-OPN
Table 9.0,Long Bone Fracture,823.00,FX UPPER END TIBIA-CLOSE
Table 9.0,Long Bone Fracture,823.01,FX UPPER END FIBULA-CLOS
Table 9.0,Long Bone Fracture,823.02,FX UP TIBIA W FIBULA-CL
Table 9.0,Long Bone Fracture,823.10,FX UPPER END TIBIA-OPEN
Table 9.0,Long Bone Fracture,823.11,FX UPPER END FIBULA-OPEN
Table 9.0,Long Bone Fracture,823.12,FX UP TIBIA W FIBULA-OPN
Table 9.0,Long Bone Fracture,823.20,FX SHAFT TIBIA-CLOSED
Table 9.0,Long Bone Fracture,823.21,FX SHAFT FIBULA-CLOSED
Table 9.0,Long Bone Fracture,823.22,FX SHAFT FIB W TIB-CLOS
Table 9.0,Long Bone Fracture,823.30,FX TIBIA SHAFT-OPEN
Table 9.0,Long Bone Fracture,823.31,FX FIBULA SHAFT-OPEN
Table 9.0,Long Bone Fracture,823.32,FX SHAFT TIBIA W FIB-OPN
Table 9.0,Long Bone Fracture,823.40,TORUS FRACTURE OF TIBIA
Table 9.0,Long Bone Fracture,823.41,TORUS FRACTURE OF FIBULA
Table 9.0,Long Bone Fracture,823.42,TORUS FX TIBIA/FIBULA
Table 9.0,Long Bone Fracture,823.80,FX TIBIA NOS-CLOSED
Table 9.0,Long Bone Fracture,823.81,FX FIBULA NOS-CLOSED
Table 9.0,Long Bone Fracture,823.82,FX TIBIA W FIBULA NOS-CL
Table 9.0,Long Bone Fracture,823.90,FX TIBIA NOS-OPEN
Table 9.0,Long Bone Fracture,823.91,FX FIBULA NOS-OPEN
Table 9.0,Long Bone Fracture,823.92,FX TIBIA W FIB NOS-OPEN
Table 9.0,Long Bone Fracture,827.0,FX LOWER LIMB NEC-CLOSED
Table 9.0,Long Bone Fracture,827.1,FX LOWER LIMB NEC-OPEN
